index,value
0,47
1,100
2,89
3,15
4,24
5,87
6,30
7,100
8,91
9,24
10,48
11,91
12,94
13,42
14,31
15,91
16,86
17,76
18,62
19,37
20,100
21,30
22,97
23,100
24,96
25,34
26,5
27,31
28,100
29,37
30,36
31,100
32,18
33,94
34,24
35,97
36,100
37,100
38,47
39,32
40,31
41,15
42,38
43,19
44,33
45,89
46,89
47,17
48,14
49,77
50,37
51,100
52,100
53,100
54,24
55,22
56,50
57,23
58,100
59,44
60,36
61,87
62,95
63,40
64,18
65,80
66,95
67,88
68,27
69,96
70,70
71,38
72,37
73,86
74,30
75,31
76,33
77,19
78,94
79,100
80,18
81,20
82,90
83,100
84,25
85,36
86,100
87,83
88,90
89,27
90,70
91,88
92,23
93,29
94,89
95,31
96,32
97,100
98,34
99,41
100,100
101,37
102,16
103,52
104,26
105,16
106,25
107,31
108,83
109,74
110,95
111,31
112,100
113,38
114,91
115,29
116,92
117,95
118,17
119,11
120,96
121,95
122,24
123,26
124,35
125,100
126,37
127,31
128,100
129,28
130,100
131,100
132,37
133,31
134,100
135,83
136,36
137,26
138,32
139,1
140,100
141,3
142,32
143,16
144,34
145,77
146,30
147,36
148,77
149,24
150,42
151,96
152,31
153,26
154,82
155,40
156,25
157,100
158,95
159,100
160,13
161,26
162,8
163,100
164,100
165,86
166,25
167,31
168,95
169,29
170,89
171,79
172,17
173,23
174,96
175,28
176,91
177,86
178,26
179,41
180,30
181,38
182,99
183,34
184,36
185,67
186,5
187,35
188,94
189,100
190,36
191,99
192,26
193,79
194,100
195,30
196,31
197,33
198,100
199,100
200,100
201,93
202,40
203,18
204,24
205,27
206,24
207,96
208,100
209,100
210,28
211,24
212,84
213,85
214,83
215,23
216,15
217,74
218,28
219,100
220,34
221,14
222,100
223,11
224,23
225,22
226,50
227,92
228,100
229,32
230,95
231,90
232,23
233,100
234,42
235,100
236,33
237,29
238,94
239,19
240,87
241,99
242,28
243,37
244,100
245,74
246,96
247,16
248,25
249,34
250,11
251,90
252,79
253,100
254,44
255,93
256,61
257,99
258,100
259,37
260,100
261,31
262,84
263,69
264,80
265,30
266,86
267,40
268,74
269,24
270,97
271,41
272,99
273,35
274,96
275,100
276,89
277,100
278,100
279,19
280,75
281,100
282,29
283,32
284,100
285,100
286,78
287,44
288,25
289,100
290,96
291,38
292,95
293,98
294,83
295,81
296,100
297,17
298,100
299,92
300,82
301,23
302,28
303,7
304,22
305,100
306,86
307,44
308,4
309,100
310,88
311,35
312,82
313,21
314,37
315,100
316,78
317,85
318,100
319,42
320,91
321,39
322,90
323,37
324,96
325,100
326,80
327,15
328,100
329,85
330,40
331,83
332,21
333,13
334,31
335,91
336,98
337,33
338,88
339,100
340,14
341,100
342,100
343,95
344,86
345,3
346,28
347,48
348,28
349,11
350,21
351,83
352,93
353,91
354,21
355,25
356,21
357,48
358,100
359,37
360,34
361,100
362,36
363,18
364,33
365,100
366,12
367,97
368,34
369,100
370,23
371,21
372,100
373,16
374,100
375,27
376,100
377,100
378,20
379,21
380,30
381,38
382,45
383,80
384,100
385,33
386,41
387,7
388,42
389,38
390,98
391,91
392,3
393,40
394,36
395,94
396,87
397,25
398,100
399,100
400,100
401,20
402,84
403,12
404,86
405,86
406,98
407,38
408,96
409,83
410,18
411,88
412,89
413,89
414,100
415,94
416,27
417,34
418,100
419,17
420,97
421,74
422,88
423,37
424,35
425,100
426,25
427,100
428,84
429,100
430,25
431,90
432,16
433,16
434,100
435,92
436,45
437,52
438,32
439,100
440,46
441,100
442,100
443,31
444,71
445,100
446,29
447,94
448,33
449,36
450,15
451,22
452,15
453,100
454,28
455,85
456,23
457,21
458,31
459,48
460,32
461,31
462,33
463,29
464,31
465,36
466,98
467,99
468,47
469,29
470,85
471,17
472,100
473,93
474,89
475,42
476,19
477,52
478,28
479,100
480,23
481,22
482,91
483,13
484,42
485,42
486,14
487,24
488,100
489,99
490,22
491,93
492,89
493,95
494,84
495,100
496,11
497,28
498,99
499,100
500,89
501,69
502,22
503,92
504,100
505,32
506,32
507,90
508,88
509,13
510,85
511,10
512,82
513,93
514,32
515,75
516,27
517,19
518,18
519,28
520,100
521,84
522,16
523,92
524,33
525,0
526,96
527,31
528,30
529,92
530,36
531,100
532,20
533,90
534,29
535,100
536,87
537,90
538,84
539,18
540,95
541,100
542,34
543,27
544,100
545,49
546,100
547,99
548,88
549,89
550,92
551,91
552,95
553,92
554,100
555,31
556,45
557,31
558,28
559,99
560,91
561,17
562,36
563,82
564,29
565,32
566,17
567,91
568,87
569,11
570,96
571,85
572,29
573,79
574,21
575,30
576,45
577,40
578,43
579,45
580,38
581,100
582,98
583,32
584,38
585,86
586,30
587,30
588,23
589,99
590,38
591,35
592,100
593,23
594,99
595,23
596,100
597,95
598,97
599,17
600,96
601,46
602,82
603,66
604,40
605,93
606,43
607,100
608,40
609,99
610,13
611,44
612,21
613,100
614,97
615,20
616,28
617,24
618,13
619,83
620,24
621,24
622,31
623,37
624,92
625,8
626,34
627,96
628,76
629,81
630,100
631,35
632,47
633,26
634,33
635,100
636,93
637,27
638,40
639,31
640,98
641,46
642,31
643,20
644,98
645,23
646,84
647,95
648,86
649,9
650,74
651,100
652,90
653,76
654,28
655,40
656,36
657,100
658,19
659,84
660,100
661,100
662,100
663,100
664,4
665,99
666,39
667,27
668,77
669,16
670,36
671,99
672,100
673,23
674,42
675,46
676,33
677,95
678,50
679,18
680,27
681,90
682,46
683,89
684,87
685,29
686,25
687,98
688,26
689,89
690,48
691,100
692,69
693,3
694,41
695,45
696,78
697,85
698,30
699,74
700,100
701,28
702,25
703,99
704,73
705,19
706,10
707,93
708,100
709,42
710,38
711,10
712,100
713,4
714,32
715,100
716,49
717,86
718,87
719,12
720,86
721,32
722,31
723,27
724,95
725,86
726,40
727,100
728,41
729,18
730,94
731,98
732,33
733,19
734,90
735,39
736,100
737,92
738,29
739,100
740,81
741,99
742,41
743,100
744,34
745,41
746,100
747,100
748,99
749,36
750,80
751,99
752,20
753,29
754,31
755,30
756,26
757,100
758,99
759,32
760,100
761,98
762,100
763,100
764,29
765,89
766,100
767,22
768,100
769,26
770,80
771,16
772,79
773,96
774,50
775,100
776,100
777,100
778,99
779,31
780,24
781,33
782,31
783,100
784,1
785,100
786,47
787,92
788,82
789,100
790,33
791,39
792,80
793,99
794,92
795,17
796,97
797,100
798,79
799,23
800,93
801,87
802,100
803,37
804,41
805,17
806,96
807,28
808,100
809,88
810,11
811,89
812,28
813,32
814,100
815,100
816,78
817,100
818,18
819,42
820,34
821,39
822,83
823,100
824,20
825,57
826,18
827,100
828,89
829,97
830,4
831,86
832,15
833,100
834,22
835,36
836,12
837,14
838,96
839,50
840,100
841,86
842,100
843,97
844,4
845,100
846,95
847,46
848,100
849,100
850,89
851,43
852,38
853,44
854,94
855,8
856,45
857,96
858,85
859,92
860,96
861,95
862,26
863,18
864,100
865,17
866,26
867,24
868,47
869,23
870,86
871,100
872,100
873,37
874,35
875,52
876,45
877,20
878,14
879,80
880,98
881,96
882,100
883,77
884,17
885,95
886,30
887,32
888,47
889,31
890,81
891,41
892,34
893,87
894,32
895,77
896,27
897,9
898,95
899,100
900,92
901,14
902,85
903,99
904,96
905,97
906,77
907,40
908,27
909,66
910,100
911,89
912,26
913,100
914,96
915,96
916,41
917,24
918,27
