index,value
0,4
1,4
2,75
3,71
4,1
5,71
6,5
7,67
8,72
9,72
10,3
11,68
12,8
13,69
14,72
15,8
16,2
17,71
18,9
19,8
20,69
21,74
22,72
23,70
24,4
25,5
26,10
27,3
28,2
29,71
30,10
31,74
32,70
33,4
34,70
35,73
36,6
37,73
38,73
39,7
40,6
41,0
42,73
43,73
44,6
45,73
46,68
47,14
48,77
49,77
50,69
51,5
52,71
53,72
54,72
55,10
56,0
57,71
58,6
59,70
60,71
61,7
62,3
63,10
64,78
65,75
66,2
67,2
68,71
69,73
70,75
71,72
72,70
73,71
74,71
75,7
76,3
77,9
78,3
79,2
80,79
81,4
82,8
83,76
84,73
85,71
86,2
87,4
88,67
89,2
90,72
91,71
92,1
93,71
94,9
95,5
96,6
97,70
98,2
99,71
100,12
101,11
102,68
103,74
104,4
105,2
106,5
107,5
108,70
109,73
110,7
111,6
112,68
113,76
114,6
115,6
116,71
117,3
118,12
119,5
120,3
121,73
122,75
123,11
124,10
125,8
126,12
127,6
128,67
129,0
130,6
131,73
132,67
133,10
134,67
135,5
136,77
137,72
138,77
139,6
140,75
141,78
142,68
143,72
144,12
145,73
146,9
147,71
148,3
149,4
150,5
151,7
152,7
153,74
154,73
155,4
156,4
157,70
158,3
159,79
160,72
161,73
162,5
163,68
164,77
165,73
166,74
167,10
168,69
169,70
170,5
171,68
172,69
173,74
174,72
175,6
176,4
177,6
178,71
179,3
180,7
181,71
182,68
183,9
184,73
185,72
186,74
187,2
188,74
189,75
190,0
191,2
192,1
193,75
194,5
195,1
196,3
197,2
198,3
199,69
200,4
201,70
202,8
203,70
204,1
205,72
206,8
207,3
208,68
209,0
210,72
211,67
212,4
213,3
214,5
215,73
216,74
217,0
218,71
219,71
220,71
221,8
222,0
223,0
224,76
225,73
226,73
227,4
228,73
229,4
230,72
231,66
232,0
233,6
234,78
235,72
236,9
237,7
238,72
239,70
240,1
241,6
242,68
243,76
244,6
245,71
246,7
247,75
248,79
249,70
250,12
251,71
252,70
253,71
254,6
255,72
256,67
257,69
258,70
259,9
260,78
261,2
262,67
263,77
264,74
265,70
266,2
267,2
268,8
269,0
270,7
271,70
272,3
273,4
274,69
275,68
276,71
277,69
278,7
279,5
280,2
281,6
282,74
283,64
284,74
285,76
286,7
287,77
288,70
289,4
290,6
291,2
292,72
293,76
294,7
295,78
296,75
297,68
298,4
299,78
300,5
301,4
302,71
303,74
304,66
305,3
306,4
307,4
308,7
309,11
310,68
311,72
312,1
313,5
314,2
315,69
316,4
317,10
318,4
319,2
320,71
321,1
322,10
323,67
324,75
325,7
326,73
327,7
328,70
329,5
330,10
331,7
332,71
333,8
334,71
335,70
336,8
337,4
338,78
339,72
340,69
341,65
342,4
343,8
344,75
345,5
346,74
347,12
348,77
349,75
350,71
351,71
352,2
353,73
354,3
355,76
356,74
357,3
358,70
359,5
360,73
361,7
362,1
363,76
364,68
365,1
366,5
367,67
368,7
369,74
370,5
371,6
372,74
373,70
374,3
375,80
376,4
377,0
378,4
379,3
380,72
381,9
382,7
383,66
384,4
385,1
386,8
387,6
388,72
389,71
390,5
391,9
392,4
393,4
394,69
395,10
396,70
397,70
398,0
399,66
400,68
401,73
402,7
403,65
404,76
405,71
406,71
407,8
408,6
409,2
410,5
411,72
412,72
413,76
414,68
415,10
416,77
417,13
418,3
419,3
420,71
421,69
422,6
423,5
424,69
425,11
426,73
427,71
428,74
429,9
430,76
431,75
432,5
433,72
434,71
435,71
436,76
437,3
438,12
439,73
440,71
441,3
442,8
443,4
444,3
445,72
446,8
447,75
448,74
449,15
450,12
451,8
452,2
453,4
454,4
455,3
456,67
457,11
458,4
459,2
460,8
461,74
462,76
463,8
464,6
465,66
466,74
467,6
468,1
469,70
470,73
471,6
472,6
473,5
474,73
475,9
476,6
477,0
478,10
479,4
480,71
481,73
482,0
483,71
484,11
485,2
486,9
487,2
488,7
489,71
490,71
491,76
492,71
493,1
494,2
495,67
496,5
497,2
498,3
499,72
500,5
501,8
502,72
503,7
504,7
505,4
506,3
507,72
508,75
509,7
510,70
511,70
512,72
513,3
514,73
515,69
516,72
517,70
518,73
519,73
520,77
521,4
522,11
523,72
524,74
525,5
526,8
527,67
528,69
529,67
530,2
531,73
532,72
533,8
534,11
535,68
536,71
537,73
538,64
539,70
540,76
541,2
542,71
543,5
544,1
545,72
546,8
547,66
548,70
549,70
550,69
551,9
552,5
553,5
554,70
555,10
556,77
557,78
558,10
559,75
560,2
561,11
562,8
563,65
564,65
565,6
566,75
567,68
568,7
569,70
570,73
571,71
572,78
573,74
574,5
575,74
576,73
577,5
578,77
579,2
580,5
581,8
582,4
583,10
584,71
585,66
586,66
587,7
588,7
589,0
590,4
591,76
592,77
593,0
594,6
595,6
596,8
597,75
598,73
599,3
600,73
601,72
602,6
603,75
604,0
605,72
606,2
607,3
608,10
609,69
610,72
611,72
612,14
613,70
614,73
615,5
616,72
617,11
618,73
619,1
620,2
621,70
622,5
623,77
624,74
625,7
626,9
627,2
628,74
629,66
630,74
631,72
632,80
633,4
634,1
635,2
636,9
637,4
638,71
639,68
640,5
641,5
642,0
643,69
644,7
645,3
646,8
647,71
648,5
649,79
650,69
651,73
652,69
653,75
654,1
655,4
656,0
657,68
658,73
659,74
660,68
661,66
662,70
663,69
664,72
665,74
666,5
667,75
668,71
669,7
670,68
671,4
672,5
673,69
674,73
675,71
676,6
677,71
678,69
679,3
680,67
681,3
682,0
683,74
684,75
685,12
686,6
687,7
688,75
689,73
690,4
691,71
692,7
693,0
694,74
695,8
696,68
697,4
698,71
699,75
700,70
701,8
702,2
703,5
704,70
705,4
706,77
707,68
708,72
709,6
710,71
711,3
712,7
713,65
714,2
715,69
716,6
717,71
718,67
719,4
720,78
721,6
722,6
723,73
724,1
725,71
726,68
727,73
728,12
729,72
730,72
731,68
732,69
733,4
734,9
735,0
736,74
737,1
738,66
739,75
740,74
741,78
742,69
743,5
744,4
745,73
746,70
747,3
748,7
749,12
750,70
751,5
752,5
753,9
754,0
755,73
756,72
757,75
758,78
759,74
760,76
761,6
762,70
763,70
764,72
765,68
766,3
767,70
768,68
769,68
770,67
771,5
772,8
773,4
774,6
775,69
776,71
777,75
778,65
779,5
780,7
781,4
782,73
783,66
784,74
785,3
786,12
787,75
788,0
789,6
790,71
791,75
792,3
793,76
794,0
795,9
796,71
797,6
798,71
799,5
800,0
801,71
802,67
803,9
804,3
805,77
806,3
807,72
808,63
809,69
810,70
811,4
812,73
813,4
814,75
815,4
816,74
817,73
818,8
819,76
820,68
821,68
822,73
823,70
824,72
825,71
826,8
827,0
828,74
829,69
830,6
831,72
832,71
833,71
834,13
835,64
836,73
837,1
838,74
839,74
840,7
841,72
842,71
843,69
844,6
845,62
846,73
847,71
848,75
849,68
850,66
851,68
852,2
853,5
854,67
855,2
856,72
857,75
858,5
859,10
860,68
861,0
862,6
863,72
864,0
865,3
866,73
867,71
868,74
869,75
870,76
871,73
872,11
873,4
874,72
875,7
876,71
877,9
878,71
879,69
880,77
881,74
882,69
883,4
884,73
885,6
886,4
887,3
888,69
889,6
890,6
891,73
892,72
893,73
894,70
895,4
896,3
897,6
898,72
899,70
900,71
901,8
902,8
903,72
904,68
905,1
906,4
907,74
908,3
909,6
910,72
911,69
912,79
913,6
914,5
915,74
916,5
917,5
918,69
919,6
920,5
921,12
922,7
923,76
924,5
925,70
926,76
927,76
928,70
929,67
930,75
931,66
932,69
933,5
934,71
935,72
936,71
937,71
938,70
939,70
940,4
941,70
942,70
943,1
944,68
945,6
946,7
947,1
948,13
949,7
950,5
951,5
952,71
953,72
954,12
955,71
956,76
957,66
958,5
959,73
960,5
961,5
962,10
963,71
964,74
965,4
966,76
967,2
968,73
969,74
970,7
971,2
972,0
973,6
974,65
975,71
976,79
977,73
978,69
979,4
980,72
981,1
982,8
983,2
984,76
985,4
986,8
987,71
988,69
989,4
990,9
991,75
992,3
993,71
994,72
995,9
996,69
997,76
998,71
999,4
1000,70
1001,3
1002,9
1003,73
1004,6
1005,73
1006,0
1007,70
1008,71
1009,66
1010,73
1011,73
1012,4
1013,69
1014,65
1015,7
1016,5
1017,9
1018,69
1019,69
1020,71
1021,3
1022,71
1023,7
1024,3
1025,70
1026,4
1027,68
1028,9
1029,68
1030,70
1031,6
1032,9
1033,3
1034,74
1035,70
1036,3
1037,4
1038,8
1039,5
1040,7
1041,70
1042,0
1043,5
1044,73
1045,2
1046,70
1047,1
1048,73
1049,0
1050,70
1051,69
1052,5
1053,4
1054,8
1055,7
1056,75
1057,79
1058,8
1059,72
1060,75
1061,8
1062,73
1063,9
1064,73
1065,4
1066,68
1067,72
1068,4
1069,3
1070,10
1071,9
1072,3
1073,0
1074,7
1075,73
1076,5
1077,0
1078,3
1079,3
1080,8
1081,77
1082,7
1083,71
1084,0
1085,2
1086,72
1087,9
1088,10
1089,4
1090,68
1091,11
1092,12
1093,77
1094,8
1095,72
1096,72
1097,68
1098,2
1099,71
1100,6
1101,72
1102,12
1103,74
1104,11
1105,2
1106,1
1107,10
1108,2
1109,76
1110,6
1111,73
1112,72
1113,72
1114,5
1115,6
1116,4
1117,70
1118,73
1119,76
1120,4
1121,65
1122,5
1123,4
1124,75
1125,3
1126,6
1127,75
1128,75
1129,12
1130,9
1131,71
1132,71
1133,75
1134,70
1135,71
1136,71
1137,72
1138,8
1139,77
1140,72
1141,77
1142,5
1143,0
1144,69
1145,0
1146,0
1147,2
1148,8
1149,69
1150,1
1151,70
1152,69
1153,76
1154,65
1155,3
1156,6
1157,4
1158,72
1159,71
1160,68
1161,67
1162,3
1163,68
1164,4
1165,72
1166,4
1167,2
1168,3
1169,71
1170,4
1171,7
1172,70
1173,11
1174,3
1175,70
1176,77
1177,72
1178,8
1179,2
1180,67
1181,72
1182,6
1183,6
1184,68
1185,75
1186,8
1187,5
1188,8
1189,71
1190,3
1191,67
1192,7
1193,72
1194,72
1195,67
1196,4
1197,7
1198,74
1199,8
1200,70
1201,4
1202,74
1203,71
1204,8
1205,7
1206,4
1207,71
1208,71
1209,0
1210,73
1211,73
1212,68
1213,68
1214,4
1215,7
1216,74
1217,3
1218,73
1219,8
1220,71
1221,72
1222,1
1223,4
1224,72
1225,1
1226,63
1227,71
