index,value
0,93
1,18
2,16
3,84
4,92
5,81
6,10
7,31
8,25
9,13
10,8
11,27
12,14
13,84
14,78
15,15
16,17
17,98
18,91
19,19
20,95
21,20
22,71
23,83
24,81
25,15
26,88
27,11
28,91
29,19
30,77
31,81
32,80
33,18
34,89
35,92
36,82
37,10
38,18
39,21
40,77
41,73
42,79
43,82
44,13
45,84
46,93
47,13
48,14
49,93
50,92
51,69
52,20
53,81
54,86
55,24
56,12
57,85
58,11
59,9
60,25
61,9
62,26
63,9
64,13
65,67
66,69
67,74
68,22
69,20
70,3
71,16
72,98
73,5
74,78
75,10
76,2
77,86
78,83
79,25
80,79
81,21
82,73
83,28
84,87
85,25
86,79
87,23
88,92
89,86
90,88
91,14
92,91
93,95
94,11
95,87
96,19
97,81
98,2
99,17
100,18
101,75
102,82
103,81
104,81
105,18
106,91
107,82
108,13
109,81
110,19
111,20
112,23
113,17
114,20
115,82
116,21
117,24
118,27
119,20
120,82
121,18
122,84
123,9
124,23
125,80
126,74
127,11
128,20
129,86
130,21
131,94
132,14
133,81
134,1
135,78
136,88
137,86
138,11
139,91
140,84
141,25
142,16
143,10
144,82
145,82
146,0
147,11
148,71
149,17
150,80
151,17
152,32
153,18
154,10
155,3
156,91
157,78
158,8
159,95
160,19
161,12
162,87
163,68
164,22
165,34
166,91
167,12
168,6
169,17
170,15
171,11
172,9
173,90
174,77
175,11
176,10
177,19
178,19
179,10
180,8
181,24
182,17
183,100
184,71
185,31
186,84
187,79
188,9
189,3
190,18
191,78
192,21
193,22
194,28
195,14
196,15
197,85
198,12
199,88
200,6
201,89
202,11
203,11
204,23
205,11
206,84
207,25
208,82
209,24
210,13
211,23
212,8
213,77
214,92
215,96
216,83
217,78
218,78
219,74
220,80
221,75
222,18
223,79
224,75
225,83
226,98
227,86
228,81
229,97
230,20
231,88
232,70
233,90
234,18
235,19
236,89
237,12
238,70
239,91
240,12
241,82
242,90
243,7
244,83
245,24
246,18
247,15
248,83
249,78
250,87
251,81
252,12
253,8
254,28
255,90
256,34
257,19
258,24
259,76
260,17
261,88
262,5
263,19
264,4
265,81
266,78
267,8
268,29
269,83
270,79
271,96
272,15
273,14
274,14
275,23
276,80
277,84
278,11
279,13
280,95
281,26
282,14
283,89
284,15
285,74
286,17
287,81
288,19
289,74
290,91
291,72
292,81
