index,value
0,33
1,6
2,60
3,24
4,18
5,1
6,40
7,17
8,9
9,53
10,25
11,24
12,16
13,46
14,13
15,7
16,38
17,40
18,22
19,48
20,29
21,19
22,3
23,8
24,43
25,21
26,11
27,38
28,26
29,11
30,45
31,12
32,54
33,18
34,57
35,32
36,29
37,49
38,58
39,6
40,19
41,51
42,31
43,42
44,15
45,41
46,14
47,30
48,19
49,17
50,45
51,40
52,42
53,18
54,21
55,20
56,39
57,27
58,38
59,20
60,31
61,28
62,13
63,25
64,15
65,21
66,30
67,18
68,14
69,34
70,45
71,19
72,10
73,39
74,36
75,46
76,30
77,4
78,15
79,22
80,41
81,34
82,17
83,55
84,15
85,40
86,42
87,18
88,8
89,7
90,25
91,18
92,10
93,39
94,1
95,29
96,10
97,36
98,41
99,35
100,44
101,67
102,18
103,40
104,55
105,29
106,22
107,5
108,28
109,49
110,9
111,31
112,17
113,29
114,52
115,17
116,32
117,13
118,10
119,11
120,30
121,37
122,17
123,28
124,25
125,60
126,36
127,34
128,38
129,50
130,18
131,62
132,19
133,38
134,30
135,37
136,54
137,2
138,54
139,9
140,33
141,54
142,40
143,27
144,14
145,19
146,27
147,24
148,35
149,9
150,26
151,38
152,28
153,51
154,24
155,13
156,12
157,8
158,11
159,37
160,61
161,9
162,12
163,53
164,43
165,30
166,21
167,10
168,13
169,46
170,56
171,17
172,14
173,12
174,33
175,51
176,33
177,24
178,17
179,21
180,38
181,22
182,61
183,1
184,44
185,22
186,31
187,14
188,44
189,7
190,29
191,19
192,18
193,42
194,26
195,17
196,24
197,15
198,30
199,30
200,20
201,38
202,6
203,6
204,38
205,22
206,19
207,26
208,37
209,10
210,12
211,37
212,27
213,25
214,39
215,33
216,59
217,21
218,5
219,41
220,35
221,13
222,40
223,34
224,7
225,12
226,32
227,29
228,47
229,27
230,13
231,16
232,46
233,16
234,56
235,35
236,34
237,9
238,29
239,53
240,18
241,1
242,12
243,9
244,24
245,7
246,20
247,11
248,61
249,14
250,45
251,58
252,15
253,11
254,47
255,52
256,28
257,19
258,28
259,30
260,7
261,21
262,21
263,21
264,31
265,44
266,13
267,53
268,57
269,15
270,11
271,22
272,44
273,10
274,21
275,25
276,51
277,48
278,37
279,22
280,49
281,38
282,12
283,50
284,22
285,17
286,20
287,18
288,33
289,22
290,17
291,13
292,22
293,8
294,22
295,9
296,9
297,30
298,37
299,26
300,21
301,36
302,13
303,35
304,49
305,46
306,15
307,34
308,40
309,22
310,43
311,23
312,20
313,32
314,28
315,6
316,24
317,33
318,38
319,39
320,21
321,24
322,28
323,18
324,51
325,7
326,10
327,39
328,24
329,10
330,21
331,16
