index,value
0,80
1,84
2,92
3,77
4,70
5,98
6,92
7,75
8,94
9,67
10,67
11,46
12,81
13,69
14,93
15,99
16,100
17,100
18,88
19,76
20,90
21,89
22,91
23,85
24,85
25,96
26,79
27,86
28,89
29,99
30,98
31,90
32,88
33,85
34,96
35,75
36,96
37,94
38,89
39,95
40,76
41,99
42,83
43,46
44,67
45,97
46,74
47,96
48,87
49,97
50,83
51,81
52,80
53,93
54,80
55,88
56,82
57,92
58,92
59,96
60,70
61,94
62,93
63,75
64,99
65,99
66,95
67,93
68,83
69,98
70,75
71,75
72,96
73,58
74,65
75,57
76,82
77,97
78,98
79,98
80,66
81,96
82,60
83,79
84,98
85,74
86,94
87,81
88,79
89,97
90,92
91,88
92,97
93,99
94,65
95,75
96,58
97,70
98,73
99,83
100,97
101,94
102,63
103,100
104,98
105,91
106,98
107,90
108,63
109,90
110,67
111,66
112,85
113,76
114,67
115,96
116,78
117,88
118,92
119,52
120,81
121,97
122,89
123,88
124,74
125,84
126,63
127,84
128,97
129,89
130,70
131,71
132,83
133,73
134,82
135,94
136,83
137,73
138,68
139,62
140,62
141,89
142,84
143,86
144,79
145,89
146,98
147,39
148,85
149,84
150,92
151,80
152,85
153,89
154,79
155,91
156,95
157,87
158,91
159,98
160,97
161,81
162,92
163,74
164,55
165,84
166,95
167,81
168,84
169,93
170,90
171,78
172,73
173,86
174,71
175,84
176,81
177,84
178,78
179,90
180,88
181,85
182,94
183,97
184,86
185,77
186,74
187,81
188,86
189,94
190,97
191,81
192,100
193,85
194,97
195,79
196,93
197,85
198,83
199,85
200,93
201,80
202,69
203,97
204,87
205,88
206,88
207,94
208,93
209,99
210,84
211,78
212,99
213,53
214,97
215,93
216,92
217,82
218,95
219,96
220,90
221,99
222,93
223,70
224,73
225,86
226,90
227,87
228,97
229,96
230,91
231,61
232,68
233,94
234,91
235,75
236,80
237,96
238,94
239,83
240,85
241,98
242,93
243,81
244,92
245,96
246,76
247,80
248,89
249,68
250,75
251,55
252,92
253,90
254,84
255,84
256,27
257,72
258,85
259,61
260,93
261,97
262,98
263,58
264,96
265,66
266,87
267,68
268,74
269,86
270,78
271,80
272,87
273,72
274,99
275,40
276,69
277,76
278,96
279,92
280,82
281,90
282,95
283,72
284,25
285,84
286,96
287,92
288,87
289,77
290,97
291,88
292,79
293,83
294,84
295,64
296,99
297,92
298,90
299,75
300,98
301,93
302,91
303,84
304,87
305,79
306,79
307,69
308,82
309,68
310,86
311,67
312,79
313,80
314,87
315,83
316,89
317,95
318,82
319,86
320,99
321,85
322,97
323,89
324,85
325,83
326,92
327,92
328,96
329,71
330,90
331,99
332,97
333,54
334,43
335,94
336,74
337,92
338,94
339,87
340,71
341,75
342,96
343,80
344,84
345,98
346,78
347,58
348,53
349,90
350,82
351,74
352,94
353,91
354,76
355,92
356,63
357,76
358,77
359,98
360,89
361,84
362,58
363,94
364,95
365,81
366,95
367,83
368,87
369,87
370,79
371,66
372,95
373,88
374,83
375,95
376,98
377,60
378,98
379,85
380,63
381,92
382,94
383,96
384,77
385,98
386,95
387,88
388,95
389,98
390,78
391,72
392,95
393,76
394,84
395,88
396,99
397,93
398,87
399,99
400,76
401,69
402,87
403,74
404,71
405,98
406,71
407,75
408,87
409,77
410,84
411,85
412,74
413,95
414,98
415,88
416,53
417,93
418,91
419,81
420,58
421,99
422,52
423,89
424,85
425,93
426,87
427,58
428,94
429,97
430,65
431,91
432,71
433,82
434,57
435,94
436,95
437,95
438,74
439,88
440,89
441,73
442,52
443,86
444,94
445,83
446,97
447,79
448,88
449,74
450,93
451,89
452,96
453,91
454,83
455,73
456,58
457,54
458,71
459,55
460,91
461,87
462,100
463,89
464,78
465,90
466,88
467,79
468,97
469,94
470,95
471,96
472,95
473,68
474,91
475,88
476,93
477,60
478,61
479,78
480,77
481,70
482,83
483,77
484,99
485,94
486,94
487,86
488,93
489,77
490,76
491,94
492,77
493,93
494,86
495,65
496,89
497,76
498,95
499,88
500,49
501,87
502,61
503,87
504,62
505,98
506,94
507,63
508,74
509,86
510,70
511,94
512,77
513,99
514,72
515,89
516,94
517,85
518,73
519,96
520,92
521,57
522,37
523,98
524,62
525,78
526,67
527,58
