index,value
0,74
1,11
2,76
3,95
4,47
5,61
6,93
7,96
8,69
9,57
10,87
11,24
12,95
13,23
14,90
15,78
16,75
17,97
18,76
19,45
20,67
21,51
22,72
23,99
24,73
25,10
26,89
27,57
28,86
29,87
30,53
31,44
32,53
33,84
34,69
35,77
36,25
37,77
38,40
39,52
40,54
41,38
42,53
43,58
44,26
45,86
46,77
47,24
48,82
49,69
50,56
51,90
52,74
53,78
54,51
55,73
56,92
57,18
58,69
59,97
60,95
61,21
62,43
63,56
64,86
65,62
66,53
67,67
68,56
69,69
70,95
71,81
72,51
73,25
74,93
75,73
76,58
77,86
78,25
79,97
80,84
81,99
82,46
83,84
84,86
85,44
86,76
87,94
88,80
89,94
90,41
91,51
92,55
93,33
94,94
95,53
96,11
97,88
98,79
99,62
100,40
101,69
102,71
103,49
104,89
105,68
106,64
107,70
108,97
109,74
110,56
111,20
112,45
113,49
114,93
115,79
116,20
117,31
118,68
119,50
120,95
121,44
122,87
123,9
124,94
125,16
126,70
127,87
128,88
129,67
130,20
131,63
132,29
133,37
134,35
135,89
136,89
137,85
138,26
139,78
140,93
141,72
142,27
143,52
144,58
145,78
146,73
147,83
148,96
149,97
150,41
151,33
152,93
153,59
154,73
155,30
156,43
157,97
158,48
159,88
160,48
161,38
162,75
163,90
164,81
165,69
166,45
167,24
168,62
169,85
170,87
171,14
172,10
173,79
174,88
175,96
176,85
177,32
178,65
179,91
180,42
181,69
182,89
183,62
184,75
185,26
186,17
187,56
188,46
189,27
190,84
191,69
192,69
193,26
194,87
195,19
196,96
197,86
198,61
199,56
200,63
201,22
202,46
203,71
204,53
205,23
206,61
207,79
208,43
209,86
210,94
211,49
212,17
213,85
214,61
215,99
216,75
217,26
218,94
219,84
220,72
221,94
222,93
223,60
224,56
225,46
226,26
227,86
228,43
229,80
230,58
231,28
232,41
233,67
234,54
235,98
236,61
237,25
238,85
239,70
240,65
241,57
242,16
243,42
244,96
245,92
246,90
247,84
248,100
249,90
250,49
251,53
252,98
