index,value
0,75
1,100
2,60
3,75
4,93
5,87
6,59
7,73
8,68
9,100
10,80
11,100
12,91
13,100
14,90
15,66
16,100
17,56
18,68
19,95
20,100
21,71
22,53
23,86
24,80
25,87
26,55
27,100
28,64
29,60
30,88
31,73
32,86
33,91
34,82
35,71
36,100
37,64
38,59
39,100
40,97
41,89
42,56
43,85
44,69
45,71
46,90
47,73
48,81
49,100
50,96
51,55
52,69
53,71
54,62
55,82
56,75
57,100
58,100
59,68
60,65
61,95
62,100
63,48
64,70
65,67
66,67
67,90
68,63
69,100
70,100
71,100
72,74
73,99
74,80
75,66
76,62
77,100
78,74
79,99
80,63
81,100
82,82
83,87
84,100
85,66
86,100
87,77
88,84
89,96
90,80
91,75
92,100
93,88
94,100
95,94
96,75
97,42
98,93
99,84
100,94
101,69
102,72
103,100
104,56
105,95
106,60
107,78
108,76
109,67
110,86
111,100
112,60
113,65
114,100
115,82
116,74
117,97
118,100
119,100
120,100
121,85
122,83
123,77
124,73
125,100
126,81
127,69
128,72
129,72
130,92
131,75
132,64
133,77
134,63
135,70
136,52
137,65
138,91
139,95
140,69
141,71
142,86
143,100
144,63
145,69
146,76
147,100
148,59
149,67
150,58
151,100
152,73
153,71
154,56
155,56
156,73
157,100
158,76
159,68
160,91
161,100
162,100
163,71
164,100
165,74
166,48
167,68
168,72
169,50
170,87
171,100
172,72
173,62
174,100
175,97
176,56
177,100
178,99
179,87
180,99
181,87
182,100
183,100
184,100
185,78
186,77
187,57
188,100
189,82
190,71
191,59
192,100
193,100
194,100
195,100
196,100
197,100
198,100
199,99
200,81
201,90
202,47
203,60
204,59
205,63
206,54
207,97
208,73
209,100
210,59
211,75
212,57
213,100
214,82
215,100
216,87
217,65
218,63
219,70
220,84
221,88
222,83
223,70
224,45
225,60
226,98
227,95
228,55
229,94
230,95
231,67
232,38
233,60
234,85
235,100
236,84
237,100
238,81
239,76
240,77
241,64
242,55
243,79
244,78
245,82
246,73
247,87
248,91
249,93
250,82
251,65
252,100
253,99
254,86
255,100
256,54
257,100
258,88
259,66
260,90
261,100
262,86
263,96
264,100
265,50
266,97
267,95
268,100
269,100
270,93
271,79
272,65
273,96
274,73
275,89
276,100
277,83
278,99
279,62
280,100
281,100
282,99
283,99
284,61
285,88
286,59
287,100
288,89
289,96
290,86
291,100
292,58
293,82
294,81
295,39
296,100
297,83
298,100
299,72
300,100
301,74
302,78
303,100
304,78
305,61
306,93
307,65
308,57
309,54
310,67
311,69
312,74
313,63
314,84
315,63
316,100
317,65
318,68
319,85
320,100
321,91
322,76
323,100
324,74
325,100
326,71
327,86
328,100
329,62
330,78
331,96
332,89
333,100
334,59
335,66
336,89
337,89
338,88
339,66
340,67
341,76
342,77
343,67
344,75
345,76
346,100
347,100
348,62
349,88
350,77
351,71
352,77
353,71
354,88
355,82
356,77
357,71
358,79
359,70
360,76
361,77
362,90
363,100
364,92
365,69
366,100
367,83
368,56
369,58
370,100
371,88
372,100
373,100
374,100
375,77
376,100
377,75
378,92
379,83
380,86
381,80
382,53
383,48
384,100
385,78
386,71
387,100
388,100
389,100
390,86
391,100
392,47
393,77
394,45
395,71
396,68
397,86
398,68
399,99
400,84
401,64
402,81
403,71
404,70
405,53
406,72
407,97
408,64
409,100
410,67
411,82
412,99
413,77
414,56
415,51
416,100
417,96
418,65
419,87
420,100
421,83
422,100
423,62
424,100
425,82
426,83
427,82
428,56
429,81
430,98
431,67
432,73
433,100
434,100
435,87
436,69
437,64
438,96
439,62
440,85
441,76
442,65
443,81
444,100
445,81
446,100
447,61
448,89
449,79
450,57
451,80
452,100
453,81
454,78
455,72
456,99
457,71
458,80
459,100
460,94
461,96
462,86
463,100
464,82
465,94
466,63
467,50
468,100
469,75
470,97
471,67
472,70
473,100
474,63
475,59
476,100
477,64
478,100
479,64
480,81
481,100
482,86
483,100
484,83
485,74
486,91
487,86
488,79
489,100
490,100
491,100
492,92
493,85
494,57
495,68
496,88
497,100
498,100
499,67
500,59
501,76
502,76
503,80
504,44
505,81
506,63
507,62
508,100
509,100
510,100
511,100
512,99
513,73
514,61
515,86
516,89
517,91
518,49
519,68
520,100
521,96
522,59
523,87
524,65
525,59
