index,value
0,15
1,11
2,23
3,13
4,9
5,17
6,9
7,28
8,12
9,22
10,25
11,30
12,35
13,11
14,25
15,25
16,16
17,11
18,9
19,9
20,16
21,12
22,18
23,6
24,9
25,16
26,12
27,20
28,17
29,24
30,11
31,15
32,25
33,13
34,7
35,20
36,8
37,18
38,9
39,9
40,7
41,20
42,14
43,9
44,15
45,21
46,21
47,12
48,8
49,17
50,13
51,13
52,15
53,10
54,13
55,10
56,11
57,11
58,6
59,8
60,11
61,28
62,13
63,18
64,8
65,13
66,22
67,12
68,19
69,9
70,13
71,10
72,14
73,18
74,14
75,13
76,6
77,13
78,16
79,10
80,16
81,7
82,14
83,10
84,17
85,11
86,20
87,16
88,12
89,18
90,7
91,10
92,16
93,8
94,8
95,9
96,12
97,30
98,19
99,8
100,9
101,17
102,16
103,13
104,13
105,16
106,20
107,13
108,26
109,24
110,10
111,20
112,11
113,12
114,19
115,17
116,5
117,13
118,18
119,6
120,22
121,16
122,21
123,9
124,17
125,16
126,11
127,8
128,15
129,23
130,12
131,16
132,6
133,17
134,11
135,13
136,9
137,29
138,10
139,12
140,17
141,13
142,11
143,18
144,8
145,16
146,34
147,16
148,10
149,12
150,7
151,14
152,29
153,9
154,14
155,12
156,52
157,28
158,19
159,23
160,13
161,9
162,20
163,16
164,9
165,11
166,14
167,8
168,16
169,12
170,13
171,8
172,17
173,9
174,11
175,15
176,11
177,13
178,10
179,13
180,13
181,15
182,12
183,9
184,8
185,10
186,19
187,39
188,11
189,22
190,21
191,6
192,15
193,25
194,8
195,17
196,9
197,23
198,16
199,20
200,25
201,19
202,13
203,14
204,24
205,18
206,6
207,15
208,12
209,5
210,20
211,13
212,13
213,19
214,5
215,5
216,17
217,13
218,20
219,13
220,10
221,17
222,15
223,14
224,18
225,17
226,11
227,11
228,15
229,10
230,13
231,28
232,12
233,11
234,14
235,16
236,23
237,25
238,13
239,25
240,20
241,6
242,15
243,22
244,18
245,14
246,10
247,17
248,11
249,16
250,15
251,7
252,18
253,24
254,12
255,42
256,10
257,21
258,12
259,21
260,26
261,14
262,8
263,12
264,24
265,16
266,13
267,20
268,16
269,14
270,12
271,32
272,9
273,22
274,13
275,12
276,15
277,10
278,22
279,17
280,22
281,12
282,15
283,8
284,14
285,13
286,22
287,19
288,5
289,15
290,25
291,7
292,6
293,14
294,11
295,14
296,14
297,15
298,13
299,7
300,15
301,25
302,20
303,26
304,27
305,7
306,22
307,22
308,14
309,18
310,16
311,7
312,10
313,28
314,12
315,26
316,19
317,6
318,22
319,11
320,8
321,17
322,27
323,9
324,11
325,9
326,11
327,16
328,10
329,14
330,16
331,10
332,23
333,13
334,7
335,16
336,18
337,22
338,27
339,35
340,16
341,13
342,17
343,8
344,11
345,36
346,18
347,19
348,21
349,32
350,12
351,9
352,13
353,18
354,10
355,23
356,11
357,11
358,11
359,9
360,22
361,24
362,17
363,13
364,14
365,12
366,56
367,12
368,11
369,22
370,19
371,15
372,18
373,8
374,11
375,20
376,10
377,11
378,16
379,11
380,20
381,19
382,21
383,8
384,14
385,13
386,18
387,7
388,9
389,17
390,14
391,15
392,36
393,22
394,17
395,13
396,11
397,13
398,12
399,12
400,23
401,16
402,12
403,10
404,15
405,15
406,16
407,9
408,18
409,24
410,15
411,11
412,17
413,25
414,13
415,15
416,17
417,13
418,10
419,22
420,7
421,16
422,17
423,13
424,17
425,13
426,18
427,16
428,12
429,11
430,11
431,10
432,18
433,16
434,18
435,7
436,23
437,19
438,16
439,12
440,12
441,9
442,8
443,21
444,33
445,18
446,10
447,19
448,16
449,20
450,29
451,9
452,16
453,26
454,15
455,8
456,11
457,7
458,11
459,26
460,14
461,17
462,23
463,26
464,11
465,9
466,14
467,10
468,13
469,9
470,11
471,10
472,24
473,16
474,22
475,10
476,9
477,11
478,21
479,9
480,27
481,33
482,18
483,16
484,12
485,10
486,25
487,11
488,9
489,17
490,12
491,18
492,13
493,16
494,13
495,19
496,14
497,21
498,20
499,13
500,12
501,18
502,9
503,25
504,19
505,18
506,6
507,10
508,12
509,7
510,13
511,23
512,10
513,29
514,6
515,13
516,9
517,23
518,19
519,9
520,12
521,11
522,13
523,28
524,11
525,12
526,10
527,16
528,14
529,12
530,19
531,21
532,28
533,12
534,16
535,13
536,22
537,13
538,37
539,14
540,17
541,9
542,20
543,9
544,22
545,27
546,14
547,15
548,16
549,21
550,14
551,10
552,12
553,12
554,21
555,6
556,9
557,7
558,12
559,16
560,10
561,15
562,11
563,11
564,19
565,12
566,11
567,14
568,22
569,23
570,20
571,12
572,18
573,32
574,21
575,10
576,9
577,15
578,9
579,15
580,12
581,6
582,24
583,8
584,10
585,9
586,9
587,14
588,10
589,14
590,21
591,22
592,18
593,17
594,22
595,12
596,14
597,13
598,17
599,13
600,8
601,9
602,11
603,11
604,11
605,9
606,11
607,10
608,15
609,20
610,14
611,26
612,12
613,13
614,17
615,16
616,9
617,27
618,12
619,15
620,14
621,14
622,16
623,24
624,19
625,9
626,14
627,9
628,13
629,16
630,10
631,18
632,7
633,15
634,7
635,10
636,29
637,8
638,33
639,17
640,15
641,17
642,18
643,16
644,8
645,6
646,10
647,16
648,10
649,10
650,14
651,12
652,27
653,19
654,15
655,9
656,11
657,7
658,11
659,12
660,17
661,11
662,17
663,13
664,14
665,21
666,16
667,17
668,8
669,15
670,8
671,16
672,23
673,5
674,23
675,10
676,15
677,20
678,19
679,12
680,15
681,13
682,10
683,13
684,6
685,22
686,17
687,22
688,11
689,12
690,11
691,8
692,16
693,9
694,12
695,12
696,21
697,15
698,10
699,21
700,12
701,13
702,16
703,7
704,12
705,7
706,7
707,14
708,10
709,14
710,8
711,8
712,20
713,14
714,8
715,30
716,9
717,21
718,9
719,11
720,16
721,24
722,11
723,18
724,16
725,9
726,15
727,9
728,18
729,16
730,11
731,16
732,20
733,17
734,13
735,7
736,6
737,17
738,17
739,12
740,7
741,10
742,16
743,12
744,18
745,13
746,10
747,12
748,9
749,53
750,14
751,11
752,17
753,8
754,24
755,6
756,20
757,12
758,9
759,16
760,12
761,12
762,14
763,12
764,22
765,12
766,11
767,15
768,10
769,8
770,14
771,16
772,17
773,6
774,13
775,15
776,23
777,9
778,7
779,11
780,19
781,14
782,26
783,9
784,19
785,12
786,12
787,32
788,29
789,17
790,11
791,9
792,11
793,19
794,8
795,14
796,26
797,18
798,18
799,7
800,9
801,19
802,11
803,9
804,23
805,14
806,24
807,20
808,7
809,28
810,21
811,18
812,11
813,11
814,9
815,15
816,8
817,7
818,11
819,11
820,15
821,13
822,11
823,8
824,12
825,9
826,9
827,15
828,9
829,22
830,21
831,12
832,10
833,9
834,14
835,10
836,20
837,7
838,16
839,18
840,25
841,18
842,9
843,12
844,16
845,20
846,17
847,12
848,16
849,5
850,15
851,16
852,15
853,10
854,24
855,14
856,16
857,13
858,22
859,14
860,10
861,13
862,14
863,12
864,12
865,18
866,28
867,16
868,11
869,38
870,10
871,8
872,13
873,15
874,15
875,17
876,35
877,19
878,11
879,15
880,16
881,15
882,26
883,29
884,10
885,9
886,7
887,14
888,9
889,8
890,20
891,14
892,11
893,9
894,14
895,17
896,22
897,18
898,10
899,9
900,28
901,14
902,20
903,19
904,35
905,13
906,20
907,5
908,15
909,21
910,11
911,11
912,9
913,10
914,9
915,11
916,16
917,19
918,19
919,33
920,24
921,14
922,11
923,13
924,14
925,22
926,22
927,25
928,13
929,12
930,14
931,13
932,5
933,11
934,15
935,10
936,20
937,16
938,16
939,21
940,16
941,5
942,9
943,9
944,8
945,14
946,8
947,13
948,9
949,17
950,5
951,17
952,14
953,17
954,21
955,9
956,35
957,21
958,12
959,12
960,15
961,19
962,33
963,16
964,14
965,18
966,26
967,8
968,16
969,25
970,10
971,9
972,21
973,17
974,11
975,7
976,15
977,11
978,14
979,24
980,16
981,23
982,8
983,13
984,8
985,17
986,22
987,15
988,17
989,19
990,15
991,13
992,14
993,12
994,7
995,17
996,14
997,19
998,13
999,24
1000,13
1001,11
1002,12
1003,12
1004,19
1005,13
1006,20
1007,14
1008,9
1009,10
1010,13
1011,14
1012,18
1013,8
1014,10
1015,28
1016,16
1017,14
1018,14
1019,25
1020,17
1021,15
1022,11
1023,28
1024,18
1025,12
1026,5
1027,15
1028,9
1029,12
1030,12
1031,10
1032,29
1033,16
1034,20
1035,9
1036,11
1037,16
1038,12
1039,17
1040,12
1041,11
1042,18
1043,6
1044,23
1045,19
1046,8
1047,8
1048,20
1049,10
1050,10
1051,15
1052,11
1053,14
1054,12
1055,15
1056,11
1057,12
1058,14
1059,10
1060,16
1061,19
1062,8
1063,28
1064,15
1065,23
1066,11
1067,10
1068,9
1069,11
1070,20
1071,23
1072,23
1073,9
1074,10
1075,18
1076,15
1077,9
1078,34
1079,28
1080,32
1081,13
1082,11
1083,11
1084,8
1085,23
1086,11
1087,8
1088,29
1089,16
1090,11
1091,10
1092,20
1093,16
1094,14
1095,19
1096,10
1097,7
1098,24
1099,11
1100,19
1101,9
1102,13
1103,18
1104,10
1105,11
1106,14
1107,7
1108,12
1109,10
1110,11
1111,16
1112,11
1113,17
1114,20
1115,17
1116,12
1117,14
1118,14
1119,26
1120,15
1121,17
1122,18
1123,24
1124,12
1125,12
1126,11
1127,23
1128,14
1129,13
1130,18
1131,15
1132,10
1133,11
1134,12
1135,15
1136,12
1137,18
1138,12
1139,19
1140,10
1141,16
1142,19
1143,25
1144,19
1145,12
1146,11
1147,33
1148,22
1149,10
1150,14
1151,10
1152,6
1153,14
1154,11
1155,15
1156,24
1157,11
1158,8
1159,19
1160,11
1161,31
1162,15
1163,6
1164,16
1165,12
1166,10
1167,28
1168,13
1169,14
1170,20
1171,18
1172,12
1173,28
1174,8
1175,20
1176,23
1177,20
1178,22
1179,13
1180,15
1181,17
1182,15
1183,14
1184,11
1185,10
1186,34
1187,7
1188,12
1189,9
1190,7
1191,12
1192,5
1193,12
1194,39
1195,14
1196,12
1197,10
1198,12
1199,23
1200,9
1201,20
1202,15
1203,7
1204,13
1205,7
1206,16
1207,23
1208,13
1209,7
1210,7
1211,16
1212,17
1213,9
1214,15
1215,19
1216,8
1217,15
1218,5
1219,12
1220,13
1221,17
1222,21
1223,10
1224,15
1225,20
1226,14
1227,15
1228,17
1229,12
1230,14
1231,20
1232,9
1233,16
1234,15
1235,18
1236,16
1237,11
1238,10
1239,7
1240,12
1241,14
1242,22
1243,16
1244,8
1245,16
1246,11
1247,13
1248,7
1249,8
1250,16
1251,12
1252,28
1253,10
1254,21
1255,8
1256,25
1257,17
1258,16
1259,12
1260,27
1261,10
1262,12
1263,31
1264,13
1265,11
1266,21
1267,21
1268,17
1269,15
1270,6
1271,11
1272,17
1273,24
1274,16
1275,14
1276,8
1277,13
1278,12
1279,11
1280,13
1281,14
1282,9
1283,7
1284,16
1285,14
1286,13
1287,10
1288,15
1289,13
1290,16
1291,17
1292,7
1293,22
1294,15
1295,6
1296,16
1297,15
1298,23
1299,12
1300,16
1301,6
1302,24
1303,19
1304,8
1305,14
1306,13
1307,20
1308,17
1309,9
1310,25
1311,14
1312,18
1313,13
1314,11
1315,18
1316,38
1317,16
1318,16
1319,10
1320,26
1321,17
1322,9
1323,13
1324,17
1325,41
1326,5
1327,22
1328,16
1329,17
1330,11
1331,30
1332,8
1333,20
1334,6
1335,18
1336,22
1337,14
1338,9
1339,21
1340,20
1341,19
1342,22
1343,7
1344,11
1345,14
1346,12
1347,7
1348,11
1349,16
1350,10
1351,18
1352,14
1353,9
1354,12
1355,14
1356,14
1357,11
1358,12
1359,6
1360,9
1361,17
1362,23
1363,14
1364,9
1365,13
1366,19
1367,17
1368,14
1369,13
1370,15
1371,17
1372,13
1373,22
1374,15
1375,11
1376,16
1377,15
1378,19
1379,17
1380,12
1381,19
1382,11
1383,13
1384,9
1385,22
1386,29
1387,15
1388,16
1389,22
1390,11
1391,17
1392,10
1393,18
1394,13
1395,12
1396,14
1397,7
1398,7
1399,21
1400,13
1401,10
1402,15
1403,11
1404,7
1405,10
1406,23
1407,12
1408,14
1409,22
1410,18
1411,14
1412,14
1413,15
1414,27
1415,15
1416,19
1417,6
1418,17
1419,13
1420,12
1421,29
1422,24
1423,9
1424,13
1425,14
1426,9
1427,9
1428,22
1429,13
1430,9
1431,15
1432,19
1433,14
1434,16
1435,26
1436,14
1437,25
1438,6
1439,14
1440,16
1441,10
1442,11
1443,10
1444,10
1445,30
1446,13
1447,11
1448,7
1449,7
1450,9
1451,16
1452,16
1453,8
1454,19
1455,18
1456,16
1457,18
1458,13
1459,10
1460,10
1461,23
1462,13
1463,8
1464,15
1465,21
1466,8
1467,7
1468,24
1469,14
1470,7
1471,5
1472,19
1473,18
1474,25
1475,14
1476,20
1477,22
1478,7
1479,22
1480,19
1481,11
1482,7
1483,13
1484,8
1485,19
1486,20
1487,11
1488,11
1489,10
1490,21
1491,12
1492,10
1493,12
1494,16
1495,16
1496,23
1497,9
1498,16
1499,20
1500,16
1501,8
1502,19
1503,14
1504,19
1505,12
1506,14
1507,6
1508,21
1509,22
1510,15
1511,28
1512,10
1513,16
1514,30
1515,25
1516,13
1517,11
1518,27
1519,11
1520,27
1521,13
1522,20
1523,24
1524,6
1525,19
1526,10
1527,15
1528,20
1529,19
1530,14
1531,13
1532,10
1533,9
1534,21
1535,9
1536,13
1537,14
1538,16
1539,13
1540,15
1541,15
1542,14
1543,13
1544,11
1545,7
1546,8
1547,11
1548,8
1549,11
1550,11
1551,13
1552,9
1553,14
1554,18
1555,15
1556,11
1557,13
1558,13
1559,11
1560,21
1561,8
1562,16
1563,19
1564,17
1565,12
1566,15
1567,10
1568,19
1569,10
1570,11
1571,16
1572,10
1573,11
1574,24
1575,22
1576,25
1577,8
1578,17
1579,11
1580,35
1581,12
1582,9
1583,20
1584,7
1585,14
1586,4
1587,16
1588,17
1589,17
1590,14
1591,11
1592,16
1593,13
1594,11
1595,20
1596,14
1597,14
1598,13
1599,12
1600,15
1601,6
1602,12
1603,10
1604,6
1605,17
1606,33
1607,9
1608,10
1609,18
1610,9
1611,7
1612,11
1613,8
1614,17
1615,9
1616,12
1617,12
1618,7
1619,17
1620,13
1621,18
1622,18
1623,19
1624,12
1625,31
1626,13
1627,11
1628,15
1629,26
1630,9
1631,19
1632,7
1633,12
1634,12
1635,13
1636,13
1637,45
1638,27
1639,10
1640,35
1641,13
1642,17
1643,14
1644,9
1645,11
1646,9
1647,5
1648,26
1649,11
1650,16
1651,7
1652,18
1653,12
1654,14
1655,16
1656,15
1657,14
1658,18
1659,19
1660,14
1661,19
1662,17
1663,17
1664,11
1665,9
1666,27
1667,13
1668,31
1669,9
1670,14
1671,14
1672,15
1673,19
1674,6
1675,12
1676,37
1677,10
1678,12
1679,13
1680,11
1681,19
1682,21
1683,15
1684,13
1685,16
1686,12
1687,28
1688,10
1689,23
1690,12
1691,11
1692,5
1693,9
1694,29
1695,19
1696,28
1697,8
1698,15
1699,8
1700,9
1701,19
1702,18
1703,12
1704,7
1705,8
1706,18
1707,13
1708,14
1709,11
1710,15
1711,13
1712,14
1713,10
1714,15
1715,16
1716,19
1717,11
1718,18
1719,17
1720,12
1721,15
1722,13
1723,10
1724,8
1725,14
1726,14
1727,13
1728,6
1729,16
1730,10
1731,23
1732,8
1733,5
1734,31
1735,16
1736,9
1737,24
1738,9
1739,9
1740,14
1741,13
1742,12
1743,15
1744,27
1745,25
1746,15
1747,16
1748,17
1749,11
1750,21
1751,14
1752,8
1753,9
1754,14
1755,21
1756,30
1757,9
1758,12
1759,8
1760,7
1761,10
1762,22
1763,10
1764,11
1765,17
1766,18
1767,14
1768,17
1769,22
1770,10
1771,11
1772,14
1773,13
1774,13
1775,18
1776,10
1777,21
1778,16
1779,21
1780,11
1781,14
1782,20
1783,14
1784,9
1785,12
1786,21
1787,12
1788,7
1789,12
1790,9
1791,13
1792,17
1793,9
1794,8
1795,16
1796,8
1797,11
1798,9
1799,16
1800,12
1801,16
1802,6
1803,13
1804,19
1805,15
1806,10
1807,15
1808,11
1809,14
1810,20
1811,16
1812,13
1813,15
1814,15
1815,17
1816,15
1817,29
1818,19
1819,13
1820,19
1821,19
1822,18
1823,13
1824,11
1825,13
1826,12
1827,12
1828,17
1829,14
1830,20
1831,13
1832,9
1833,11
1834,24
1835,8
1836,14
1837,14
1838,18
1839,13
1840,16
1841,7
1842,11
1843,17
1844,21
1845,12
1846,25
1847,13
1848,25
1849,8
1850,11
1851,19
1852,17
1853,14
1854,26
1855,21
1856,22
1857,24
1858,15
1859,23
1860,25
1861,12
1862,12
1863,10
1864,21
1865,12
1866,34
1867,23
1868,7
1869,14
1870,15
1871,16
1872,18
1873,19
1874,19
1875,8
1876,7
1877,16
1878,15
1879,21
1880,10
1881,11
1882,10
1883,16
1884,10
1885,12
1886,17
1887,11
1888,16
1889,13
1890,13
1891,13
1892,16
1893,30
1894,16
1895,30
1896,18
1897,13
1898,13
1899,21
1900,13
1901,35
1902,11
1903,24
1904,22
1905,7
1906,11
1907,15
1908,19
1909,23
1910,14
1911,12
1912,49
1913,12
1914,24
1915,20
1916,21
1917,8
1918,15
1919,16
1920,17
1921,36
1922,12
1923,16
1924,30
1925,8
1926,12
1927,7
1928,10
1929,21
1930,24
1931,23
1932,24
1933,10
1934,11
1935,20
1936,7
1937,12
1938,12
1939,15
1940,14
1941,5
1942,18
1943,14
1944,16
1945,12
1946,16
1947,9
1948,15
1949,12
1950,16
1951,19
1952,14
1953,15
1954,16
1955,13
1956,5
1957,20
1958,8
1959,6
1960,19
1961,9
1962,20
1963,14
1964,18
1965,12
1966,20
1967,8
1968,16
1969,8
1970,19
1971,10
1972,10
1973,15
1974,11
1975,8
1976,13
1977,20
1978,9
1979,18
1980,12
1981,6
1982,10
1983,17
1984,9
1985,8
1986,20
1987,10
1988,14
1989,24
1990,16
1991,31
1992,24
1993,12
1994,6
1995,10
1996,26
1997,15
1998,10
1999,8
2000,28
2001,8
2002,11
2003,27
2004,16
2005,18
2006,41
2007,56
2008,10
2009,21
2010,8
2011,18
2012,19
2013,12
2014,21
2015,13
2016,30
2017,9
2018,8
2019,15
2020,10
2021,7
2022,8
2023,27
2024,17
2025,14
2026,21
2027,21
2028,28
2029,10
2030,11
2031,26
2032,8
2033,23
2034,13
2035,16
2036,6
2037,17
2038,6
2039,16
2040,7
2041,10
2042,21
2043,26
2044,13
2045,19
2046,29
2047,17
2048,16
2049,7
2050,13
2051,20
2052,8
2053,18
2054,20
2055,17
2056,33
2057,15
2058,10
2059,11
2060,15
2061,20
2062,7
2063,6
2064,22
2065,35
2066,16
2067,17
2068,5
2069,15
2070,9
2071,19
2072,8
2073,9
2074,20
2075,6
2076,16
2077,14
2078,16
2079,16
2080,13
2081,33
2082,20
2083,20
2084,12
2085,17
2086,18
2087,21
2088,10
2089,13
2090,13
2091,6
2092,11
2093,16
2094,13
2095,5
2096,19
2097,18
2098,22
2099,19
2100,25
2101,11
2102,23
2103,15
2104,15
2105,13
2106,7
2107,13
2108,21
2109,9
2110,9
2111,8
2112,9
2113,8
2114,10
2115,12
2116,27
2117,12
2118,13
2119,27
2120,36
2121,16
2122,11
2123,12
2124,14
2125,17
2126,8
2127,29
2128,17
2129,12
2130,16
2131,9
2132,14
2133,18
2134,9
2135,13
2136,20
2137,8
2138,14
2139,14
2140,14
2141,11
2142,16
2143,16
2144,10
2145,10
2146,33
2147,13
2148,10
2149,10
2150,11
2151,17
2152,21
2153,10
2154,9
2155,10
2156,8
2157,9
2158,12
2159,14
2160,12
2161,9
2162,9
2163,13
2164,15
2165,22
2166,12
2167,8
2168,11
2169,21
2170,17
2171,15
2172,16
2173,14
2174,10
2175,12
2176,20
2177,12
2178,18
2179,6
2180,24
2181,15
2182,9
2183,17
2184,7
2185,12
2186,25
2187,10
2188,11
2189,19
2190,15
2191,21
2192,37
2193,12
2194,16
2195,10
2196,21
2197,20
2198,16
2199,16
2200,14
2201,18
2202,9
2203,19
2204,10
2205,7
2206,12
2207,19
2208,14
2209,11
2210,20
2211,17
2212,21
2213,7
2214,14
2215,14
2216,10
2217,22
2218,14
2219,16
2220,8
2221,24
2222,11
2223,18
2224,9
2225,10
2226,10
2227,17
2228,30
2229,21
2230,12
2231,22
2232,10
2233,12
2234,14
2235,9
2236,7
2237,10
2238,25
2239,9
2240,17
2241,15
2242,12
2243,11
2244,19
2245,9
2246,10
2247,15
2248,25
2249,15
2250,19
2251,13
2252,14
2253,12
2254,12
2255,23
2256,17
2257,20
2258,7
2259,16
2260,13
2261,12
2262,7
2263,10
2264,14
2265,11
2266,7
2267,29
2268,18
2269,17
2270,11
2271,24
2272,8
2273,12
2274,12
2275,20
2276,18
2277,6
2278,14
2279,20
2280,19
2281,12
2282,14
2283,12
2284,16
2285,23
2286,20
2287,21
2288,9
2289,12
2290,16
2291,18
2292,11
2293,8
2294,11
2295,22
2296,8
2297,12
2298,18
2299,6
