index,value
0,35
1,71
2,46
3,32
4,32
5,53
6,46
7,45
8,49
9,66
10,48
11,45
12,61
13,71
14,87
15,53
16,63
17,64
18,50
19,52
20,33
21,33
22,54
23,32
24,47
25,37
26,47
27,89
28,63
29,54
30,42
31,51
32,77
33,42
34,40
35,82
36,40
37,38
38,51
39,51
40,51
41,54
42,52
43,46
44,44
45,42
46,54
47,33
48,35
49,39
50,59
51,53
52,54
53,47
54,56
55,58
56,49
57,69
58,51
59,61
60,60
61,38
62,47
63,42
64,42
65,60
66,36
67,57
68,31
69,38
70,35
71,49
72,57
73,56
74,63
75,48
76,39
77,49
78,61
79,57
80,28
81,44
82,46
83,46
84,27
85,46
86,36
87,30
88,58
89,40
90,45
91,44
92,32
93,46
94,52
95,52
96,37
97,73
98,53
99,37
100,70
101,31
102,43
103,79
104,46
105,37
106,65
107,57
108,35
109,47
110,52
111,58
112,49
113,44
114,49
115,35
116,54
117,57
118,69
119,63
120,40
121,29
122,33
123,41
124,43
125,53
126,41
127,34
128,41
129,40
130,43
131,68
132,46
133,64
134,35
135,36
136,29
137,54
138,45
139,48
140,44
141,56
142,38
143,52
144,49
145,77
146,36
147,50
148,44
149,34
150,42
151,45
152,43
153,54
154,61
155,70
156,46
157,58
158,35
159,42
160,42
161,45
162,68
163,82
164,36
165,64
166,53
167,73
168,39
169,51
170,39
171,41
172,36
173,34
174,42
175,50
176,71
177,32
178,59
179,71
180,46
181,43
182,21
183,66
184,79
185,63
186,46
187,60
188,44
189,51
190,37
191,41
192,83
193,60
194,36
195,43
196,48
197,49
198,34
199,57
200,54
201,43
202,52
203,44
204,45
205,50
206,45
207,58
208,49
209,38
210,54
211,37
212,42
213,36
214,48
215,47
216,79
217,35
218,54
219,39
220,64
221,40
222,43
223,48
224,38
225,39
226,36
227,64
228,30
229,34
230,37
231,57
232,70
233,85
234,45
235,24
236,72
237,60
238,67
239,42
240,36
241,57
242,76
243,65
244,36
245,37
246,62
247,52
248,35
249,48
250,56
251,43
252,39
253,47
254,58
255,45
256,77
257,41
258,39
259,88
260,67
261,41
262,37
263,58
264,29
265,37
266,70
267,55
268,37
269,51
270,57
271,59
272,50
273,66
274,49
275,58
276,47
277,76
278,38
279,35
280,44
281,59
282,49
283,66
284,45
285,60
286,36
287,43
288,61
289,37
290,45
291,51
292,30
293,32
294,38
295,49
296,32
297,61
298,38
299,73
300,66
301,45
302,39
303,60
304,55
305,37
306,49
307,61
308,35
309,56
310,39
311,73
312,41
313,41
314,36
315,52
316,73
317,62
318,58
319,59
320,54
321,46
322,58
323,25
324,41
325,49
326,53
327,32
328,49
329,44
330,34
331,48
332,67
333,64
334,48
335,95
336,68
337,51
338,44
339,60
340,46
341,54
342,51
343,37
344,38
345,44
346,42
347,31
348,79
349,57
350,41
351,58
352,38
353,44
354,47
355,64
356,41
357,59
358,32
359,48
360,50
361,44
362,32
363,25
364,77
365,44
366,36
367,25
368,38
369,40
370,52
371,41
372,44
373,42
374,61
375,58
376,41
377,45
378,48
379,39
380,53
381,54
382,63
383,27
384,75
385,44
386,42
387,43
388,46
389,56
390,55
391,58
392,32
393,43
394,63
395,51
396,64
397,48
398,46
399,28
400,36
401,46
402,40
403,56
404,69
405,61
406,35
407,60
408,48
409,46
410,50
411,60
412,72
413,59
414,50
415,64
416,40
417,59
418,36
419,31
420,46
421,44
422,39
423,49
424,46
425,47
426,62
427,60
428,100
429,54
430,54
431,67
432,37
433,73
434,73
435,34
436,45
437,37
438,52
439,53
440,50
441,47
442,68
443,24
444,39
445,65
446,31
447,51
448,61
449,63
450,40
451,61
452,56
453,39
454,56
455,40
456,42
457,28
458,35
459,52
460,75
461,57
462,53
463,58
464,44
465,63
466,42
467,54
468,61
469,59
470,38
471,44
472,43
473,60
474,37
475,52
476,28
477,47
478,29
479,72
480,51
481,24
482,43
483,64
484,47
485,52
486,33
487,31
488,53
489,52
490,36
491,78
492,100
493,88
494,44
495,49
496,41
497,36
498,46
499,35
500,65
501,25
502,81
503,67
504,53
505,52
506,73
507,22
508,49
509,31
510,68
511,60
512,37
513,67
514,65
515,57
516,39
517,38
518,66
519,52
520,47
521,40
522,78
523,39
524,40
525,55
526,32
527,47
528,64
529,70
530,31
531,43
532,39
533,65
534,66
535,52
536,42
537,55
538,42
539,50
540,41
541,50
542,54
543,47
544,35
545,64
546,52
547,34
548,30
549,41
550,48
551,50
552,44
553,40
554,45
555,48
556,33
557,36
558,49
559,34
560,72
561,54
562,69
563,61
564,35
565,52
566,43
567,60
568,54
569,30
570,52
571,48
572,37
573,42
574,55
575,47
576,43
577,95
578,33
579,51
580,41
581,41
582,28
583,44
584,50
585,45
586,100
587,46
588,72
589,40
590,43
591,58
592,100
593,50
594,48
595,31
596,58
597,46
598,41
599,51
600,43
601,89
602,56
603,53
604,75
605,44
606,54
607,53
608,40
609,45
610,58
611,52
612,53
613,58
614,47
615,54
616,59
617,66
618,33
619,66
620,39
621,44
622,39
623,68
624,32
625,36
626,65
627,27
628,47
629,47
630,40
631,66
632,50
633,41
634,45
635,36
636,46
637,38
638,58
639,52
640,40
641,31
642,45
643,30
644,40
645,79
646,28
647,52
648,41
649,56
650,28
651,65
652,54
653,34
654,29
655,69
656,56
657,37
658,44
659,28
660,40
661,64
662,44
663,42
664,53
665,48
666,63
667,49
668,58
669,32
670,34
671,64
672,59
673,58
674,68
675,53
676,49
677,59
678,52
679,57
680,58
681,45
682,36
683,40
684,41
685,31
686,39
687,36
688,38
689,34
690,54
691,51
692,50
693,51
694,61
695,35
696,39
697,65
698,47
699,46
700,43
701,46
702,48
703,54
704,38
705,69
706,48
707,41
708,38
709,50
710,51
711,78
712,39
713,54
714,61
715,55
716,58
717,47
718,55
719,41
720,42
721,43
722,26
723,41
724,72
725,31
726,40
727,44
728,61
729,48
730,81
731,33
732,51
733,43
734,32
735,57
736,64
737,63
738,42
739,41
740,85
741,49
742,61
743,62
744,40
745,47
746,40
747,56
748,62
749,32
750,42
751,37
752,95
753,69
754,58
755,65
756,77
757,47
758,47
759,55
760,55
761,60
762,30
763,47
764,58
765,59
766,44
767,64
768,39
769,56
770,43
771,46
772,53
773,30
774,42
775,36
776,44
777,40
778,38
779,46
780,54
781,65
782,43
783,66
784,34
785,56
786,43
787,40
788,67
789,37
790,42
791,50
792,34
793,65
794,32
795,40
796,72
797,43
798,35
799,41
800,47
801,38
802,54
803,42
804,63
805,53
806,89
807,44
808,36
809,67
810,35
811,61
812,52
813,58
814,49
815,49
816,82
817,37
818,49
819,44
820,44
821,33
822,44
823,48
824,54
825,26
826,50
827,38
828,51
829,54
830,37
831,41
832,79
833,35
834,64
835,81
836,40
837,60
838,70
839,55
840,66
841,73
842,41
843,54
844,28
845,55
846,59
847,53
848,31
849,23
850,43
851,59
852,58
853,30
854,41
855,30
856,48
857,73
858,70
859,38
860,46
861,65
862,51
863,35
864,65
865,60
866,43
867,32
868,68
869,85
870,44
871,52
872,37
873,40
874,68
875,50
876,50
877,34
878,59
879,39
880,57
881,51
882,41
883,52
884,41
885,31
886,42
887,60
888,30
889,67
890,52
891,41
892,30
893,52
894,27
895,63
896,82
897,33
898,62
899,60
900,46
901,56
902,37
903,50
904,61
905,35
906,54
907,41
908,31
909,40
910,56
911,60
912,41
913,59
914,51
915,74
916,50
917,49
918,31
919,45
920,58
921,61
922,30
923,42
924,35
925,46
926,46
927,45
928,53
929,37
930,50
931,42
932,34
933,50
934,45
935,29
936,30
937,49
938,46
939,54
940,72
941,41
942,64
943,64
944,56
945,56
946,50
947,43
948,89
949,37
950,35
951,61
952,54
953,42
954,38
955,51
956,58
957,46
958,39
959,59
960,47
961,54
962,43
963,29
964,72
965,56
966,50
967,46
968,35
969,50
970,45
971,26
972,38
973,68
974,26
975,59
976,51
977,77
978,71
979,55
980,60
981,58
982,35
983,47
984,56
985,56
986,49
987,58
988,27
989,39
990,36
991,43
992,42
993,40
994,63
995,63
996,27
997,38
998,78
999,64
1000,36
1001,34
1002,31
1003,51
1004,57
1005,37
1006,55
1007,31
1008,68
1009,36
1010,57
1011,43
1012,44
1013,53
1014,44
1015,43
1016,75
1017,26
1018,66
1019,51
1020,60
1021,37
1022,42
1023,74
1024,47
1025,85
1026,32
1027,55
1028,68
1029,90
1030,47
1031,38
1032,36
1033,54
1034,45
1035,43
1036,56
1037,31
1038,45
1039,38
1040,27
1041,57
1042,38
1043,37
1044,38
1045,51
1046,27
1047,39
1048,34
1049,39
1050,37
1051,73
1052,51
1053,44
1054,50
1055,49
1056,31
1057,66
1058,50
1059,55
1060,38
1061,90
1062,58
1063,45
1064,55
1065,91
1066,58
1067,39
1068,42
1069,34
1070,27
1071,63
1072,55
1073,38
1074,74
1075,56
1076,62
1077,47
1078,45
1079,53
1080,55
1081,58
1082,54
1083,58
1084,83
1085,48
1086,58
1087,66
1088,37
1089,33
1090,41
1091,50
1092,35
1093,65
1094,32
1095,39
1096,49
1097,21
1098,55
1099,43
1100,54
1101,71
1102,53
1103,63
1104,40
1105,47
1106,50
1107,37
1108,39
1109,34
1110,62
1111,49
1112,45
1113,52
1114,43
1115,41
1116,45
1117,52
1118,40
1119,54
1120,24
1121,68
1122,39
1123,47
1124,53
1125,36
1126,44
1127,57
1128,66
1129,29
1130,69
1131,48
1132,30
1133,53
1134,35
1135,73
1136,54
1137,45
1138,37
1139,46
1140,57
1141,56
1142,68
1143,36
1144,43
1145,69
1146,29
1147,48
1148,62
1149,42
1150,42
1151,38
1152,37
1153,52
1154,59
1155,69
1156,58
1157,73
1158,46
1159,38
1160,42
1161,42
1162,52
1163,43
1164,36
1165,47
1166,66
1167,46
1168,72
1169,41
1170,56
1171,49
1172,56
1173,56
1174,35
1175,43
1176,43
1177,42
1178,50
1179,77
1180,37
1181,69
1182,90
1183,50
1184,30
1185,32
1186,42
1187,59
1188,55
1189,67
1190,27
1191,77
1192,63
1193,42
1194,68
1195,41
1196,49
1197,37
1198,57
1199,41
1200,35
1201,42
1202,55
1203,48
1204,84
1205,58
1206,42
1207,62
1208,67
1209,44
1210,51
1211,36
1212,41
1213,47
1214,69
1215,48
1216,43
1217,43
1218,31
1219,40
1220,34
1221,41
1222,29
1223,62
1224,45
1225,42
1226,40
1227,37
1228,87
1229,39
1230,41
1231,76
1232,62
1233,55
1234,60
1235,56
1236,36
1237,65
1238,78
1239,68
1240,54
1241,51
1242,30
1243,52
1244,52
1245,76
1246,84
1247,98
1248,63
1249,43
1250,29
1251,60
1252,43
1253,60
1254,39
1255,54
1256,48
1257,52
1258,64
1259,49
1260,55
1261,43
1262,85
1263,39
1264,57
1265,43
1266,67
1267,51
1268,36
1269,55
1270,31
1271,56
1272,41
1273,43
1274,57
1275,31
1276,61
1277,83
1278,56
1279,49
1280,31
1281,42
1282,44
1283,57
1284,62
1285,69
1286,45
1287,41
1288,42
1289,34
1290,51
1291,73
1292,54
1293,52
1294,58
1295,47
1296,50
1297,69
1298,47
1299,41
1300,35
1301,69
1302,55
1303,43
1304,39
1305,39
1306,75
1307,29
1308,62
1309,48
1310,34
1311,43
1312,46
1313,35
1314,40
1315,73
1316,46
1317,44
1318,60
1319,48
1320,43
1321,100
1322,26
1323,46
1324,49
1325,34
1326,37
1327,82
1328,27
1329,34
1330,65
1331,51
1332,59
1333,59
1334,48
1335,31
1336,78
1337,25
1338,62
1339,71
1340,54
1341,38
1342,59
1343,45
1344,51
1345,36
1346,51
1347,52
1348,57
1349,50
