index,value
0,77
1,77
2,92
3,89
4,73
5,86
6,82
7,82
8,76
9,71
10,88
11,75
12,94
13,96
14,81
15,95
16,72
17,70
18,84
19,85
20,78
21,92
22,70
23,90
24,90
25,83
26,82
27,36
28,91
29,91
30,84
31,86
32,75
33,98
34,57
35,77
36,70
37,74
38,93
39,81
40,98
41,76
42,79
43,82
44,54
45,65
46,70
47,73
48,72
49,81
50,75
51,73
52,71
53,53
54,40
55,73
56,97
57,65
58,87
59,78
60,88
61,81
62,60
63,69
64,77
65,58
66,94
67,81
68,78
69,51
70,91
71,84
72,62
73,84
74,67
75,89
76,93
77,86
78,81
79,83
80,91
81,73
82,54
83,67
84,77
85,53
86,74
87,74
88,84
89,87
90,73
91,58
92,95
93,60
94,80
95,80
96,60
97,56
98,93
99,91
100,68
101,69
102,89
103,92
104,81
105,76
106,77
107,86
108,80
109,82
110,95
111,65
112,80
113,50
114,82
115,83
116,79
117,80
118,93
119,80
120,94
121,73
122,69
123,61
124,96
125,58
126,91
127,96
128,67
129,66
130,49
131,62
132,74
133,94
134,81
135,86
136,40
137,80
138,67
139,38
140,59
141,89
142,94
143,41
144,61
145,85
146,80
147,69
148,78
149,35
150,96
151,75
152,48
153,67
154,61
155,43
156,56
157,82
158,90
159,83
160,69
161,54
162,78
163,73
164,86
165,43
166,68
167,82
168,90
169,71
170,71
171,76
172,72
173,68
174,95
175,58
176,96
177,59
178,60
179,79
180,65
181,71
182,59
183,71
184,44
185,93
186,91
187,61
188,67
189,67
190,74
191,77
192,45
193,52
194,50
195,60
196,75
197,95
198,47
199,90
200,59
201,96
202,76
203,98
204,37
205,53
206,64
207,90
208,79
209,71
210,92
211,85
212,45
213,86
214,81
215,73
216,90
217,79
218,63
219,87
220,95
221,78
222,97
223,77
224,84
225,60
226,78
227,45
228,89
229,74
230,95
231,93
232,81
233,72
234,78
235,88
236,66
237,58
238,66
239,69
240,75
241,47
242,72
243,87
244,44
245,89
246,87
247,35
248,75
249,72
250,50
251,70
252,66
253,83
254,40
255,38
256,67
257,97
258,83
259,58
260,66
261,75
262,72
263,92
264,96
265,40
266,94
267,66
268,66
269,82
270,78
271,74
272,62
273,45
274,88
275,91
276,69
277,99
278,90
279,82
280,67
281,93
282,80
283,79
284,95
285,85
286,70
287,85
288,90
289,80
290,60
291,90
292,90
293,85
294,62
295,64
296,87
297,85
298,87
299,70
300,91
301,73
302,95
303,69
304,68
305,90
306,69
307,90
308,78
309,79
310,85
311,90
312,71
313,64
314,81
315,63
316,82
317,65
318,90
319,93
320,77
321,91
322,76
323,61
324,70
325,54
326,86
327,82
328,89
329,83
330,78
331,95
332,80
333,83
334,90
335,62
336,57
337,73
338,73
339,88
340,58
341,67
342,79
343,98
344,82
345,48
346,85
347,64
348,51
349,82
350,62
351,96
352,76
353,58
354,73
355,86
356,78
357,82
358,87
359,79
360,72
361,79
362,91
363,70
364,83
365,49
366,52
367,76
368,93
369,80
370,80
371,49
372,94
373,47
374,69
375,98
376,93
377,52
378,67
379,58
380,96
381,81
382,65
383,58
384,77
385,79
386,45
387,83
388,71
389,77
390,67
391,72
392,78
393,48
394,83
395,83
396,77
397,90
398,74
399,74
400,64
401,71
402,82
403,66
404,87
405,91
406,62
407,54
408,53
409,86
410,59
411,78
412,90
413,90
414,74
415,86
416,60
417,89
418,52
419,86
420,64
421,79
422,80
423,76
424,74
425,66
426,88
427,83
428,58
429,92
430,86
431,89
432,68
433,84
434,59
435,89
436,68
437,77
438,76
439,52
440,78
441,78
442,71
443,71
444,75
445,53
446,91
447,55
448,88
449,89
450,63
451,38
452,85
453,92
454,88
455,63
456,55
457,78
458,57
459,60
460,76
461,83
462,51
463,66
464,88
465,82
466,66
467,64
468,77
469,54
470,61
471,51
472,51
473,80
474,71
475,95
476,76
477,74
478,72
479,83
480,79
481,57
482,86
483,78
484,65
485,66
486,93
487,49
488,76
489,79
490,50
491,66
492,89
493,94
494,87
495,91
496,85
497,69
498,81
499,86
500,88
501,63
502,97
503,60
504,80
505,82
506,50
507,52
508,83
509,81
510,87
511,65
512,65
513,74
514,85
515,76
516,75
517,89
518,57
519,68
520,52
521,45
522,74
523,93
524,69
525,74
526,66
527,79
528,32
529,43
530,78
531,85
532,63
533,78
534,88
535,67
536,92
537,65
538,82
539,63
540,58
541,54
542,65
543,78
544,77
545,43
546,84
547,87
548,56
549,74
550,96
551,59
552,66
553,71
554,43
555,48
556,63
557,78
558,71
559,86
560,73
561,86
562,64
563,71
564,84
565,64
566,79
567,51
568,80
569,96
570,85
571,81
572,58
573,63
574,95
575,88
576,58
577,65
578,79
579,65
580,90
581,56
582,55
583,92
584,85
585,91
586,83
587,76
588,99
589,73
590,83
591,72
592,76
593,78
594,66
595,79
596,93
