index,value
0,6
1,18
2,32
3,44
4,38
5,7
6,12
7,3
8,14
9,34
10,4
11,53
12,13
13,31
14,18
15,20
16,7
17,33
18,3
19,9
20,8
21,26
22,0
23,67
24,1
25,19
26,12
27,6
28,4
29,13
30,9
31,6
32,3
33,33
34,6
35,8
36,8
37,17
38,15
39,6
40,28
41,34
42,24
43,27
44,23
45,24
46,6
47,17
48,3
49,7
50,15
51,37
52,4
53,24
54,44
55,18
56,1
57,6
58,5
59,19
60,37
61,1
62,29
63,7
64,8
65,2
66,24
67,34
68,14
69,9
70,7
71,10
72,2
73,9
74,26
75,11
76,2
77,36
78,8
79,5
80,48
81,5
82,7
83,24
84,21
85,20
86,31
87,3
88,24
89,13
90,12
91,6
92,12
93,7
94,11
95,13
96,28
97,9
98,4
99,40
100,1
101,37
102,16
103,3
104,47
105,42
106,2
107,13
108,61
109,19
110,38
111,19
112,8
113,7
114,60
115,3
116,28
117,2
118,20
119,35
120,25
121,19
122,5
123,21
124,5
125,14
126,18
127,18
128,5
129,0
130,5
131,20
132,27
133,34
134,39
135,27
136,2
137,2
138,47
139,14
140,18
141,30
142,5
143,17
144,12
145,4
146,20
147,3
148,4
149,10
150,36
151,11
152,9
153,21
154,21
155,17
156,20
157,15
158,47
159,13
160,14
161,25
162,8
163,49
164,48
165,53
166,2
167,48
168,13
169,28
170,11
171,23
172,5
173,30
174,6
175,25
176,47
177,20
178,19
179,23
180,20
181,10
182,13
183,17
184,44
185,34
186,1
187,18
188,9
189,26
190,48
191,5
192,5
193,20
194,13
195,5
196,3
197,15
198,23
199,7
200,9
201,0
202,6
203,1
204,25
205,51
206,36
207,12
208,5
209,27
210,16
211,25
212,17
213,14
214,19
215,24
216,8
217,28
218,17
219,4
220,13
221,6
222,10
223,15
224,47
225,23
226,10
227,11
228,17
229,25
230,4
231,61
232,16
233,8
234,23
235,15
236,2
237,4
238,19
239,34
240,17
241,39
242,18
243,18
244,1
245,16
246,45
247,4
248,21
249,20
250,10
251,56
252,21
253,15
254,13
255,29
256,24
257,16
258,12
259,2
260,1
261,7
262,11
263,10
264,12
265,16
266,4
267,2
268,18
269,2
270,36
271,4
272,1
273,45
274,13
275,1
276,17
277,19
278,30
279,24
280,26
281,13
282,2
283,1
284,14
285,6
286,2
287,16
288,21
289,3
290,15
291,3
292,38
293,2
294,16
295,10
296,16
297,34
298,8
299,8
300,2
301,10
302,6
303,1
304,31
305,18
306,7
307,6
308,5
309,6
310,7
311,9
312,23
313,17
314,26
315,20
316,13
317,19
318,7
319,13
320,14
321,15
322,4
323,34
324,10
325,24
326,10
327,10
328,19
329,6
330,6
331,4
332,25
333,3
334,9
335,10
336,39
337,34
338,18
339,1
340,6
341,5
342,25
343,7
344,22
345,10
346,12
347,4
348,6
349,6
350,14
351,15
352,29
353,33
354,20
355,7
356,16
357,63
358,1
359,8
360,24
361,21
362,30
363,35
364,4
365,12
366,39
367,0
368,4
369,8
370,35
371,12
372,7
373,5
374,25
375,23
376,2
377,31
378,42
379,54
380,2
381,30
382,53
383,22
384,5
385,1
386,23
387,6
388,32
389,2
390,13
391,6
392,25
393,6
394,1
395,23
396,14
397,18
398,37
399,25
400,19
401,7
402,4
403,18
404,1
405,5
406,13
407,28
408,16
409,8
410,29
411,11
412,19
413,33
414,5
415,12
416,28
417,22
418,9
419,44
420,1
421,1
422,4
423,13
424,23
425,17
426,12
427,7
428,49
429,1
430,1
431,17
432,8
433,15
434,32
435,13
436,13
437,2
438,23
439,12
440,5
441,2
442,12
443,1
444,22
445,17
446,23
447,6
448,3
449,6
450,13
451,8
452,5
453,3
454,22
455,5
456,11
457,27
458,21
459,30
460,22
461,12
462,21
463,35
464,21
465,4
466,16
467,6
468,36
469,25
470,6
471,20
472,52
473,12
474,16
475,14
476,46
477,5
478,25
479,4
480,19
481,1
482,13
483,12
484,31
485,2
486,21
487,9
488,6
489,40
490,12
491,10
492,5
493,53
494,34
495,8
496,54
497,32
498,10
499,17
500,9
501,7
502,3
503,21
504,17
505,12
506,20
507,0
508,24
509,15
510,15
511,42
512,43
513,36
514,12
515,17
516,24
517,13
518,3
519,8
520,8
521,1
522,25
523,2
524,13
525,16
526,44
527,17
528,40
529,14
530,5
531,2
532,14
533,19
534,17
535,3
536,14
537,8
538,9
539,7
540,15
541,4
542,0
543,39
544,18
545,1
546,43
547,25
548,32
549,5
550,5
551,15
552,23
553,3
554,29
555,10
556,4
557,30
558,2
559,2
560,2
561,5
562,8
563,12
564,12
565,11
566,23
567,4
568,18
569,2
570,55
571,33
572,27
573,16
574,36
575,4
576,0
577,61
578,2
579,4
580,25
581,2
582,10
583,29
584,10
585,2
586,18
587,5
588,19
589,3
590,4
591,21
592,4
593,37
594,29
595,11
596,9
597,9
598,4
599,14
600,13
601,9
602,18
603,8
604,11
605,17
606,14
607,29
608,14
609,10
610,19
611,10
612,24
613,11
614,7
615,2
616,23
617,6
618,18
619,34
620,4
621,34
622,4
623,8
624,16
625,29
626,39
627,4
628,21
629,9
630,27
631,6
632,12
633,29
634,2
635,12
636,34
637,32
638,1
639,10
640,11
641,2
642,6
643,13
644,12
645,14
646,2
647,23
648,4
649,6
650,29
651,5
652,2
653,14
654,19
655,3
656,7
657,57
658,5
659,9
660,42
661,15
662,30
663,12
664,7
665,17
666,7
667,7
668,9
669,41
670,8
671,10
672,7
673,29
674,36
675,6
676,33
677,9
678,6
679,29
680,6
681,33
682,25
683,4
684,18
685,16
686,21
687,13
688,15
689,27
690,2
691,14
692,15
693,20
694,10
695,3
696,23
697,8
698,31
699,4
700,14
701,3
702,12
703,15
704,23
705,21
706,8
707,3
708,20
709,5
710,20
711,5
712,20
713,2
714,40
715,28
716,24
717,26
718,22
719,30
720,5
721,21
722,6
723,10
724,22
725,13
726,16
727,8
728,6
729,74
730,12
731,9
732,12
733,24
734,32
735,37
736,15
737,10
738,25
739,50
740,16
