index,value
0,8
1,23
2,39
3,83
4,27
5,6
6,62
7,71
8,26
9,48
10,11
11,3
12,34
13,2
14,29
15,36
16,66
17,52
18,28
19,32
20,74
21,58
22,40
23,31
24,25
25,32
26,45
27,49
28,44
29,91
30,71
31,46
32,53
33,69
34,50
35,60
36,29
37,16
38,30
39,57
40,19
41,35
42,42
43,22
44,71
45,6
46,23
47,23
48,5
49,39
50,48
51,13
52,46
53,57
54,86
55,90
56,74
57,57
58,40
59,69
60,17
61,66
62,79
63,56
64,26
65,54
66,62
67,35
68,60
69,49
70,52
71,45
72,85
73,1
74,78
75,17
76,55
77,3
78,9
79,17
80,65
81,29
82,59
83,11
84,5
85,58
86,70
87,53
88,51
89,22
90,45
91,45
92,17
93,42
94,75
95,17
96,85
97,16
98,39
99,99
100,45
101,34
102,5
103,13
104,17
105,73
106,86
107,43
108,73
109,36
110,33
111,79
112,37
113,59
114,22
115,46
116,25
117,70
118,18
119,87
120,69
121,18
122,58
123,72
124,24
125,11
126,87
127,51
128,70
129,60
130,52
131,38
132,30
133,8
134,20
135,73
136,53
137,4
138,45
139,79
140,8
141,1
142,4
143,16
144,46
145,69
146,11
147,47
148,86
149,19
150,55
151,39
152,34
153,12
154,11
155,55
156,41
157,5
158,63
159,68
160,51
161,69
162,75
163,54
164,39
165,13
166,28
167,47
168,71
169,92
170,84
171,67
172,11
173,62
174,68
175,7
176,65
177,27
178,41
179,22
180,43
181,4
182,10
183,22
184,63
185,55
186,33
187,43
188,21
189,3
190,65
191,31
192,60
193,49
194,1
195,28
196,49
197,23
198,75
199,14
200,42
201,71
202,74
203,3
204,75
205,46
206,36
207,32
208,22
209,16
210,36
211,21
212,41
213,18
214,7
215,4
216,21
217,13
218,37
219,31
220,59
221,27
222,67
223,73
224,21
225,6
226,0
227,6
228,52
229,12
230,87
231,90
232,56
233,55
234,17
235,53
236,83
237,85
238,68
239,17
240,53
241,63
242,38
243,8
244,40
245,73
246,39
247,59
248,17
249,71
250,80
251,32
252,70
253,12
254,70
255,33
256,25
257,40
258,42
259,28
260,74
261,5
262,7
263,51
264,23
265,29
266,5
267,33
268,18
269,24
270,39
271,17
272,57
273,47
274,83
275,22
276,53
277,3
278,14
279,37
280,54
281,91
282,21
283,58
284,52
285,12
286,53
287,55
288,34
289,30
290,60
291,18
292,21
293,16
294,20
295,45
296,0
297,81
298,9
299,77
300,8
301,39
302,9
303,84
304,21
305,44
306,10
307,58
308,7
309,70
310,42
311,26
312,59
313,63
314,37
315,68
316,74
317,49
318,21
319,67
320,69
321,72
322,28
323,25
324,21
325,32
326,39
327,23
328,41
329,34
330,5
331,62
332,60
333,39
334,57
335,60
