index,value
0,56
1,50
2,97
3,100
4,77
5,42
6,71
7,95
8,72
9,80
10,88
11,85
12,69
13,95
14,100
15,82
16,54
17,89
18,44
19,26
20,29
21,52
22,90
23,56
24,59
25,94
26,87
27,53
28,94
29,100
30,53
31,85
32,65
33,68
34,94
35,98
36,91
37,37
38,83
39,85
40,42
41,59
42,100
43,100
44,98
45,100
46,12
47,50
48,35
49,100
50,51
51,68
52,100
53,78
54,100
55,100
56,85
57,74
58,81
59,97
60,60
61,75
62,71
63,21
64,16
65,73
66,48
67,81
68,43
69,7
70,7
71,64
72,100
73,62
74,1
75,57
76,33
77,69
78,91
79,40
80,42
81,86
82,85
83,67
84,79
85,30
86,15
87,62
88,64
89,76
90,4
91,88
92,59
93,83
94,68
95,28
96,94
97,73
98,100
99,61
100,100
101,79
102,71
103,95
104,100
105,26
106,38
107,100
108,47
109,46
110,64
111,100
112,54
113,25
114,100
115,97
116,49
117,39
118,73
119,100
120,17
121,48
122,13
123,5
124,61
125,30
126,13
127,89
128,19
129,67
130,39
131,78
132,38
133,68
134,34
135,93
136,98
137,100
138,74
139,81
140,90
141,93
142,93
143,81
144,78
145,100
146,32
147,84
148,91
149,100
150,16
151,41
152,67
153,14
154,86
155,14
156,100
157,86
158,21
159,81
160,66
161,68
162,100
163,59
164,85
165,87
166,51
167,21
168,90
169,88
170,26
171,90
172,100
173,53
174,24
175,70
176,22
177,78
178,89
179,44
180,15
181,96
182,37
183,100
184,24
185,89
186,40
187,6
188,35
189,85
190,100
191,75
192,87
193,100
194,47
195,65
196,95
197,84
198,88
199,74
200,100
201,9
202,5
203,12
204,13
205,74
206,87
207,60
208,80
209,95
210,81
211,7
212,36
213,4
214,13
215,15
216,33
217,72
218,4
219,85
220,26
221,37
222,73
223,24
224,100
225,15
226,27
227,9
228,100
229,43
230,25
231,100
232,88
233,69
234,34
235,23
236,96
237,5
238,95
239,76
240,0
241,65
242,46
243,13
244,55
245,33
246,60
247,86
248,100
249,77
250,82
251,94
252,31
253,83
254,72
255,24
256,87
257,72
258,100
259,100
260,41
261,42
262,100
263,80
264,100
265,100
266,33
267,77
268,33
269,78
270,100
271,82
272,83
273,22
274,76
275,71
276,100
277,13
278,22
279,85
280,64
281,100
282,23
283,13
284,51
285,85
286,87
287,35
288,69
289,60
290,76
291,42
292,89
293,41
294,83
295,79
296,88
297,56
298,48
299,16
300,67
301,32
302,74
303,97
304,73
305,32
306,90
307,24
308,100
309,100
310,85
311,90
312,92
313,89
314,69
315,72
316,92
