index,value
0,20
1,2
2,53
3,88
4,61
5,9
6,12
7,21
8,23
9,27
10,30
11,48
12,9
13,6
14,13
15,14
16,13
17,15
18,19
19,17
20,90
21,10
22,85
23,98
24,9
25,6
26,10
27,10
28,76
29,2
30,99
31,8
32,16
33,17
34,15
35,71
36,80
37,63
38,5
39,9
40,14
41,25
42,2
43,39
44,82
45,14
46,84
47,90
48,91
49,10
50,74
51,7
52,71
53,8
54,98
55,7
56,14
57,64
58,32
59,20
60,85
61,0
62,0
63,16
64,46
65,56
66,86
67,14
68,5
69,0
70,17
71,4
72,4
73,13
74,12
75,37
76,81
77,36
78,16
79,21
80,79
81,20
82,0
83,77
84,9
85,71
86,5
87,0
88,19
89,15
90,79
91,9
92,7
93,0
94,0
95,12
96,6
97,73
98,40
99,23
100,22
101,88
102,16
103,51
104,11
105,17
106,10
107,77
108,6
109,81
110,17
111,19
112,9
113,17
114,22
115,49
116,12
117,9
118,92
119,2
120,47
121,0
122,8
123,67
124,7
125,10
126,8
127,14
128,71
129,94
130,75
131,12
132,70
133,46
134,1
135,0
136,73
137,92
138,75
139,82
140,14
141,8
142,47
143,23
144,74
145,0
146,13
147,70
148,99
149,11
150,14
151,95
152,20
153,90
154,60
155,4
156,99
157,60
158,94
159,11
160,9
161,6
162,23
163,94
164,90
165,26
166,22
167,38
168,14
169,42
170,28
171,41
172,19
173,50
174,9
175,74
176,93
177,15
178,34
179,23
180,73
181,8
182,24
183,8
184,0
185,75
186,99
187,69
188,19
189,20
190,26
191,35
192,8
193,23
194,16
195,0
196,4
197,85
198,22
199,97
200,50
201,14
202,66
203,16
204,80
205,0
206,23
207,95
208,86
209,24
210,13
211,18
212,14
213,10
214,13
215,0
216,31
217,53
218,41
219,5
220,45
221,95
222,19
223,98
224,97
225,71
226,70
227,0
228,4
229,3
230,54
231,69
232,70
233,12
234,10
235,17
236,2
237,27
238,11
239,68
240,42
241,23
242,15
243,23
244,38
245,60
246,12
247,69
248,2
249,4
250,37
251,22
252,46
253,68
254,25
255,66
256,90
257,2
258,0
259,21
260,63
261,60
262,69
263,4
264,8
265,88
266,59
267,6
268,78
269,2
270,35
271,3
272,0
273,24
274,9
275,31
276,9
277,3
278,12
279,71
280,84
281,29
282,20
283,91
284,15
285,16
286,89
287,12
288,11
289,23
290,93
291,64
292,7
293,7
294,0
295,0
296,67
297,37
298,58
299,21
300,25
301,88
302,73
303,22
304,24
305,9
306,0
307,16
308,50
309,54
310,16
311,88
312,40
313,16
314,92
315,10
316,2
317,32
318,17
319,61
320,74
321,78
322,4
323,14
324,68
325,60
326,16
327,1
328,13
329,32
330,10
331,23
332,4
333,0
334,71
335,11
336,45
337,3
338,11
339,75
340,0
341,16
342,11
343,18
344,2
345,2
346,8
347,59
348,94
349,11
350,93
351,10
352,24
353,27
354,0
355,3
356,2
357,8
358,87
359,20
360,43
361,13
362,92
363,56
364,15
365,82
366,0
367,77
368,35
369,8
370,14
371,57
372,79
373,13
374,90
375,94
376,18
377,13
378,26
379,9
380,22
381,90
382,6
383,0
384,69
385,65
386,22
387,0
388,15
389,5
390,71
391,16
392,65
393,16
394,76
395,0
396,78
397,7
398,6
399,99
400,8
401,14
402,10
403,72
404,14
405,67
406,80
407,76
408,66
409,0
410,77
411,95
412,14
413,5
414,0
415,15
416,0
417,20
418,5
419,92
420,14
421,12
422,2
423,18
424,1
425,9
426,97
427,8
428,3
429,11
430,3
431,9
432,50
433,7
434,83
435,0
436,0
437,41
438,17
439,72
440,19
441,7
442,13
443,22
444,23
445,17
446,1
447,14
448,0
449,14
450,0
451,0
452,27
453,10
454,13
455,95
456,89
457,41
458,72
459,65
460,0
461,18
462,31
463,14
464,69
465,44
466,5
467,9
468,17
469,67
470,6
471,98
472,27
473,76
474,24
475,17
476,70
477,89
478,72
479,5
480,82
481,8
482,33
483,19
484,94
485,10
486,74
487,30
488,95
489,68
490,35
491,11
492,3
493,15
494,6
495,0
496,8
497,4
498,61
499,12
500,24
501,71
502,69
503,11
504,17
505,18
506,76
507,71
508,19
509,9
510,99
511,85
512,16
513,8
514,4
515,15
516,0
517,58
518,19
519,6
520,6
521,48
522,22
523,12
524,92
525,0
526,15
527,22
528,72
529,2
530,87
531,63
532,12
533,5
534,14
535,73
536,8
537,76
538,5
539,8
540,31
541,73
542,60
543,0
544,8
545,74
546,10
547,6
548,90
549,48
550,9
551,10
552,3
553,73
554,44
555,30
556,0
557,30
558,0
559,4
560,16
561,10
562,15
563,42
564,7
565,2
566,84
567,11
568,48
569,63
570,66
571,36
572,65
573,73
574,8
575,15
576,97
577,19
578,11
579,7
580,7
581,93
582,14
583,9
584,20
585,12
586,67
587,42
588,23
589,14
590,8
591,13
592,11
593,11
594,49
595,10
596,13
597,75
598,71
599,0
600,4
601,45
602,5
603,8
604,10
605,14
606,97
607,19
608,41
609,66
610,82
611,15
612,85
613,12
614,0
615,69
616,73
617,13
618,14
619,13
620,18
621,89
622,94
623,13
624,20
625,4
626,6
627,69
628,72
629,71
630,0
631,65
632,2
633,21
634,4
635,9
636,20
637,33
638,71
639,23
640,32
641,28
642,16
643,73
644,80
645,24
646,92
647,74
648,97
649,0
650,95
651,13
652,8
653,0
654,23
655,7
656,12
657,72
658,14
659,65
660,15
661,16
662,75
663,71
664,44
665,2
666,62
667,65
668,76
669,1
670,26
671,24
672,26
673,13
674,44
675,10
676,38
677,15
678,13
679,25
680,18
681,0
682,5
683,14
684,0
685,4
686,9
687,14
688,93
689,13
690,71
691,12
692,16
693,8
694,72
695,14
696,5
697,22
698,90
699,12
700,1
701,11
702,4
703,83
704,9
705,88
706,97
707,60
708,34
709,29
710,16
711,100
712,15
713,61
714,9
715,86
716,7
717,17
718,72
719,96
720,8
721,10
722,69
723,7
724,13
725,19
726,3
727,95
728,6
729,31
730,20
731,2
732,79
733,97
734,8
735,15
736,44
737,9
738,14
739,80
740,73
741,11
742,71
743,29
744,21
745,100
746,2
747,13
748,70
749,90
750,2
751,29
752,69
753,11
754,99
755,9
756,10
757,73
758,24
759,95
760,100
761,65
762,0
763,43
764,42
765,36
766,4
767,88
768,3
769,11
770,10
771,82
772,11
773,79
774,24
775,41
776,20
777,8
778,7
779,0
780,28
781,6
782,19
783,18
784,86
785,27
786,5
787,98
788,95
789,65
790,2
791,0
792,19
793,19
794,21
795,22
796,27
797,84
798,69
799,64
800,7
801,93
802,11
803,17
804,11
805,8
806,0
807,14
808,72
809,24
810,13
811,10
812,42
813,4
814,7
815,15
816,18
817,6
818,94
819,83
820,77
821,3
822,8
823,69
824,23
825,8
826,74
827,93
828,10
829,26
830,91
831,77
832,12
833,15
834,6
835,4
836,80
837,8
838,0
839,68
840,0
841,48
842,8
843,90
844,96
845,5
846,71
847,25
848,29
849,5
850,8
851,18
852,0
853,88
854,0
855,22
856,15
857,83
858,18
859,16
860,94
861,26
862,95
863,10
864,71
865,8
866,10
867,92
868,100
869,15
870,13
871,91
872,11
873,25
874,0
875,71
876,2
877,0
878,57
879,36
880,39
881,31
882,16
883,13
884,6
885,72
886,0
887,21
888,31
889,44
890,5
891,0
892,68
893,76
894,93
895,30
896,96
897,28
898,10
899,92
900,14
901,15
902,89
903,17
904,56
905,54
906,10
907,14
908,5
909,11
910,81
911,5
912,0
913,24
914,6
915,28
916,18
917,16
918,18
919,11
920,6
921,15
922,25
923,13
924,57
925,25
926,11
927,22
928,94
929,19
930,8
931,94
932,85
933,1
934,61
935,27
936,13
937,99
938,0
939,76
940,12
941,27
942,0
943,60
944,18
945,69
946,92
947,29
948,33
949,5
950,12
951,51
952,14
953,51
954,0
955,0
956,22
957,8
958,69
959,16
960,49
961,87
962,9
963,7
964,0
965,25
966,0
967,12
968,11
969,82
970,32
971,15
972,49
973,55
974,73
975,76
976,19
977,18
978,73
979,19
980,12
981,37
982,79
983,20
984,86
985,10
986,3
987,13
988,10
989,0
990,36
991,8
992,0
993,87
994,5
995,11
996,1
997,16
998,96
999,85
1000,18
1001,6
1002,0
1003,6
1004,14
1005,7
1006,100
1007,0
1008,4
1009,17
1010,26
1011,12
1012,14
1013,11
1014,11
1015,14
1016,54
1017,23
1018,41
1019,24
1020,3
1021,29
1022,13
1023,74
1024,8
1025,18
1026,41
1027,10
1028,11
1029,11
1030,70
1031,0
1032,14
1033,25
1034,3
1035,3
1036,87
1037,65
1038,0
1039,29
1040,25
1041,9
1042,3
1043,10
1044,75
1045,14
1046,19
1047,22
1048,36
1049,73
1050,89
1051,43
1052,2
1053,60
1054,24
1055,75
1056,3
1057,73
1058,13
1059,34
1060,0
1061,86
1062,8
1063,28
1064,6
1065,22
1066,4
1067,48
1068,29
1069,9
1070,88
1071,0
1072,22
1073,98
1074,0
1075,5
1076,68
1077,99
1078,8
1079,94
1080,2
1081,35
1082,90
1083,16
1084,0
1085,3
1086,88
1087,42
1088,17
1089,11
1090,16
1091,10
1092,34
1093,78
1094,37
1095,11
1096,35
1097,9
1098,13
1099,7
1100,10
1101,34
1102,5
1103,14
1104,96
1105,15
1106,52
1107,91
1108,0
1109,17
1110,95
1111,24
1112,83
1113,10
1114,10
1115,16
1116,11
1117,65
1118,18
1119,100
1120,77
1121,7
1122,8
1123,90
1124,53
1125,16
1126,29
1127,12
1128,0
1129,6
1130,16
1131,72
1132,28
1133,9
1134,20
1135,14
1136,70
1137,74
1138,71
1139,7
1140,75
1141,19
1142,14
1143,22
1144,92
1145,86
1146,16
1147,1
1148,90
1149,2
1150,6
1151,12
1152,28
1153,1
1154,99
1155,18
1156,16
1157,44
1158,91
1159,1
1160,19
1161,54
1162,24
1163,23
1164,12
1165,97
1166,94
1167,85
1168,1
1169,99
1170,80
1171,12
1172,60
1173,65
1174,10
1175,65
1176,5
1177,22
1178,14
1179,21
1180,72
1181,19
1182,16
1183,19
1184,3
1185,47
1186,80
1187,25
1188,3
1189,17
1190,4
1191,6
1192,20
1193,24
1194,3
1195,25
1196,57
1197,10
1198,19
1199,90
1200,12
1201,2
1202,89
1203,3
1204,0
1205,77
1206,10
1207,95
1208,69
1209,7
1210,90
1211,96
1212,16
1213,100
1214,81
1215,50
1216,8
1217,12
1218,26
1219,32
1220,75
1221,17
1222,94
1223,0
1224,11
1225,12
1226,9
1227,91
1228,14
1229,62
1230,38
1231,7
1232,26
1233,85
1234,52
1235,5
1236,52
1237,9
1238,93
1239,74
1240,16
1241,68
1242,20
1243,0
1244,17
1245,12
1246,15
1247,7
1248,0
1249,5
1250,11
1251,70
1252,5
1253,22
1254,11
1255,95
1256,21
1257,0
1258,71
1259,26
1260,87
1261,6
1262,20
1263,25
1264,62
1265,86
1266,33
1267,91
1268,9
1269,100
1270,9
1271,6
1272,17
1273,2
1274,22
1275,10
1276,15
1277,22
1278,18
1279,97
1280,98
1281,18
1282,14
1283,82
1284,24
1285,21
1286,2
1287,68
1288,0
1289,74
1290,87
1291,14
1292,16
1293,16
1294,33
1295,9
1296,1
1297,13
1298,67
1299,77
1300,96
1301,79
1302,12
1303,20
1304,18
1305,30
1306,67
1307,1
1308,0
1309,86
1310,83
1311,83
1312,3
1313,3
1314,14
1315,22
1316,12
1317,20
1318,85
1319,12
1320,36
1321,17
1322,32
1323,0
1324,71
1325,97
1326,70
1327,72
1328,8
1329,8
1330,9
1331,9
1332,7
1333,62
1334,9
1335,55
1336,61
1337,70
1338,22
1339,69
1340,0
1341,16
1342,75
1343,16
1344,34
1345,25
1346,88
1347,70
1348,11
1349,97
1350,94
1351,34
1352,1
1353,18
1354,10
1355,26
1356,32
1357,61
1358,26
1359,1
1360,0
1361,2
1362,90
1363,6
1364,15
1365,5
1366,16
1367,0
1368,17
1369,11
1370,79
1371,74
1372,95
1373,2
1374,15
1375,10
1376,34
1377,13
1378,17
1379,9
1380,92
1381,26
1382,69
1383,11
1384,86
1385,79
1386,5
1387,76
1388,96
1389,95
1390,3
1391,50
1392,90
1393,12
1394,24
1395,0
1396,86
1397,19
1398,61
1399,88
1400,5
1401,17
1402,34
1403,89
1404,0
1405,14
1406,13
1407,67
1408,79
1409,0
1410,9
1411,8
1412,21
1413,74
1414,10
1415,7
1416,4
1417,72
1418,48
1419,9
1420,36
1421,11
1422,16
1423,3
1424,25
1425,9
1426,74
1427,24
1428,37
1429,75
1430,9
1431,71
1432,61
1433,72
1434,57
1435,68
1436,0
1437,15
1438,72
1439,4
1440,94
1441,0
1442,15
1443,21
1444,91
1445,0
1446,44
1447,7
1448,31
1449,11
1450,39
1451,6
1452,7
1453,16
1454,14
1455,50
1456,19
1457,14
1458,11
1459,27
1460,22
1461,0
1462,0
1463,8
1464,15
1465,7
1466,68
1467,98
1468,5
1469,11
1470,13
1471,0
1472,25
1473,10
1474,72
1475,92
1476,2
1477,67
1478,11
1479,85
1480,87
1481,27
1482,20
1483,92
1484,95
1485,81
1486,76
1487,78
1488,7
1489,17
1490,79
1491,4
1492,20
1493,11
1494,23
1495,90
1496,12
1497,64
1498,5
1499,11
1500,14
1501,24
1502,70
1503,51
1504,73
1505,76
1506,3
1507,7
1508,8
1509,57
1510,6
1511,0
1512,14
1513,88
1514,21
1515,1
1516,48
1517,10
1518,43
1519,88
1520,75
1521,6
1522,14
1523,81
1524,16
1525,0
1526,7
1527,95
1528,2
1529,99
1530,82
1531,70
1532,93
1533,18
1534,0
1535,0
1536,98
1537,2
1538,3
1539,67
1540,0
1541,18
1542,70
1543,21
1544,95
1545,20
1546,40
1547,69
1548,89
1549,12
1550,14
1551,23
1552,77
1553,29
1554,75
1555,68
1556,86
1557,95
1558,7
1559,49
1560,20
1561,77
1562,43
1563,0
1564,18
1565,76
1566,59
1567,15
1568,13
1569,4
1570,74
1571,15
1572,75
1573,10
1574,71
1575,9
1576,77
1577,13
1578,15
1579,4
1580,16
1581,66
1582,12
1583,59
1584,83
1585,27
1586,70
1587,22
1588,82
1589,11
1590,22
1591,73
1592,16
1593,58
1594,57
1595,24
1596,21
1597,1
