index,value
0,24
1,61
2,85
3,81
4,0
5,18
6,22
7,19
8,17
9,24
10,66
11,93
12,9
13,41
14,36
15,84
16,22
17,11
18,38
19,96
20,71
21,15
22,76
23,75
24,99
25,59
26,0
27,49
28,46
29,38
30,38
31,47
32,58
33,45
34,53
35,32
36,51
37,53
38,63
39,86
40,32
41,65
42,20
43,48
44,73
45,77
46,34
47,60
48,44
49,47
50,86
51,91
52,29
53,66
54,32
55,69
56,49
57,55
58,65
59,76
60,0
61,46
62,29
63,57
64,55
65,55
66,66
67,27
68,58
69,46
70,63
71,80
72,52
73,85
74,39
75,2
76,43
77,72
78,20
79,75
80,42
81,2
82,7
83,86
84,74
85,18
86,65
87,40
88,79
89,30
90,58
91,34
92,35
93,84
94,45
95,4
96,29
97,70
98,21
99,0
100,72
101,37
102,60
103,83
104,91
105,42
106,30
107,97
108,100
109,20
110,27
111,67
112,27
113,30
114,1
115,67
116,31
117,28
118,8
119,24
120,22
121,76
122,55
123,76
124,59
125,83
126,77
127,0
128,87
129,54
130,16
131,51
132,29
133,58
134,27
135,8
136,94
137,82
138,5
139,37
140,56
141,51
142,39
143,2
144,50
145,1
146,75
147,11
148,56
149,71
150,26
151,33
152,62
153,58
154,83
155,82
156,19
157,52
158,65
159,79
160,18
161,50
162,54
163,27
164,72
165,38
166,23
167,37
168,90
169,0
170,29
171,71
172,75
173,47
174,20
175,10
176,100
177,46
178,9
179,44
180,16
181,93
182,16
183,16
184,32
185,86
186,91
187,41
188,74
189,76
190,94
191,18
192,70
193,64
194,56
195,27
196,33
197,94
198,78
199,81
200,85
201,47
202,34
203,37
204,55
205,21
206,27
207,94
208,98
209,0
210,20
211,73
212,68
213,93
214,63
215,32
216,96
217,25
218,29
219,96
220,66
221,41
222,20
223,17
224,21
225,19
226,76
227,49
228,94
229,77
230,82
231,54
232,23
233,85
234,14
235,44
236,37
237,67
238,90
239,24
240,78
241,57
242,16
243,66
244,22
245,21
246,62
247,65
248,39
249,33
250,24
251,51
252,24
253,21
254,33
255,58
256,87
257,84
258,64
259,96
260,85
261,26
262,31
263,17
264,71
265,23
266,43
267,85
268,54
269,19
270,82
271,79
272,21
273,1
274,24
275,21
276,59
277,89
278,64
279,82
280,17
281,78
282,40
283,70
284,86
285,48
286,50
287,35
288,31
289,20
290,92
291,61
292,65
293,71
294,17
295,93
296,16
297,5
298,54
299,12
300,30
301,84
302,75
303,66
304,45
305,29
306,61
307,74
308,24
309,16
310,60
311,76
312,10
313,41
314,69
315,47
316,84
317,22
318,87
319,47
320,58
321,90
322,45
323,45
324,51
325,46
326,0
327,1
328,63
329,50
330,23
331,41
332,89
333,77
334,15
335,100
336,52
337,28
338,76
339,81
340,25
341,75
342,23
343,30
344,58
345,15
346,23
347,49
348,34
349,40
350,84
351,77
352,70
353,22
354,81
355,19
356,0
357,19
358,100
359,72
360,53
361,90
362,51
363,33
364,21
365,7
366,23
367,17
368,77
369,44
370,14
371,77
372,0
373,81
374,39
375,90
376,78
377,45
378,22
379,80
380,5
381,19
382,41
383,8
384,52
385,85
386,79
387,22
388,49
389,79
390,2
391,97
392,99
393,45
394,16
395,85
396,14
397,22
398,0
399,46
400,48
401,87
402,24
403,94
404,100
405,68
406,89
407,95
408,3
409,82
410,54
411,78
412,77
413,97
414,73
415,85
416,17
417,52
418,0
419,83
420,53
421,5
422,77
423,8
424,82
425,54
426,27
427,5
428,50
429,80
430,75
431,14
432,6
433,39
434,6
435,21
436,61
437,48
438,73
439,69
440,76
441,34
442,18
443,23
444,67
445,3
446,46
447,98
448,85
449,45
450,68
451,71
452,26
453,36
454,99
455,69
456,9
457,84
458,62
459,33
460,81
461,12
462,70
463,74
464,55
465,16
466,47
467,24
468,58
469,26
470,73
471,19
472,53
473,82
474,56
475,30
476,51
477,24
478,75
479,36
480,16
481,21
482,13
483,38
484,26
485,50
486,52
487,68
488,56
489,47
490,66
491,79
492,55
493,0
494,54
495,67
496,22
497,72
498,0
499,5
500,14
501,64
502,31
503,48
504,17
505,68
506,78
507,44
508,55
509,94
510,81
511,50
512,53
513,80
514,46
515,60
516,30
517,33
518,66
519,88
520,83
521,6
522,32
523,57
524,67
525,38
526,15
527,8
528,11
529,60
530,27
531,42
532,79
533,73
534,86
535,60
536,73
537,69
538,74
539,98
540,71
541,90
542,3
543,67
544,92
545,8
546,24
547,46
548,69
549,2
550,83
551,92
552,91
553,13
554,14
555,42
556,45
557,87
558,52
559,57
560,78
561,19
562,9
563,79
564,79
565,99
566,40
567,83
568,25
569,67
570,19
571,87
572,12
573,50
574,75
575,78
576,37
577,9
578,19
579,9
580,24
581,46
582,41
583,69
584,92
585,36
586,87
587,81
588,61
589,72
590,63
591,88
592,69
593,47
594,26
595,29
596,39
597,96
598,4
599,48
600,29
601,18
602,81
603,42
604,20
605,43
606,44
607,79
608,2
609,37
610,35
611,84
612,80
613,59
614,43
615,41
616,90
617,28
618,76
619,44
620,13
621,31
622,84
623,66
624,7
625,15
626,69
627,44
628,83
629,66
630,84
631,83
632,83
633,6
634,31
635,66
636,39
637,98
638,12
639,74
640,51
641,48
642,47
643,50
644,0
645,93
646,30
647,4
648,16
649,22
650,2
651,20
652,80
653,53
654,69
655,8
656,10
657,3
658,82
659,77
660,23
661,88
662,2
663,64
664,57
665,51
666,100
667,59
668,11
669,79
670,80
671,97
672,60
673,14
674,11
675,13
676,35
677,51
678,18
679,0
680,42
681,0
682,62
683,90
684,63
685,60
686,34
687,91
688,100
689,39
690,19
691,21
692,47
693,26
694,26
695,54
696,22
697,19
698,60
699,57
700,71
701,48
702,68
703,80
704,13
705,12
706,71
707,63
708,78
709,12
710,76
711,55
712,78
713,71
714,19
715,36
716,13
717,16
718,88
719,0
720,55
721,6
722,89
723,93
724,15
725,80
726,69
727,45
728,88
729,41
730,93
731,75
732,48
733,76
734,13
735,60
736,5
737,21
738,48
739,51
740,34
741,45
742,57
743,14
744,54
745,38
746,67
747,9
748,8
749,34
750,99
751,12
752,14
753,46
754,53
755,11
756,16
757,85
758,76
759,23
760,95
761,61
762,3
763,66
764,24
765,77
766,40
767,10
768,100
769,81
770,13
771,32
772,55
773,58
774,13
775,52
776,46
777,37
778,63
779,44
780,88
781,40
782,48
783,54
784,6
785,42
786,43
787,31
788,61
789,44
790,74
791,83
792,26
793,80
794,59
795,46
796,47
797,20
798,80
799,44
800,59
801,88
802,49
803,76
804,40
805,41
806,80
807,27
808,56
809,43
810,26
811,58
812,49
813,98
814,86
815,24
816,22
817,44
818,79
819,78
820,15
821,21
822,100
823,97
824,42
825,61
826,80
827,75
828,0
829,9
830,0
831,66
832,90
833,45
834,7
835,39
836,20
837,55
838,56
839,17
840,36
841,22
842,60
843,10
844,42
845,38
846,17
847,18
848,22
849,2
850,73
851,40
852,58
853,86
854,90
855,75
856,65
857,78
858,21
859,49
860,40
861,100
862,80
863,72
864,17
865,27
866,22
867,50
868,55
869,97
870,32
871,89
872,46
873,72
874,40
875,46
876,13
877,25
878,12
879,25
880,69
881,55
882,26
883,22
884,87
885,46
886,55
887,93
888,6
889,6
890,47
891,40
892,21
893,57
894,11
895,95
896,8
897,47
898,36
899,32
900,46
901,1
902,1
903,29
904,14
905,58
906,92
907,88
908,33
909,49
910,23
911,56
912,35
913,61
914,55
915,93
916,84
917,21
918,45
919,98
920,7
921,78
922,62
923,64
924,83
925,24
926,12
927,41
928,16
929,58
930,26
931,82
932,80
933,23
934,33
935,34
936,67
937,82
938,9
939,76
940,72
941,56
942,10
943,27
944,52
945,66
946,26
947,84
948,84
949,28
950,25
951,41
952,70
953,53
954,37
955,36
956,29
957,93
958,11
959,51
960,88
961,46
962,8
963,44
964,31
965,52
966,92
967,16
968,100
969,0
970,100
971,98
972,74
973,82
974,20
975,43
976,32
977,95
978,35
979,22
980,90
981,0
982,72
983,94
984,54
985,50
986,78
987,14
988,52
989,55
990,99
991,46
992,86
993,18
994,2
995,7
996,36
997,0
998,23
999,84
1000,59
1001,73
1002,67
1003,16
1004,31
1005,50
1006,100
1007,77
1008,39
1009,29
1010,53
1011,30
1012,3
1013,64
1014,44
1015,43
1016,47
1017,100
1018,75
1019,33
1020,72
1021,81
1022,49
1023,73
1024,63
1025,51
1026,74
1027,93
1028,0
1029,17
1030,90
1031,92
1032,58
1033,44
1034,45
1035,86
1036,56
1037,55
1038,52
1039,63
1040,56
1041,11
1042,49
1043,97
1044,89
1045,14
1046,13
1047,60
1048,82
1049,64
1050,38
1051,67
1052,4
1053,9
1054,6
1055,38
1056,44
1057,32
1058,59
1059,84
1060,3
1061,57
1062,21
1063,63
1064,17
1065,0
1066,29
1067,84
1068,41
1069,28
1070,40
1071,29
1072,56
1073,67
1074,52
1075,45
1076,88
1077,13
1078,8
1079,89
1080,52
1081,76
1082,97
1083,97
1084,22
1085,21
1086,19
1087,68
1088,63
1089,43
1090,47
1091,56
1092,50
1093,66
1094,80
1095,30
1096,9
1097,12
1098,19
1099,88
1100,50
1101,23
1102,16
1103,72
1104,40
1105,74
1106,80
1107,100
1108,26
1109,64
1110,81
1111,95
1112,44
1113,0
1114,44
1115,51
1116,90
1117,64
1118,60
1119,11
1120,35
1121,38
1122,94
1123,91
1124,33
1125,56
1126,21
1127,31
1128,19
1129,34
1130,13
1131,84
1132,37
1133,10
1134,84
1135,28
1136,99
1137,45
1138,62
1139,36
1140,60
1141,56
1142,12
1143,63
1144,22
1145,91
1146,89
1147,10
1148,29
1149,9
1150,51
1151,0
1152,51
1153,43
1154,14
1155,85
1156,53
1157,76
1158,74
1159,55
1160,98
1161,0
1162,87
1163,78
1164,15
1165,54
1166,73
1167,70
1168,89
1169,60
1170,61
1171,66
1172,92
1173,8
1174,66
1175,51
1176,17
1177,17
1178,44
1179,4
1180,59
1181,68
1182,65
1183,47
1184,12
1185,64
1186,88
1187,27
1188,53
1189,37
1190,51
1191,11
1192,88
1193,56
1194,52
1195,53
1196,86
1197,30
1198,4
1199,21
1200,15
1201,91
1202,7
1203,41
1204,22
1205,95
1206,70
1207,30
1208,14
1209,36
1210,48
1211,13
1212,72
1213,51
1214,9
1215,19
1216,36
1217,36
1218,73
1219,18
1220,90
1221,20
1222,75
1223,65
1224,84
1225,70
1226,65
1227,82
1228,100
1229,46
1230,71
1231,82
1232,3
1233,29
1234,49
1235,9
1236,88
1237,27
1238,53
1239,37
1240,14
1241,12
1242,90
1243,9
1244,61
1245,44
1246,26
1247,28
1248,35
1249,41
1250,9
1251,32
1252,88
1253,6
1254,96
1255,79
1256,48
1257,19
1258,65
1259,76
1260,57
1261,21
1262,90
1263,8
1264,9
1265,62
1266,4
1267,32
1268,41
1269,81
1270,90
1271,92
1272,74
1273,92
1274,28
1275,87
1276,9
1277,68
1278,52
1279,64
1280,11
1281,62
1282,6
1283,31
1284,87
1285,48
1286,40
1287,94
1288,14
1289,92
1290,57
1291,30
1292,25
1293,39
1294,18
1295,89
1296,78
1297,92
1298,45
1299,69
1300,81
1301,81
1302,16
1303,100
1304,61
1305,22
1306,63
1307,61
1308,70
1309,69
1310,64
1311,80
1312,10
1313,77
1314,100
1315,85
1316,0
1317,43
1318,97
1319,0
1320,47
1321,89
1322,64
1323,32
1324,0
1325,50
1326,66
1327,40
1328,20
1329,84
1330,74
1331,72
1332,97
1333,85
1334,82
1335,24
1336,87
1337,57
1338,68
1339,13
1340,55
1341,66
1342,80
1343,66
1344,38
1345,51
1346,78
