index,value
0,81
1,100
2,73
3,50
4,6
5,29
6,47
7,2
8,37
9,100
10,11
11,97
12,50
13,61
14,63
15,96
16,69
17,28
18,66
19,74
20,97
21,41
22,90
23,56
24,59
25,83
26,98
27,98
28,46
29,71
30,78
31,58
32,94
33,94
34,42
35,76
36,100
37,78
38,87
39,12
40,98
41,31
42,72
43,95
44,72
45,13
46,60
47,84
48,54
49,81
50,71
51,38
52,62
53,98
54,84
55,42
56,92
57,85
58,77
59,66
60,32
61,22
62,100
63,2
64,16
65,86
66,84
67,81
68,88
69,75
70,25
71,100
72,100
73,68
74,63
75,65
76,76
77,91
78,27
79,100
80,93
81,66
82,38
83,74
84,43
85,76
86,14
87,73
88,100
89,76
90,77
91,25
92,100
93,79
94,14
95,97
96,1
97,85
98,33
99,82
100,73
101,74
102,88
103,11
104,49
105,48
106,100
107,55
108,27
109,27
110,36
111,100
112,100
113,46
114,24
115,100
116,87
117,86
118,51
119,67
120,92
121,100
122,100
123,89
124,45
125,82
126,66
127,49
128,80
129,100
130,90
131,46
132,79
133,6
134,70
135,100
136,73
137,100
138,55
139,85
140,69
141,100
142,76
143,100
144,92
145,58
146,57
147,88
148,100
149,45
150,0
151,7
152,53
153,35
154,50
155,62
156,100
157,78
158,26
159,48
160,100
161,63
162,67
163,12
164,94
165,100
166,45
167,34
168,100
169,47
170,90
171,54
172,64
173,97
174,72
175,23
176,70
177,7
178,71
179,72
180,55
181,75
182,100
183,64
184,22
185,58
186,95
187,3
188,100
189,74
190,95
191,99
192,79
193,30
194,73
195,43
196,73
197,100
198,65
199,44
200,93
201,90
202,68
203,13
204,99
205,92
206,60
207,95
208,75
209,74
210,46
211,67
212,67
213,89
214,37
215,84
216,100
217,76
218,93
219,37
220,18
221,60
222,81
223,100
224,100
225,91
226,100
227,61
228,100
229,10
230,20
231,66
232,36
233,52
234,11
235,81
236,74
237,51
238,100
239,100
240,16
241,98
242,75
243,97
244,57
245,24
246,89
247,43
248,92
249,99
250,100
251,45
252,89
253,66
254,67
255,63
256,100
257,42
258,12
259,68
260,68
261,44
262,98
263,57
264,100
265,89
266,92
267,52
268,91
269,15
270,100
271,5
272,95
273,87
274,79
275,82
276,65
277,57
278,0
279,73
280,100
281,26
282,93
283,62
284,85
285,78
286,23
287,1
288,34
289,61
290,48
291,59
292,71
293,62
294,63
295,10
296,85
297,89
298,42
299,97
300,95
301,42
302,71
303,48
304,49
305,54
306,24
307,100
308,100
309,62
310,5
311,33
312,58
313,62
314,91
315,54
316,7
317,71
318,45
319,97
320,95
321,53
322,70
323,90
324,38
325,100
326,11
327,53
328,12
329,100
330,100
331,36
332,41
333,100
334,44
335,92
336,83
337,41
338,100
339,19
340,42
341,60
342,54
343,33
344,62
345,100
346,5
347,32
348,74
349,11
