index,value
0,20
1,21
2,46
3,35
4,0
5,13
6,22
7,78
8,47
9,58
10,71
11,6
12,18
13,37
14,30
15,36
16,18
17,24
18,25
19,43
20,15
21,79
22,1
23,13
24,17
25,70
26,14
27,29
28,18
29,36
30,23
31,15
32,5
33,28
34,5
35,20
36,90
37,17
38,13
39,84
40,14
41,16
42,0
43,9
44,13
45,61
46,81
47,69
48,7
49,12
50,18
51,3
52,11
53,62
54,15
55,94
56,19
57,19
58,15
59,8
60,3
61,20
62,11
63,29
64,21
65,17
66,15
67,18
68,94
69,32
70,93
71,11
72,22
73,25
74,55
75,98
76,15
77,55
78,11
79,83
80,7
81,17
82,0
83,95
84,63
85,22
86,69
87,18
88,22
89,24
90,18
91,10
92,8
93,54
94,51
95,27
96,16
97,12
98,8
99,44
100,83
101,12
102,18
103,49
104,77
105,19
106,12
107,91
108,19
109,58
110,19
111,25
112,43
113,19
114,20
115,33
116,17
117,56
118,63
119,16
120,12
121,6
122,29
123,92
124,77
125,10
126,67
127,55
128,19
129,31
130,6
131,12
132,51
133,2
134,18
135,23
136,19
137,17
138,26
139,14
140,11
141,69
142,7
143,23
144,61
145,16
146,17
147,97
148,44
149,19
150,50
151,90
152,8
153,9
154,12
155,66
156,74
157,27
158,14
159,85
160,2
161,81
162,6
163,6
164,99
165,21
166,9
167,70
168,88
169,2
170,44
171,13
172,43
173,22
174,15
175,24
176,4
177,13
178,6
179,59
180,19
181,20
182,14
183,17
184,14
185,16
186,2
187,17
188,87
189,17
190,11
191,23
192,18
193,14
194,12
195,18
196,89
197,6
198,6
199,37
200,5
201,93
202,12
203,73
204,10
205,22
206,19
207,32
208,19
209,16
210,80
211,4
212,23
213,20
214,12
215,45
216,44
217,30
218,38
219,11
220,6
221,82
222,17
223,58
224,17
225,23
226,18
227,25
228,17
229,9
230,19
231,28
232,19
233,17
234,33
235,28
236,35
237,4
238,96
239,17
240,62
241,24
242,23
243,36
244,59
245,2
246,12
247,19
248,50
249,7
250,20
251,19
252,15
253,33
254,46
255,19
256,25
257,16
258,23
259,60
260,15
261,60
262,98
263,67
264,24
265,11
266,15
267,3
268,47
269,55
270,20
271,66
272,8
273,18
274,1
275,11
276,3
277,81
278,25
279,78
280,11
281,29
282,70
283,9
284,34
285,10
