index,value
0,83
1,99
2,46
3,55
4,60
5,34
6,39
7,54
8,47
9,44
10,80
11,32
12,50
13,57
14,48
15,13
16,26
17,57
18,40
19,46
20,65
21,13
22,45
23,41
24,10
25,61
26,31
27,61
28,64
29,62
30,53
31,54
32,49
33,33
34,51
35,63
36,44
37,70
38,66
39,47
40,71
41,71
42,66
43,90
44,43
45,75
46,65
47,35
48,34
49,5
50,67
51,46
52,26
53,46
54,27
55,50
56,74
57,16
58,42
59,95
60,13
61,46
62,57
63,48
64,58
65,37
66,48
67,60
68,27
69,52
70,62
71,39
72,73
73,53
74,39
75,45
76,61
77,51
78,29
79,44
80,23
81,15
82,44
83,61
84,6
85,42
86,18
87,49
88,61
89,6
90,48
91,66
92,66
93,22
94,60
95,68
96,24
97,55
98,54
99,55
100,50
101,75
102,64
103,46
104,60
105,6
106,44
107,78
108,59
109,48
110,23
111,65
112,48
113,40
114,45
115,70
116,54
117,49
118,78
119,76
120,44
121,16
122,40
123,56
124,51
125,41
126,24
127,70
128,0
129,54
130,14
131,59
132,57
133,73
134,60
135,42
136,43
137,56
138,72
139,3
140,64
141,74
142,94
143,61
144,30
145,48
146,56
147,37
148,34
149,68
150,65
151,26
152,58
153,52
154,59
155,6
156,76
157,26
158,47
159,53
160,65
161,33
162,42
163,68
164,48
165,57
166,18
167,64
168,40
169,36
170,49
171,58
172,59
173,37
174,45
175,23
176,61
177,20
178,43
179,71
180,88
181,32
182,59
183,1
184,29
185,29
186,83
187,43
188,54
189,92
190,97
191,24
192,85
193,58
194,48
195,75
196,53
197,45
198,45
199,27
200,79
201,27
202,27
203,22
204,40
205,55
206,62
207,22
208,69
209,92
210,57
211,32
212,45
213,48
214,46
215,48
216,44
217,55
218,70
219,5
220,52
221,49
222,87
223,4
224,55
225,23
226,69
227,42
228,57
229,59
230,27
231,6
232,80
233,70
234,39
235,58
236,64
237,64
238,30
239,76
240,34
241,7
242,39
243,42
244,32
245,36
246,26
247,38
248,60
249,14
250,56
251,4
252,58
253,23
254,18
255,40
256,61
257,73
258,45
259,29
260,64
261,74
262,77
263,53
264,74
265,10
266,49
267,61
268,54
269,5
270,32
271,52
272,23
273,73
274,59
275,28
276,72
277,70
278,7
279,32
280,70
281,42
282,67
283,85
284,33
285,11
286,55
287,36
288,61
289,74
290,44
291,47
292,66
293,70
294,32
295,42
296,24
297,63
298,39
299,50
300,63
301,2
302,58
303,40
304,51
305,49
306,22
307,79
308,61
309,14
310,60
311,63
312,54
313,48
314,33
315,58
316,75
317,49
318,81
319,66
320,35
321,49
322,73
323,53
324,46
325,45
326,30
327,25
328,54
329,41
330,54
331,37
332,11
333,27
334,42
335,15
336,42
337,71
338,27
339,66
340,78
341,70
342,71
343,52
344,78
345,80
346,45
