case_name,distribution_mode,mean,variance,sample_mean,sample_variance,full_mse,full_mae,full_r2,test_mse,test_mae,test_r2,monotonic_violations
low_biased__low_mean_low_var,low_biased,15,40,16.2488,166.15609856,3.787024399163843e-05,0.004539474936148049,0.9994261997068687,0.0,0.0,1.0,0
low_biased__mid_mean_mid_var,low_biased,50,200,37.4624,561.73898624,4.57083874401032e-05,0.005293448210852142,0.9995397383124723,7.458112190513405e-05,0.006605117960162224,0.611236360170084,0
low_biased__high_mean_high_var,low_biased,85,500,74.0754,216.44051484,0.0001446967990189499,0.008649075689053752,0.9987310890736419,0.0004138486697774057,0.013353592060907481,0.9737605036661607,15
high_biased__low_mean_low_var,high_biased,15,40,83.6534,163.83086844,0.006216957439622599,0.039787391000980755,0.915487260616444,0.028386396768516852,0.13793759168252454,0.3737569375875833,16
high_biased__mid_mean_mid_var,high_biased,50,200,61.999,570.3497990000001,6.024698289066631e-06,0.0017553262530157583,0.999940948887798,1.916753346876729e-05,0.003259287668448825,0.9973578523983437,0
high_biased__high_mean_high_var,high_biased,85,500,25.8336,220.41431104,0.0003196919530386996,0.012592084035319643,0.9970413130065958,0.001095011871223094,0.028552026168651955,-91457.37788058538,24
wide_spread__low_mean_low_var,wide_spread,15,40,22.6684,603.14604144,4.812371071263251e-05,0.005175434192485051,0.9988878211578682,7.384396764827457e-06,0.0020040568548263553,0.8757789670664967,0
wide_spread__mid_mean_mid_var,wide_spread,50,200,49.5426,866.3065852399999,0.0002417942751160266,0.012230523541447004,0.9970588289840044,0.0004424035008452065,0.01744634350648792,0.7603083368485629,0
wide_spread__high_mean_high_var,wide_spread,85,500,78.2632,569.36912576,0.0010234128971807809,0.006329880013301387,0.9785134280650689,0.004840901179140013,0.016846532127815256,0.640814909183902,11
edge_focused__low_mean_low_var,edge_focused,15,40,38.7166,1117.09028444,0.002524749053642864,0.03876037844547204,0.9599767508349073,1.02857142857135e-07,9.523809523809004e-05,-0.0967117988394548,23
edge_focused__mid_mean_mid_var,edge_focused,50,200,50.3,1162.72,0.012102908053385403,0.08050433656712495,0.813643708043188,0.04608910355991135,0.19938918698728791,-2.976555319055803,0
edge_focused__high_mean_high_var,edge_focused,85,500,60.9188,1102.40460656,0.00922569668813392,0.05404053530418111,0.8356227392528882,0.04065046121208255,0.16202324897939607,-2.272868645036199,21
noisy_random__low_mean_low_var,noisy_random,15,40,32.7658,772.64335036,0.0010488322599030056,0.025923369487920542,0.9856959538800459,0.0006736652238184515,0.02200180679672501,0.33368054774660005,0
noisy_random__mid_mean_mid_var,noisy_random,50,200,49.5896,525.94637184,0.00035292661064953093,0.013430611140888426,0.9970850731849906,0.0009144609915574547,0.021835329803924493,0.07023023327575018,11
noisy_random__high_mean_high_var,noisy_random,85,500,66.0958,826.59382236,0.0002180204911457182,0.009025926755552055,0.9967281202486815,0.0006186591963366775,0.01001590467180814,0.9311191829896838,0
mixed__low_mean_low_var,mixed,15,40,38.2708,1131.77706736,0.0006251923728120069,0.014469863937593091,0.9872292362327972,0.0027810994316018692,0.04542842873938552,-0.14688995426188134,0
mixed__mid_mean_mid_var,mixed,50,200,50.313,795.6834309999999,0.00011553563903066515,0.007686135406888976,0.9986992101375552,0.0004029018064510939,0.018643668566333767,0.8795998540634086,0
mixed__high_mean_high_var,mixed,85,500,60.7206,930.69293564,0.0009172712923414745,0.018338435640389738,0.9862792455562855,0.0038577669186069465,0.048405213102100844,0.48040254625408196,0
