index,value
0,100
1,66
2,71
3,55
4,74
5,79
6,100
7,100
8,98
9,62
10,100
11,43
12,100
13,100
14,70
15,92
16,100
17,87
18,100
19,73
20,25
21,100
22,22
23,100
24,64
25,51
26,100
27,85
28,100
29,66
30,12
31,100
32,94
33,68
34,62
35,33
36,51
37,100
38,100
39,65
40,84
41,94
42,96
43,100
44,84
45,98
46,100
47,96
48,95
49,75
50,48
51,100
52,47
53,100
54,85
55,75
56,100
57,88
58,46
59,66
60,75
61,65
62,48
63,100
64,77
65,100
66,100
67,77
68,79
69,93
70,67
71,52
72,18
73,100
74,100
75,92
76,100
77,100
78,80
79,100
80,100
81,100
82,74
83,86
84,62
85,77
86,100
87,87
88,100
89,100
90,100
91,60
92,100
93,74
94,15
95,44
96,100
97,79
98,92
99,100
100,59
101,100
102,32
103,100
104,79
105,26
106,100
107,85
108,89
109,100
110,29
111,100
112,73
113,100
114,47
115,100
116,82
117,80
118,6
119,26
120,100
121,91
122,90
123,61
124,100
125,99
126,67
127,29
128,82
129,41
130,43
131,100
132,40
133,82
134,83
135,64
136,88
137,100
138,87
139,50
140,79
141,53
142,42
143,86
144,59
145,84
146,69
147,85
148,100
149,100
150,67
151,96
152,80
153,48
154,82
155,100
156,82
157,100
158,98
159,3
160,89
161,70
162,62
163,60
164,100
165,100
166,100
167,100
168,95
169,100
170,100
171,49
172,69
173,93
174,100
175,80
176,75
177,100
178,100
179,100
180,100
181,79
182,91
183,59
184,56
185,21
186,81
187,73
188,95
189,39
190,80
191,100
192,85
193,36
194,98
195,92
196,100
197,100
198,72
199,59
200,84
201,100
202,52
203,100
204,17
205,20
206,100
207,100
208,92
209,90
210,72
211,56
212,59
213,54
214,12
215,94
216,98
217,92
218,32
219,96
220,100
221,47
222,96
223,60
224,100
225,60
226,100
227,65
228,100
229,26
230,57
231,76
232,82
233,71
234,58
235,100
236,100
237,35
238,70
239,100
240,100
241,100
242,58
243,100
244,68
245,89
246,74
247,100
248,60
249,56
250,100
251,40
252,38
253,82
254,82
255,48
256,19
257,100
258,25
259,100
260,100
261,100
262,30
263,96
264,92
265,58
266,53
267,91
268,57
269,53
270,4
271,88
272,82
273,47
274,67
275,72
276,89
277,100
278,14
279,95
280,40
281,100
282,47
283,44
284,59
285,100
286,72
287,95
288,50
289,72
290,86
291,57
292,92
293,33
294,56
295,71
296,57
297,73
298,100
299,100
300,64
301,82
302,77
303,97
304,100
305,83
306,85
307,100
308,56
309,93
310,100
311,51
312,100
313,84
314,100
315,65
316,100
317,100
318,100
319,99
320,58
321,70
322,50
323,89
324,100
325,62
326,44
327,100
328,36
329,83
330,95
331,100
332,13
333,79
334,77
335,83
336,80
337,100
338,48
339,13
340,100
341,100
342,100
343,100
344,91
345,100
346,100
347,100
348,51
349,100
350,58
351,51
352,72
353,100
354,87
355,100
356,100
357,90
358,96
359,53
360,31
361,100
362,17
363,100
364,74
365,100
366,100
367,87
368,100
369,100
370,74
371,100
372,41
373,37
374,36
375,100
376,57
377,82
378,100
379,0
380,73
381,80
382,100
383,80
384,49
385,51
386,64
387,99
388,93
389,100
390,73
391,100
392,62
393,85
394,100
395,92
396,90
397,69
398,91
399,100
400,100
401,74
402,63
403,92
404,100
405,51
406,72
407,58
408,72
409,68
410,91
411,100
412,20
413,69
414,100
415,75
416,100
417,55
418,100
419,78
420,100
421,100
422,70
423,62
424,91
425,100
426,100
427,54
428,72
429,97
430,100
431,80
432,67
433,100
434,95
435,100
436,64
437,100
438,82
439,100
440,100
441,59
442,100
443,76
444,42
445,82
446,100
447,100
448,100
449,88
450,100
451,54
452,68
453,93
454,80
455,100
456,100
457,100
458,72
459,100
460,100
461,23
462,100
463,66
464,100
465,69
466,96
467,78
468,96
469,26
470,40
471,66
472,100
473,100
474,49
475,100
476,100
477,100
478,8
479,92
480,100
481,100
482,82
483,26
484,100
485,89
486,89
487,100
488,47
489,100
490,80
491,87
492,100
493,65
494,100
495,100
496,100
497,48
498,73
499,100
500,47
501,81
502,45
503,100
504,62
505,100
506,64
507,100
508,100
509,89
510,100
511,100
512,38
513,76
514,100
515,87
516,100
517,77
518,100
519,85
520,86
521,82
522,74
523,88
524,100
525,71
526,66
527,34
528,100
529,73
530,99
531,100
532,100
533,100
534,43
535,35
536,46
537,100
538,100
539,100
540,81
541,100
542,88
543,82
544,97
545,72
546,41
547,100
548,66
549,95
550,87
551,100
552,100
553,50
554,75
555,93
556,72
557,92
558,90
559,17
560,100
561,29
562,100
563,31
564,58
565,100
566,100
567,75
568,98
569,50
570,97
571,100
572,44
573,19
574,83
575,100
576,98
577,58
578,56
579,68
580,65
581,83
582,86
583,38
584,26
585,42
586,44
587,100
588,61
589,49
590,73
591,88
592,64
593,100
594,70
595,95
596,58
597,100
598,92
599,55
600,100
601,100
602,100
603,39
604,100
605,47
606,100
607,40
608,100
609,54
610,57
611,56
612,72
613,100
614,86
615,58
616,93
617,100
618,56
619,100
620,51
621,74
622,100
623,14
624,100
625,100
626,94
627,100
628,94
629,100
630,76
631,100
632,95
633,85
634,100
635,96
636,62
637,100
638,100
639,100
640,69
641,34
642,43
643,89
644,100
645,47
646,47
647,100
648,95
649,62
650,100
651,87
652,68
653,54
654,82
655,41
656,96
657,69
658,100
659,100
660,92
661,100
662,100
663,49
664,100
665,67
666,66
667,100
668,100
669,100
670,100
671,32
672,80
673,100
674,99
675,44
676,53
677,56
678,56
679,64
680,46
681,29
682,91
683,96
684,60
685,99
686,83
687,94
688,76
689,94
690,68
691,100
692,95
693,100
694,99
695,90
696,88
697,60
698,100
699,62
700,79
701,100
