index,value
0,47
1,45
2,50
3,31
4,17
5,0
6,0
7,2
8,54
9,24
10,0
11,0
12,71
13,26
14,0
15,0
16,28
17,0
18,100
19,24
20,0
21,61
22,0
23,0
24,82
25,22
26,0
27,0
28,0
29,3
30,0
31,25
32,1
33,54
34,0
35,55
36,25
37,28
38,3
39,0
40,21
41,0
42,0
43,42
44,10
45,0
46,51
47,50
48,31
49,49
50,32
51,21
52,74
53,70
54,9
55,0
56,0
57,46
58,0
59,59
60,21
61,26
62,22
63,0
64,0
65,4
66,34
67,31
68,2
69,0
70,31
71,73
72,0
73,24
74,35
75,62
76,30
77,6
78,15
79,33
80,0
81,44
82,15
83,0
84,25
85,0
86,48
87,85
88,33
89,23
90,33
91,56
92,0
93,13
94,44
95,14
96,21
97,0
98,59
99,0
100,0
101,10
102,19
103,32
104,28
105,0
106,100
107,36
108,0
109,11
110,16
111,1
112,0
113,50
114,29
115,0
116,76
117,22
118,47
119,51
120,0
121,6
122,29
123,46
124,39
125,30
126,20
127,0
128,27
129,8
130,66
131,0
132,46
133,48
134,0
135,0
136,0
137,0
138,53
139,49
140,8
141,14
142,0
143,48
144,0
145,3
146,79
147,52
148,8
149,0
150,24
151,37
152,13
153,44
154,0
155,1
156,0
157,26
158,0
159,7
160,86
161,0
162,49
163,0
164,33
165,24
166,0
167,0
168,26
169,0
170,87
171,83
172,0
173,50
174,0
175,17
176,0
177,0
178,8
179,0
180,0
181,11
182,55
183,19
184,1
185,54
186,0
187,0
188,16
189,16
190,0
191,15
192,5
193,77
194,14
195,55
196,16
197,55
198,0
199,42
200,31
201,15
202,43
203,13
204,24
205,0
206,0
207,0
208,11
209,66
210,0
211,28
212,10
213,96
214,50
215,15
216,32
217,0
218,36
219,64
220,15
221,28
222,33
223,39
224,43
225,1
226,61
227,0
228,0
229,26
230,38
231,35
232,0
233,0
234,14
235,41
236,12
237,16
238,51
239,0
240,0
241,47
242,34
243,53
244,35
245,11
246,50
247,0
248,24
249,25
250,24
251,4
252,20
253,19
254,30
255,2
256,6
257,0
258,34
259,0
260,35
261,16
262,48
263,68
264,38
265,0
266,40
267,0
268,49
269,0
270,0
271,0
272,10
273,11
274,26
275,0
276,13
277,6
278,11
279,0
280,28
281,0
282,68
283,0
284,40
285,0
286,0
287,32
288,7
289,18
290,50
291,0
292,99
293,30
294,0
295,8
296,0
297,18
298,3
299,34
300,21
301,40
302,31
303,36
304,17
305,33
306,0
307,92
308,0
309,0
310,21
311,19
312,65
313,25
314,60
315,56
316,0
317,23
318,62
319,0
320,24
321,0
322,48
323,50
324,0
325,52
326,0
327,39
328,8
329,9
330,29
331,0
332,0
333,5
334,22
335,0
336,60
337,7
338,0
339,27
340,42
341,62
342,0
343,26
344,0
345,5
346,0
347,43
348,28
349,3
350,52
351,29
352,42
353,34
354,21
355,20
356,46
357,0
358,23
359,44
360,99
361,33
362,28
363,95
364,39
365,0
366,20
367,0
368,17
369,13
370,61
371,34
372,74
373,0
374,6
375,16
376,0
377,5
378,0
379,0
380,25
381,57
382,23
383,1
384,43
385,34
386,12
387,0
388,64
389,44
390,0
391,19
392,0
393,37
394,0
395,16
396,12
397,63
398,0
399,67
400,0
401,33
402,43
403,85
404,26
405,85
406,0
407,28
408,10
409,53
410,0
411,0
412,12
413,91
414,0
415,30
416,35
417,0
418,43
419,0
420,0
421,0
422,0
423,0
424,0
425,58
426,10
427,41
428,0
429,29
430,74
431,35
432,43
433,0
434,15
435,0
436,0
437,0
438,64
439,36
440,0
441,13
442,0
443,19
444,0
445,32
446,51
447,5
448,22
449,7
450,0
451,0
452,0
453,0
454,39
455,39
456,0
457,0
458,32
459,34
460,43
461,0
462,29
463,0
464,14
465,53
466,31
467,0
468,15
469,14
470,57
471,0
472,18
473,28
474,0
475,0
476,45
477,0
478,77
479,43
480,44
481,39
482,0
483,5
484,0
485,2
486,27
487,0
488,50
489,85
490,51
491,37
492,1
493,30
494,0
495,0
496,87
497,0
498,87
499,0
500,90
501,80
502,56
503,0
504,0
505,0
506,44
507,54
508,0
509,100
510,65
511,23
512,0
513,3
514,30
515,0
516,37
517,0
518,0
519,4
520,0
521,0
522,32
523,0
524,0
525,1
526,72
527,0
528,0
529,0
530,0
531,44
532,54
533,38
534,0
535,8
536,24
537,77
538,19
539,0
540,0
541,71
542,0
543,75
544,0
545,38
546,23
547,44
548,61
549,2
550,0
551,0
552,30
553,0
554,21
555,56
556,17
557,22
558,29
559,38
560,29
561,47
562,0
563,33
564,3
565,0
566,100
567,0
568,16
569,0
570,2
571,0
572,3
573,34
574,32
575,0
576,0
577,0
578,18
579,34
580,0
581,71
582,0
583,27
584,0
585,7
586,0
587,6
588,21
589,37
590,65
591,0
592,25
593,0
594,0
595,0
596,0
597,16
598,41
599,0
600,40
601,67
602,21
603,19
604,5
605,0
606,29
607,53
608,0
609,0
610,37
611,0
612,0
613,26
614,31
615,29
616,11
617,37
618,31
619,0
620,26
621,0
622,0
623,43
624,0
625,30
626,0
627,0
628,4
629,59
630,0
631,25
632,7
633,41
634,0
635,0
636,46
637,56
638,0
639,27
640,47
641,0
642,0
643,6
644,62
645,65
646,65
647,0
648,2
649,14
650,0
651,30
652,0
653,9
654,15
655,35
656,44
657,0
658,41
659,35
660,26
661,17
662,13
663,3
664,0
665,12
666,0
667,32
668,0
669,0
670,63
671,70
672,44
673,91
674,0
675,30
676,12
677,13
678,56
679,0
680,38
681,0
682,71
683,0
684,22
685,42
686,13
687,17
688,17
689,9
690,0
691,38
692,23
693,0
694,50
695,4
696,1
697,8
698,68
699,0
700,0
701,0
702,86
703,52
704,0
705,48
706,0
707,26
708,25
709,42
710,0
711,0
712,45
713,0
714,0
715,31
716,0
717,0
718,36
719,40
720,12
721,0
722,30
723,49
724,0
725,37
726,40
727,0
728,0
729,0
730,22
731,0
732,65
733,41
734,0
735,0
736,12
737,35
738,0
739,45
740,38
741,19
742,44
743,39
744,66
745,0
746,0
747,63
748,0
749,21
750,90
751,1
752,69
753,15
754,37
755,6
756,49
757,51
758,13
759,24
760,9
761,0
762,0
763,17
764,37
765,71
766,45
767,0
768,0
769,17
770,0
771,0
772,24
773,20
774,0
775,45
776,28
777,0
778,54
779,26
780,35
781,29
782,0
783,14
784,0
785,19
786,25
787,28
788,0
789,0
790,24
791,0
792,0
793,0
794,10
795,59
796,0
797,56
798,68
799,1
800,41
801,0
802,0
803,16
804,19
805,75
806,53
807,0
808,35
809,0
810,0
811,0
812,19
813,0
814,0
815,21
816,0
817,23
818,0
819,29
820,2
821,33
822,72
823,21
824,38
825,7
826,0
827,0
828,28
829,0
830,26
831,0
832,0
833,9
834,40
835,13
836,48
837,51
838,9
839,29
840,63
841,0
842,0
843,69
844,16
