index,value
0,72
1,100
2,83
3,33
4,84
5,72
6,28
7,63
8,60
9,68
10,43
11,29
12,73
13,64
14,13
15,40
16,58
17,0
18,8
19,2
20,47
21,40
22,32
23,52
24,34
25,54
26,37
27,100
28,70
29,0
30,6
31,0
32,52
33,100
34,56
35,54
36,52
37,0
38,69
39,5
40,57
41,7
42,56
43,0
44,27
45,89
46,5
47,43
48,51
49,57
50,100
51,64
52,40
53,92
54,68
55,100
56,0
57,4
58,29
59,92
60,0
61,81
62,70
63,98
64,100
65,0
66,0
67,42
68,85
69,69
70,48
71,54
72,74
73,100
74,43
75,40
76,100
77,0
78,0
79,100
80,92
81,11
82,28
83,0
84,38
85,88
86,78
87,64
88,67
89,53
90,59
91,64
92,64
93,36
94,100
95,43
96,80
97,72
98,93
99,99
100,56
101,45
102,0
103,58
104,53
105,32
106,48
107,46
108,0
109,62
110,56
111,59
112,25
113,100
114,100
115,56
116,76
117,68
118,0
119,86
120,68
121,51
122,0
123,89
124,40
125,58
126,44
127,96
128,18
129,63
130,71
131,10
132,60
133,0
134,0
135,12
136,29
137,0
138,0
139,65
140,36
141,61
142,30
143,60
144,55
145,92
146,40
147,34
148,64
149,0
150,76
151,46
152,51
153,40
154,73
155,22
156,21
157,58
158,24
159,37
160,46
161,44
162,73
163,87
164,18
165,8
166,0
167,89
168,46
169,41
170,21
171,29
172,75
173,45
174,53
175,75
176,61
177,60
178,100
179,44
180,79
181,28
182,100
183,34
184,36
185,56
186,36
187,100
188,36
189,29
190,85
191,100
192,70
193,46
194,6
195,52
196,79
197,23
198,40
199,72
200,0
201,92
202,0
203,48
204,71
205,67
206,100
207,31
208,0
209,32
210,47
211,68
212,96
213,51
214,20
215,26
216,28
217,67
218,34
219,24
220,52
221,0
222,35
223,51
224,57
225,57
226,8
227,100
228,83
229,53
230,100
231,46
232,97
233,68
234,80
235,42
236,41
237,52
238,30
239,58
240,74
241,40
242,0
243,10
244,44
245,100
246,36
247,43
248,0
249,29
250,99
251,80
252,33
253,71
254,24
255,50
256,64
257,25
258,21
259,43
260,0
261,86
262,24
263,0
264,57
265,75
266,89
267,40
268,52
269,40
270,100
271,64
272,34
273,92
274,29
275,62
276,79
277,58
278,42
279,57
280,33
281,0
282,43
283,25
284,61
285,35
286,45
287,33
288,95
289,67
290,7
291,100
292,100
293,61
294,87
295,65
296,98
297,100
298,18
299,41
300,18
301,79
302,56
303,36
304,44
305,50
306,75
307,24
308,62
309,74
310,82
311,69
312,38
313,3
314,33
315,68
316,32
317,31
318,53
319,8
320,100
321,89
322,0
323,59
324,61
325,27
326,63
327,45
328,73
329,54
330,49
331,100
332,9
333,0
334,55
335,31
336,9
337,59
338,39
339,26
340,24
341,72
342,2
343,11
344,50
345,30
346,100
347,0
348,44
349,46
350,6
351,58
352,81
353,65
354,61
355,91
356,92
357,27
358,65
359,41
360,19
361,30
362,38
363,11
364,16
365,13
366,37
367,56
368,15
369,72
370,0
371,31
372,69
373,44
374,100
375,92
376,48
377,100
378,100
379,88
380,84
381,16
382,85
383,81
384,59
385,98
386,45
387,14
388,47
389,49
390,17
391,72
392,13
393,25
394,84
395,73
396,57
397,82
398,77
399,85
400,39
401,58
402,21
403,64
404,82
405,84
406,38
407,52
408,28
409,13
410,9
411,41
412,23
413,61
414,50
415,3
416,38
417,18
418,93
419,84
420,23
421,100
422,71
423,0
424,14
425,30
426,86
427,30
428,41
429,74
430,100
431,55
432,82
433,30
434,72
435,0
436,13
437,24
438,79
439,48
440,26
