index,value
0,667
1,279
2,2191
3,425
4,158
5,973
6,126
7,3870
8,341
9,2012
10,2939
11,4964
12,7605
13,289
14,2861
15,2816
16,771
17,231
18,165
19,164
20,770
21,359
22,1074
23,43
24,167
25,720
26,301
27,1516
28,841
29,2349
30,266
31,592
32,2662
33,385
34,60
35,1388
36,120
37,1105
38,135
39,125
40,66
41,1401
42,501
43,162
44,648
45,1581
46,1657
47,331
48,98
49,926
50,448
51,411
52,671
53,208
54,386
55,186
56,226
57,249
58,48
59,101
60,257
61,3887
62,387
63,1077
64,120
65,374
66,2062
67,371
68,1322
69,161
70,402
71,218
72,557
73,1164
74,482
75,404
76,56
77,427
78,746
79,186
80,701
81,58
82,520
83,176
84,903
85,272
86,1423
87,826
88,338
89,1012
90,61
91,209
92,821
93,112
94,102
95,167
96,366
97,4859
98,1247
99,85
100,156
101,868
102,723
103,391
104,404
105,728
106,1482
107,431
108,3011
109,2524
110,221
111,1387
112,284
113,304
114,1177
115,959
116,24
117,446
118,1082
119,39
120,1850
121,805
122,1784
123,123
124,980
125,776
126,289
127,91
128,659
129,2205
130,372
131,820
132,42
133,943
134,261
135,378
136,136
137,4149
138,205
139,357
140,897
141,431
142,289
143,1027
144,89
145,749
146,6628
147,784
148,187
149,314
150,65
151,493
152,4533
153,125
154,519
155,321
156,23711
157,3850
158,1223
159,2189
160,467
161,122
162,1535
163,712
164,151
165,254
166,549
167,85
168,781
169,332
170,403
171,92
172,873
173,148
174,262
175,632
176,243
177,438
178,178
179,397
180,464
181,644
182,306
183,127
184,116
185,210
186,1170
187,10334
188,290
189,2000
190,1740
191,51
192,590
193,2816
194,91
195,880
196,154
197,2318
198,800
199,1405
200,2937
201,1199
202,397
203,509
204,2474
205,1050
206,44
207,581
208,308
209,21
210,1386
211,416
212,389
213,1189
214,28
215,34
216,877
217,455
218,1483
219,457
220,174
221,874
222,684
223,557
224,1050
225,877
226,282
227,247
228,678
229,222
230,445
231,3789
232,307
233,225
234,550
235,789
236,2157
237,2928
238,448
239,2753
240,1481
241,49
242,600
243,1942
244,1067
245,543
246,219
247,935
248,237
249,734
250,653
251,79
252,1060
253,2357
254,359
255,12972
256,189
257,1607
258,307
259,1779
260,2995
261,493
262,97
263,310
264,2470
265,805
266,421
267,1396
268,802
269,491
270,315
271,5598
272,163
273,2043
274,438
275,336
276,579
277,186
278,1993
279,967
280,1977
281,330
282,668
283,108
284,562
285,458
286,1905
287,1219
288,31
289,591
290,2828
291,58
292,37
293,545
