index,value
0,1110
1,88
2,3039
3,319
4,44
5,0
6,1165
7,45
8,2251
9,167
10,5812
11,3
12,230
13,1485
14,50
15,2
16,4
17,1090
18,215
19,81
20,1155
21,21
22,19
23,733
24,51
25,133
26,40
27,2857
28,1195
29,3737
30,79
31,751
32,270
33,3
34,6
35,2109
36,1
37,0
38,1345
39,81
40,6
41,2852
42,532
43,3670
44,113
45,959
46,0
47,0
48,123
49,3
50,1
51,1906
52,456
53,79
54,322
55,666
56,35
57,357
58,8
59,164
60,52
61,2
62,51
63,2696
64,57
65,42
66,4581
67,448
68,2235
69,4
70,323
71,8794
72,277
73,2716
74,29
75,319
76,66
77,369
78,707
79,2595
80,486
81,274
82,79
83,400
84,729
85,16
86,6750
87,677
88,1
89,17
90,2
91,894
92,55
93,2995
94,892
95,313
96,36
97,58
98,1286
99,134
100,2
101,2
102,79
103,214
104,1187
105,2316
106,10
107,5
108,86
109,1569
110,1083
111,2571
112,323
113,0
114,1098
115,1729
116,332
117,2
118,3385
119,14
120,124
121,3233
122,66
123,285
124,16
125,0
126,156
127,2262
128,2072
129,47
130,414
131,2135
132,0
133,150
134,6581
135,1120
136,4759
137,6917
138,6210
139,5
140,1641
141,946
142,243
143,70
144,0
145,663
146,205
147,1244
148,131
149,1583
150,126
151,277
152,9
153,4816
154,3350
155,116
156,0
157,337
158,1191
159,367
160,2141
161,3
162,1076
163,1293
164,34
165,62
166,2604
167,302
168,31
169,513
170,1199
171,5
172,23
173,590
174,66
175,404
176,3018
177,1579
178,3182
179,454
180,64
181,1906
182,1045
183,2
184,85
185,669
186,52
187,1496
188,287
189,305
190,846
191,234
192,185
193,312
194,691
195,46
196,351
197,161
198,281
199,433
200,1023
201,260
202,0
203,11
204,1
205,40
206,1872
207,68
208,0
209,5321
210,0
211,9
212,761
213,20
214,1776
215,5
216,129
217,5880
218,1552
219,1398
220,4
221,8
222,2035
223,334
224,550
225,5
226,1502
227,84
228,662
229,351
230,82
231,2433
232,2909
233,426
234,231
235,2615
236,41
237,167
238,1463
239,0
240,3
241,495
242,502
243,3
244,1405
245,835
246,635
247,1762
248,1474
249,67
250,30
251,653
252,27
253,482
254,7623
255,96
256,31
257,25
258,647
259,1440
260,439
261,27
262,4851
263,2358
264,2
265,1
266,757
267,11664
268,2099
269,606
270,368
271,10182
272,1017
273,38
274,1223
275,22
276,0
277,889
278,53
279,1475
280,326
281,2398
282,19
283,102
284,4934
285,511
286,0
287,142
288,3
289,1290
290,0
291,442
292,3791
293,851
294,505
295,179
296,152
297,102
298,399
299,280
300,678
301,28
302,1863
303,357
304,8
305,958
306,17
307,715
308,417
309,1562
310,87
311,8130
312,711
313,4005
314,89
315,556
316,96
317,498
318,663
319,714
320,401
321,28
322,794
323,1980
324,2267
325,8219
326,0
327,618
328,1600
329,1192
330,165
331,233
332,2818
333,1
334,1768
335,4
336,0
337,107
338,13
339,21
340,59
341,12
342,70
343,0
344,3301
345,17
346,175
347,1107
348,66
349,34
350,479
351,794
352,11114
353,88
354,1
355,99
356,950
357,1095
358,1146
359,364
360,1667
361,109
362,23
363,2431
364,165
365,6239
366,208
367,0
368,399
369,1290
370,5
371,0
372,46
373,117
374,12
375,120
376,4
377,11
378,5112
379,1736
380,303
381,497
382,5437
383,216
384,4
385,196
386,29
387,1236
388,904
389,2067
390,8
391,1
392,38
393,2792
394,14
395,0
396,13
397,67
398,1226
399,0
400,57
401,22
402,1732
403,1760
404,1999
405,6
406,5081
407,602
408,6332
409,466
410,1371
411,3571
412,2
413,1
414,1077
415,634
416,942
417,1590
418,391
419,165
420,306
421,330
422,223
423,4048
424,2443
425,4
426,856
427,152
428,188
429,919
430,819
431,1202
432,5
433,211
434,1127
435,81
436,1473
437,167
438,273
439,1077
440,1763
441,314
442,215
443,3
444,17
445,1299
446,1231
447,367
448,1826
449,337
450,1326
451,1260
452,262
453,0
454,40
455,71
456,0
457,23
458,1479
459,2
460,0
461,810
462,1516
463,6
464,145
465,3926
466,2556
467,867
468,263
469,166
470,20
471,6
472,3448
473,2298
474,13
475,1196
476,1959
477,763
478,1047
479,1
480,118
481,1
482,127
483,1
484,2
485,553
486,3144
487,141
488,15
489,5
490,172
491,545
492,65
493,360
494,17
495,96
496,164
497,1
498,1325
499,3461
500,157
501,12
502,256
503,4699
504,227
505,1367
506,1144
507,201
508,25
509,5208
510,49
511,2
512,4
513,0
514,1910
515,227
516,2248
517,356
518,1313
519,372
520,1780
521,646
522,2244
523,2472
524,418
525,236
526,2183
527,66
528,5
529,2617
530,1886
531,3428
532,46
533,181
534,1
535,224
536,11
537,11
538,383
539,2
540,1632
541,6
542,116
543,314
544,405
545,3423
546,0
547,60
548,336
549,59
550,1245
551,7383
552,618
553,253
554,69
555,2081
556,156
557,23
558,426
559,1
560,407
561,0
562,0
563,680
564,1814
565,193
566,2755
567,8
568,3108
569,7274
570,594
571,1631
572,689
573,2
574,122
575,328
576,184
577,2795
578,15236
579,2
580,204
581,12
582,2024
583,1
584,209
585,775
586,219
587,802
588,268
589,66
590,1690
591,246
592,76
593,99
594,503
595,3226
596,3
597,2566
598,178
599,4222
600,8
601,11
602,0
603,213
604,713
605,3
606,617
607,2369
608,387
609,174
610,26
611,1
612,15
613,143
614,176
615,3116
616,67
617,709
618,118
619,539
620,4879
