index,value
0,1020
1,25
2,322
3,253
4,1334
5,1129
6,2227
7,91
8,548
9,30
10,247
11,704
12,27
13,222
14,1049
15,787
16,249
17,890
18,1658
19,7
20,1639
21,1198
22,416
23,169
24,3152
25,410
26,97
27,102
28,1881
29,926
30,1646
31,1308
32,768
33,3616
34,476
35,803
36,1768
37,964
38,1978
39,861
40,1219
41,47
42,259
43,342
44,83
45,265
46,106
47,326
48,1010
49,454
50,462
51,235
52,311
53,2759
54,1044
55,939
56,188
57,1306
58,178
59,477
60,4559
61,1022
62,814
63,1154
64,1851
65,1496
66,260
67,33
68,379
69,312
70,237
71,2863
72,2090
73,378
74,1065
75,504
76,2460
77,614
78,308
79,283
80,824
81,305
82,878
83,2281
84,510
85,248
86,6007
87,712
88,95
89,48
90,116
91,987
92,1571
93,548
94,66
95,481
96,5552
97,753
98,3543
99,1972
100,12
101,1276
102,1145
103,770
104,310
105,1024
106,118
107,571
108,605
109,3075
110,2086
111,306
112,694
113,197
114,2438
115,2044
116,354
117,1019
118,939
119,166
120,1438
121,775
122,1508
123,756
124,1
125,392
126,20
127,2646
128,2110
129,1782
130,367
131,60
132,2104
133,2937
134,90
135,666
136,72
137,1430
138,1452
139,137
140,645
141,798
142,308
143,2059
144,550
145,238
146,775
147,1309
148,225
149,374
150,5329
151,1049
152,576
153,729
154,129
155,255
156,413
157,887
158,262
159,249
160,74
161,997
162,260
163,2358
164,1964
165,73
166,272
167,1106
168,241
169,142
170,2741
171,846
172,640
173,1535
174,1648
175,211
176,102
177,564
178,551
179,629
180,1306
181,1119
182,4146
183,104
184,515
185,414
186,1978
187,286
188,211
189,595
190,548
191,326
192,287
193,2567
194,585
195,1976
196,799
197,52
198,7240
199,1808
200,3474
201,2609
202,1888
203,182
204,665
205,240
206,513
207,60
208,476
209,4221
210,308
211,1533
212,607
213,550
214,3154
215,5387
216,811
217,1267
218,168
219,352
220,3464
221,866
222,781
223,1378
224,59
225,877
226,699
227,1915
228,171
229,3239
230,84
231,206
232,904
233,1125
234,268
235,128
236,2210
237,283
238,903
239,966
240,543
241,876
242,740
243,2729
244,228
245,1259
246,273
247,504
248,1114
249,357
250,380
251,1394
252,75
253,613
254,6472
255,5546
256,76
257,240
258,308
259,2707
260,2127
261,2114
262,461
263,172
264,1794
265,1216
266,946
267,4361
268,1061
269,8
270,1699
271,356
272,1089
273,2796
274,144
275,123
276,113
277,806
278,318
279,928
280,1264
281,228
282,1006
283,307
284,670
285,2357
286,1871
287,97
288,551
289,324
290,4
291,1475
292,1014
293,304
294,1352
295,802
296,558
297,10
298,78
299,2146
300,2343
301,789
302,1799
303,873
304,160
305,136
306,369
307,2292
308,1590
309,1971
310,2292
311,236
312,287
313,108
314,1515
315,2155
316,522
317,969
318,168
319,2658
320,2000
321,3738
322,1665
323,2132
324,25
325,1334
326,404
327,2671
328,1621
329,1996
330,1665
331,310
332,1548
333,114
334,2057
335,1956
336,252
337,1696
338,617
339,364
340,1586
341,258
342,24
343,215
344,398
345,1998
346,3408
347,327
348,1026
349,510
350,3971
351,768
352,2801
353,123
354,3520
355,197
356,3284
357,309
358,115
359,570
360,1304
361,376
362,932
363,716
364,486
365,859
366,294
367,1234
368,2
369,2598
370,773
371,1271
372,1355
373,1111
374,453
375,73
376,1091
377,401
378,377
379,1884
380,1272
381,357
382,370
383,525
384,515
385,350
386,136
387,545
388,2819
389,1131
390,2331
391,956
392,358
393,794
394,0
395,338
396,562
397,867
398,1063
399,625
400,584
401,240
402,641
403,2314
404,1590
405,186
406,89
407,725
408,1002
409,408
410,1706
411,1391
412,1117
413,254
414,222
415,25
416,281
417,645
418,1895
419,76
420,535
421,994
422,216
423,1192
424,682
425,280
426,1067
427,6
428,1390
429,1470
430,113
431,554
432,193
433,3169
434,730
435,52
436,287
437,1886
438,610
439,1617
440,1101
441,4414
442,905
443,2997
444,2220
445,948
446,1270
447,703
448,1775
449,794
450,2275
451,1361
452,644
453,300
454,284
455,1015
456,1452
457,737
458,986
459,321
460,81
461,336
462,317
463,385
464,777
465,149
466,263
467,1184
468,1226
469,66
470,524
471,782
472,537
473,232
474,545
475,2352
476,877
477,1189
478,1943
479,1451
480,479
481,6
482,433
483,1400
484,1920
485,3067
486,543
487,1376
488,790
489,924
490,249
491,248
492,572
493,29
494,410
495,1137
496,518
497,180
498,630
499,137
500,974
501,27
502,501
503,831
504,27
505,1029
506,146
507,619
508,52
509,477
510,238
511,396
512,1432
513,477
514,1394
515,1783
516,291
517,85
518,20
519,775
520,9292
521,431
522,1050
523,1520
524,1055
525,1403
526,2988
527,222
528,21
529,165
530,135
531,1107
532,830
533,246
534,1202
535,1456
536,184
537,935
538,1378
539,122
540,1711
541,3344
542,114
543,26
544,374
545,1131
546,3174
547,505
548,1255
549,79
550,1173
551,987
552,107
553,1481
554,1899
555,917
556,129
557,4125
558,1526
559,426
560,559
561,463
562,705
563,417
564,1894
565,1728
566,112
567,3239
568,1009
569,1764
570,1229
571,572
572,1323
573,3366
574,315
575,1651
576,773
577,661
578,572
579,1313
580,313
581,1909
582,1776
583,91
584,2134
585,280
586,625
587,942
588,476
589,29
590,1903
591,201
592,238
593,1599
594,416
595,2123
596,1208
597,323
598,10
599,2958
600,90
601,1273
602,671
603,1419
604,1173
605,1038
606,675
607,1575
608,98
609,251
610,1177
611,366
612,871
613,641
614,757
615,554
616,1370
617,402
618,1214
619,316
620,290
621,129
622,214
623,127
624,768
625,1436
626,205
627,244
628,662
629,1289
630,3755
631,744
632,333
633,106
634,216
635,258
636,198
637,14
638,764
639,321
640,3661
641,806
642,1195
643,135
644,2028
645,675
646,2061
647,853
648,634
649,581
650,204
651,53
652,2831
653,650
654,1727
655,512
656,77
657,993
658,55
659,162
660,827
661,362
662,5102
663,126
664,1446
665,932
666,1564
667,256
668,739
669,599
670,585
671,1967
672,4608
673,364
674,970
675,941
676,1347
677,2949
678,233
679,237
680,1080
681,171
682,191
683,78
684,3
685,599
686,901
687,344
688,263
689,1227
690,1214
691,605
692,1163
693,2576
694,1550
695,981
696,1082
697,2713
698,554
699,786
700,1043
701,2390
702,1752
703,74
704,181
705,368
706,1382
707,842
708,341
709,133
710,1167
711,1203
712,2859
713,694
714,681
715,84
716,41
717,566
718,389
719,288
720,96
721,3268
722,1808
723,856
724,3012
725,7757
726,1116
727,314
728,41
729,1412
730,636
731,1054
732,2478
733,200
734,880
735,1007
736,677
737,96
738,428
739,405
740,1109
741,1950
742,400
743,1183
744,340
745,2904
746,1680
747,799
748,607
749,378
750,390
751,3513
752,518
753,723
754,4433
755,1072
756,782
757,533
758,208
759,449
760,1412
761,982
762,1427
763,228
764,797
765,2627
766,576
767,1198
768,129
769,3617
770,939
771,274
772,172
773,800
774,804
775,98
776,4861
777,2441
778,619
779,125
780,1785
781,690
782,1261
783,711
784,319
785,1800
786,3924
787,279
788,801
789,484
790,2549
791,710
792,2115
793,1995
794,323
795,1561
796,536
797,2722
798,709
799,1718
800,332
801,355
802,884
803,6815
804,673
805,161
806,773
807,423
808,803
809,784
810,608
811,388
812,209
813,1196
814,848
815,266
816,1494
817,45
818,1365
819,1222
820,1668
821,488
822,1090
823,1719
824,3954
825,684
826,38
827,698
828,892
829,2038
830,2073
831,580
832,746
833,611
834,1282
835,528
836,1064
837,168
838,634
839,3480
840,413
841,1180
842,1049
843,1909
844,1913
845,1961
846,478
847,381
848,1268
849,1425
850,2059
851,37
852,71
853,997
854,2537
855,5962
856,1373
857,569
858,104
859,1004
860,2060
861,586
862,1184
863,2337
864,47
865,1590
866,347
867,470
868,157
869,758
870,835
871,1573
872,186
873,82
874,2047
875,967
876,276
877,2440
878,154
879,618
880,293
881,295
882,9
883,1633
884,2315
885,1132
886,172
887,583
888,424
889,886
890,1019
891,552
892,288
893,1866
894,222
895,486
896,660
897,271
898,848
899,855
900,4919
901,350
902,3814
903,1074
904,321
905,835
906,1158
907,1365
908,50
909,932
910,687
911,2345
912,337
913,1604
914,934
915,434
916,1012
917,970
918,1132
919,1276
920,1076
921,1822
922,990
923,2337
924,1039
925,370
926,581
927,866
928,1318
929,94
930,350
931,1376
932,193
933,142
934,775
935,3557
936,757
937,2447
938,1775
939,297
940,1741
941,657
942,1642
943,1373
944,414
945,122
946,3294
947,152
948,3396
949,1967
950,1288
951,3909
952,3419
953,1633
954,455
955,1564
956,14
957,769
958,607
959,1117
960,1116
961,878
962,1728
963,2818
964,115
965,266
966,25
967,2156
968,824
969,2468
970,250
971,65
972,1736
973,2401
974,360
975,525
976,151
977,2924
978,363
979,679
980,102
981,2183
982,146
983,604
984,1110
985,1359
986,2918
987,543
988,1356
989,168
990,536
991,104
992,672
993,524
994,3027
995,33
996,463
997,586
998,3007
999,1934
1000,105
1001,1157
1002,786
1003,3810
1004,444
1005,508
1006,210
1007,130
1008,1884
1009,606
1010,1087
1011,1026
1012,909
1013,22
1014,1545
1015,279
1016,135
1017,831
1018,71
1019,1449
1020,232
1021,243
1022,2038
1023,398
1024,160
1025,2308
1026,3
1027,1955
1028,156
1029,139
1030,289
1031,192
1032,1082
1033,26
1034,15
1035,1561
1036,272
1037,391
1038,191
1039,54
1040,1354
1041,747
1042,1369
1043,647
1044,1505
1045,720
1046,115
1047,701
1048,2908
1049,44
1050,1529
1051,2017
1052,737
1053,613
1054,3325
1055,63
1056,652
1057,514
1058,1159
1059,674
1060,2405
1061,76
1062,84
1063,937
1064,68
1065,322
1066,1003
1067,795
1068,393
1069,5227
1070,756
1071,605
1072,930
1073,104
1074,1210
1075,1916
1076,1052
1077,1465
1078,1276
1079,242
1080,601
1081,259
1082,414
1083,604
1084,538
1085,100
1086,556
1087,1094
1088,469
1089,166
1090,2564
1091,69
1092,1782
1093,98
1094,102
1095,1342
1096,1670
1097,813
1098,883
1099,825
1100,400
1101,130
1102,436
1103,1095
1104,1387
1105,2026
1106,1277
1107,3455
