index,value
0,30
1,22
2,48
3,26
4,18
5,35
6,16
7,59
8,23
9,46
10,53
11,65
12,76
13,22
14,53
15,52
16,32
17,20
18,18
19,18
20,32
21,24
22,36
23,11
24,18
25,31
26,22
27,41
28,33
29,49
30,21
31,29
32,51
33,25
34,12
35,40
36,16
37,37
38,16
39,16
40,13
41,40
42,27
43,18
44,30
45,42
46,43
47,23
48,15
49,34
50,26
51,25
52,30
53,19
54,25
55,19
56,20
57,21
58,11
59,15
60,21
61,59
62,25
63,36
64,16
65,24
66,47
67,24
68,39
69,18
70,25
71,20
72,28
73,37
74,27
75,25
76,12
77,26
78,32
79,19
80,31
81,12
82,28
83,18
84,34
85,22
86,40
87,33
88,23
89,35
90,12
91,19
92,33
93,15
94,15
95,18
96,24
97,64
98,38
99,14
100,17
101,33
102,31
103,25
104,25
105,31
106,41
107,26
108,54
109,50
110,20
111,40
112,22
113,22
114,38
115,35
116,8
117,26
118,36
119,10
120,45
121,33
122,44
123,16
124,35
125,32
126,22
127,14
128,30
129,48
130,24
131,33
132,11
133,35
134,21
135,24
136,17
137,61
138,19
139,24
140,34
141,26
142,22
143,36
144,14
145,32
146,73
147,32
148,19
149,23
150,13
151,27
152,63
153,16
154,28
155,23
156,100
157,59
158,38
159,48
160,26
161,16
162,42
163,31
164,17
165,21
166,28
167,14
168,32
169,23
170,25
171,14
172,34
173,17
174,21
175,30
176,21
177,26
178,18
179,25
180,26
181,30
182,23
183,16
184,16
185,20
186,37
187,86
188,22
189,46
190,44
191,11
192,29
193,52
194,14
195,34
196,17
197,49
198,32
199,40
200,53
201,38
202,25
203,27
204,50
205,36
206,11
207,29
208,23
209,8
210,40
211,25
212,25
213,38
214,9
215,10
216,34
217,26
218,41
219,26
220,18
221,34
222,31
223,28
224,36
225,34
226,22
227,21
228,30
229,20
230,26
231,59
232,23
233,20
234,28
235,32
236,47
237,53
238,26
239,52
240,41
241,11
242,29
243,45
244,36
245,28
246,20
247,34
248,20
249,31
250,30
251,13
252,36
253,49
254,24
255,94
256,19
257,42
258,23
259,44
260,54
261,27
262,15
263,23
264,50
265,33
266,25
267,40
268,32
269,27
270,23
271,68
272,18
273,46
274,26
275,23
276,29
277,19
278,46
279,35
280,46
281,23
282,30
283,15
284,28
285,26
286,45
287,38
288,9
289,29
290,52
291,12
292,10
293,28
294,21
295,27
296,28
297,30
298,26
299,12
300,29
301,51
302,40
303,55
304,56
305,13
306,46
307,45
308,28
309,36
310,31
311,13
312,18
313,59
314,24
315,55
316,38
317,12
318,45
319,21
320,15
321,35
322,57
323,16
324,21
325,17
326,20
327,33
328,19
329,27
330,31
331,18
332,47
333,26
334,12
335,31
336,36
337,44
338,58
339,75
340,32
341,24
342,33
343,15
344,20
345,78
346,36
347,38
348,44
349,69
350,24
351,17
352,24
353,37
354,18
355,47
356,22
357,21
358,20
359,16
360,45
361,49
362,34
363,25
364,27
365,23
366,100
367,23
368,21
369,44
370,38
371,29
372,36
373,14
374,20
375,41
376,20
377,22
378,31
379,20
380,40
381,39
382,42
383,15
384,28
385,26
386,36
387,12
388,17
389,34
390,28
391,30
392,78
393,45
394,34
395,26
396,22
397,25
398,23
399,24
400,47
401,32
402,23
403,19
404,31
405,29
406,32
407,18
408,36
409,51
410,30
411,22
412,34
413,52
414,25
415,30
416,35
417,25
418,19
419,44
420,14
421,33
422,35
423,26
424,34
425,25
426,35
427,31
428,22
429,21
430,21
431,18
432,37
433,31
434,36
435,14
436,47
437,39
438,31
439,24
440,23
441,16
442,15
443,44
444,71
445,37
446,19
447,38
448,31
449,41
450,61
451,16
452,31
453,55
454,30
455,15
456,22
457,14
458,21
459,55
460,27
461,33
462,47
463,54
464,21
465,18
466,27
467,19
468,25
469,18
