index,value
0,0
1,0
2,1000
3,0
4,1000
5,1000
6,0
7,1000
8,1000
9,0
10,1000
11,1000
12,0
13,0
14,0
15,1000
16,1000
17,0
18,1000
19,0
20,1000
21,1000
22,0
23,1000
24,0
25,1000
26,1000
27,1000
28,0
29,1000
30,0
31,1000
32,1000
33,1000
34,0
35,0
36,1000
37,1000
38,0
39,1000
40,0
41,1000
42,0
43,0
44,1000
45,1000
46,0
47,0
48,0
49,1000
50,0
51,1000
52,0
53,0
54,0
55,0
56,1000
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,1000
66,0
67,0
68,1000
69,1000
70,1000
71,0
72,1000
73,0
74,0
75,1000
76,1000
77,1000
78,0
79,0
80,1000
81,0
82,1000
83,0
84,0
85,0
86,1000
87,0
88,1000
89,0
90,0
91,0
92,0
93,1000
94,1000
95,0
96,1000
97,1000
98,0
99,1000
100,0
101,0
102,1000
103,0
104,0
105,1000
106,1000
107,1000
108,0
109,0
110,1000
111,0
112,0
113,0
114,1000
115,0
116,0
117,1000
118,1000
119,1000
120,1000
121,0
122,0
123,1000
124,1000
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,1000
133,0
134,1000
135,0
136,0
137,1000
138,0
139,1000
140,1000
141,0
142,1000
143,0
144,1000
145,1000
146,1000
147,1000
148,1000
149,1000
150,0
151,0
152,1000
153,1000
154,0
155,1000
156,0
157,0
158,1000
159,0
160,1000
161,1000
162,1000
163,1000
164,0
165,1000
166,1000
167,0
168,1000
169,1000
170,0
171,0
172,1000
173,0
174,1000
175,1000
176,0
177,1000
178,0
179,1000
180,1000
181,1000
182,0
183,0
184,0
185,1000
186,1000
187,1000
188,1000
189,0
190,0
191,1000
192,1000
193,1000
194,1000
195,0
196,0
197,1000
198,0
199,0
200,1000
201,1000
202,0
203,1000
204,1000
205,0
206,1000
207,1000
208,0
209,0
210,1000
211,1000
212,0
213,0
214,0
215,1000
216,1000
217,1000
218,0
219,1000
220,1000
221,1000
222,0
223,1000
224,0
225,0
226,0
227,0
228,0
229,0
230,1000
231,0
232,1000
233,1000
234,1000
235,1000
236,0
237,0
238,1000
239,1000
240,1000
241,1000
242,0
243,1000
244,1000
245,0
246,0
247,1000
248,0
249,1000
250,0
251,1000
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,1000
261,0
262,0
263,0
264,0
265,1000
266,1000
267,1000
268,0
269,0
270,0
271,1000
272,0
273,0
274,1000
275,1000
276,1000
277,0
278,1000
279,0
280,1000
281,1000
282,1000
283,1000
284,0
285,1000
286,1000
287,0
288,1000
289,1000
290,1000
291,0
292,1000
293,1000
294,0
295,1000
296,1000
297,0
298,0
299,1000
300,0
301,0
302,1000
303,0
304,0
305,1000
306,0
307,0
308,0
309,0
310,0
311,1000
312,0
313,1000
314,0
315,1000
316,0
317,1000
318,1000
319,0
320,0
321,0
322,1000
323,1000
324,0
325,0
326,1000
327,0
328,1000
329,1000
330,0
331,0
332,0
333,0
334,1000
335,1000
336,0
337,0
338,0
339,0
340,1000
341,1000
342,0
343,1000
344,0
345,0
346,0
347,1000
348,1000
349,1000
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,1000
358,0
359,0
360,1000
361,1000
362,1000
363,0
364,1000
365,1000
366,1000
367,1000
368,1000
369,0
370,1000
371,0
372,1000
373,1000
374,0
375,1000
376,0
377,1000
378,1000
379,0
380,0
381,0
382,1000
383,1000
384,0
385,0
386,0
387,1000
388,1000
389,0
390,0
391,1000
392,0
393,0
394,0
395,1000
396,0
397,0
398,0
399,1000
400,1000
401,1000
402,0
403,0
404,0
405,1000
406,1000
407,0
408,0
409,1000
410,0
411,0
412,1000
413,0
414,0
415,1000
416,0
417,0
418,1000
419,1000
420,1000
421,0
422,0
423,0
424,1000
425,0
426,0
427,1000
428,0
429,0
430,0
431,1000
432,1000
433,1000
434,1000
435,0
436,1000
437,1000
438,0
439,0
440,0
441,0
442,1000
443,1000
444,0
445,1000
446,1000
447,1000
448,0
449,1000
450,0
451,0
452,1000
453,0
454,0
455,1000
456,0
457,0
458,0
459,1000
460,0
461,0
462,0
463,0
464,1000
465,0
466,1000
467,1000
468,0
469,1000
470,1000
471,0
472,0
473,1000
474,0
475,0
476,0
