index,value
0,303
1,217
2,476
3,255
4,175
5,350
6,161
7,591
8,235
9,461
10,532
11,650
12,764
13,220
14,527
15,524
16,320
17,202
18,178
19,177
20,320
21,239
22,363
23,107
24,179
25,312
26,224
27,414
28,331
29,489
30,213
31,289
32,513
33,246
34,121
35,400
36,158
37,367
38,165
39,160
40,126
41,402
42,272
43,177
44,300
45,420
46,428
47,232
48,146
49,343
50,260
51,252
52,303
53,194
54,246
55,186
56,201
57,208
58,111
59,148
60,211
61,592
62,246
63,363
64,157
65,243
66,465
67,242
68,393
69,176
70,250
71,198
72,283
73,374
74,268
75,250
76,118
77,256
78,316
79,186
80,309
81,120
82,275
83,183
84,340
85,215
86,404
87,328
88,234
89,355
90,122
91,195
92,328
93,154
94,148
95,179
96,241
97,645
98,384
99,138
100,174
101,335
102,312
103,247
104,250
105,313
106,410
107,257
108,537
109,502
110,199
111,400
112,219
113,224
114,376
115,348
116,85
117,260
118,364
119,103
120,446
121,325
122,440
123,159
124,350
125,321
126,220
127,142
128,301
129,477
130,243
131,328
132,106
133,345
134,212
135,244
136,166
137,607
138,193
139,239
140,339
141,256
142,220
143,357
144,140
145,316
146,725
147,322
148,187
149,227
150,125
151,270
152,628
153,160
154,275
155,229
156,1178
157,590
158,381
159,476
160,264
161,159
162,416
163,310
164,172
165,210
166,281
167,138
168,321
169,232
170,250
171,142
172,336
173,171
174,212
175,297
176,206
177,258
178,183
179,248
180,264
181,299
182,225
183,161
184,156
185,195
186,375
187,859
188,221
189,460
190,436
191,114
192,289
193,524
194,142
195,337
196,173
197,486
198,324
199,402
200,532
201,378
202,249
203,273
204,499
205,360
206,108
207,287
208,226
209,82
210,400
211,253
212,247
213,377
214,91
215,97
216,336
217,262
218,410
219,262
220,182
221,336
222,306
223,283
224,360
225,336
226,218
227,207
228,305
229,199
230,260
231,586
232,225
233,200
234,281
235,323
236,473
237,532
238,260
239,519
240,410
241,112
242,291
243,455
244,362
245,280
246,198
247,344
248,204
249,314
250,300
251,134
252,361
253,490
254,239
255,937
256,187
257,423
258,225
259,440
260,536
261,270
262,146
263,226
264,498
265,325
266,254
267,401
268,325
269,269
270,228
271,680
272,177
273,464
274,258
275,233
276,287
277,186
278,459
279,349
280,458
281,232
282,303
283,151
284,284
285,262
286,451
287,381
288,95
289,289
290,525
291,120
292,100
293,281
294,214
295,269
296,284
297,296
298,258
299,123
300,292
301,514
302,401
303,547
304,564
305,133
306,462
307,454
308,282
309,363
310,312
311,127
312,181
313,590
314,237
315,546
316,379
317,117
318,454
319,210
320,152
321,346
322,574
323,163
324,211
325,169
326,204
327,327
328,186
329,267
330,309
331,182
332,475
333,264
334,120
335,308
336,358
337,443
338,578
339,753
340,319
341,244
342,330
343,145
344,204
345,785
346,357
347,382
348,439
349,687
350,236
351,166
352,244
353,373
354,183
355,474
356,216
357,210
358,202
359,163
360,452
361,490
362,338
363,252
364,268
365,227
366,1269
367,227
368,207
369,443
370,385
371,293
372,363
373,140
374,204
375,414
376,198
377,215
378,308
379,201
380,402
381,389
382,421
383,148
384,280
385,264
386,359
387,119
388,171
389,340
390,283
391,297
392,778
393,448
394,337
395,259
396,216
397,253
398,229
399,242
400,466
401,316
402,234
403,194
404,306
405,293
406,317
407,177
408,365
409,511
410,304
411,218
412,340
413,523
414,248
415,302
416,345
417,247
418,190
419,444
420,136
421,326
422,346
423,255
424,339
425,252
426,354
427,310
428,222
429,210
430,205
431,182
432,371
433,311
434,358
435,138
436,466
437,385
438,313
439,242
440,226
441,161
442,148
443,438
444,712
445,373
446,193
447,377
448,314
449,411
450,613
451,162
452,311
453,549
454,304
455,150
456,220
457,136
458,208
459,552
460,274
461,332
462,472
463,538
464,209
465,178
466,273
467,192
468,246
469,179
470,205
471,199
472,510
473,329
474,448
475,200
476,178
477,221
478,442
479,172
480,563
481,714
482,367
483,330
484,230
485,198
486,530
487,213
488,159
489,343
490,242
491,361
492,250
493,324
494,256
495,384
496,282
497,424
498,408
499,260
500,224
501,355
502,159
503,517
504,396
505,358
506,111
507,184
508,241
509,136
510,246
511,471
512,184
513,625
514,106
515,261
516,176
517,480
518,393
519,178
520,231
521,201
522,261
523,587
524,215
525,236
526,193
527,312
528,283
529,231
530,381
531,439
532,597
533,237
534,328
535,248
536,464
537,259
538,805
539,284
540,345
541,164
542,413
543,172
544,445
545,559
546,265
547,292
548,328
549,423
550,286
551,187
552,226
553,241
554,421
555,110
556,160
557,135
558,230
559,309
560,179
561,306
562,217
563,218
564,390
565,223
566,212
567,269
568,445
569,471
570,401
571,239
572,366
573,693
574,430
575,189
576,162
577,301
578,171
579,296
580,241
581,102
582,493
583,152
584,197
585,170
586,160
587,284
588,196
589,272
590,420
591,453
592,359
593,351
594,447
595,227
596,270
597,254
598,332
599,248
600,152
601,163
602,216
603,209
604,214
605,175
606,215
607,184
608,296
609,406
610,278
611,542
612,241
613,262
614,339
615,326
616,173
617,569
618,229
619,290
620,284
621,275
622,318
623,496
624,382
625,169
626,271
627,179
628,261
629,321
630,193
631,353
632,130
633,296
634,118
635,199
636,622
637,150
638,717
639,336
640,293
641,352
642,369
643,313
644,158
645,114
646,200
647,329
648,191
649,182
650,279
651,225
652,574
653,389
654,301
655,175
656,218
657,127
658,219
659,223
660,338
661,216
662,349
663,256
664,266
665,422
666,323
667,337
668,149
669,290
670,151
671,327
672,468
673,90
674,473
675,184
676,307
677,399
678,388
679,232
680,290
681,263
682,190
683,260
684,109
685,455
686,345
687,456
688,205
689,227
690,213
691,157
692,318
693,178
694,234
695,230
696,427
697,304
698,195
699,440
700,235
701,259
702,319
703,123
704,236
705,129
706,129
707,274
708,182
709,276
710,158
711,143
712,419
713,276
714,144
715,636
716,176
717,425
718,159
719,200
720,329
721,501
722,201
723,355
724,325
725,159
726,294
727,161
728,364
729,312
730,202
731,330
732,409
733,350
734,246
735,137
736,113
737,352
738,341
739,223
740,121
741,200
742,321
743,240
744,375
745,252
746,184
747,237
748,161
749,1202
750,286
751,212
752,336
753,157
754,507
755,99
756,401
757,240
758,165
759,324
760,223
761,234
762,277
763,234
764,450
765,233
766,211
767,301
768,182
769,156
770,271
771,329
772,336
773,109
774,244
775,297
776,470
777,177
778,134
779,210
780,379
781,265
782,541
783,165
784,378
785,239
786,230
787,688
788,624
789,338
790,221
791,164
792,214
793,388
794,140
795,266
796,548
797,355
798,356
799,119
800,160
801,383
802,201
803,160
804,484
805,268
806,493
807,408
808,118
809,603
810,423
811,355
812,216
813,221
814,175
815,291
816,154
817,125
818,218
819,209
820,290
821,244
822,201
823,150
824,241
825,176
826,161
827,297
828,176
829,455
830,435
831,223
832,194
833,160
834,267
835,198
836,405
837,137
838,317
839,370
840,518
841,361
842,161
843,236
844,311
845,416
846,345
847,233
848,319
849,97
850,293
851,327
852,305
853,199
854,509
855,276
856,314
857,253
858,451
859,272
860,182
861,260
862,265
863,232
864,222
865,355
866,582
867,319
868,201
869,821
870,192
871,138
872,257
873,303
874,305
875,331
876,748
877,386
878,212
879,288
880,329
881,301
882,543
883,616
884,181
885,178
886,123
887,275
888,173
889,140
890,413
891,269
892,209
893,159
894,274
895,346
896,452
897,360
898,187
899,170
900,602
901,283
902,402
903,393
904,753
905,256
906,419
907,93
908,301
909,422
910,201
911,204
912,161
913,188
914,172
915,218
916,316
917,375
918,395
919,700
920,505
921,266
922,200
923,245
924,276
925,462
926,454
927,527
928,247
929,242
930,281
931,253
932,96
933,202
934,300
935,186
936,406
937,321
938,311
939,429
940,318
941,97
942,177
943,165
944,150
945,266
946,141
947,253
948,159
949,331
950,81
951,340
952,278
953,333
954,430
955,172
956,755
957,435
958,230
959,225
960,301
961,394
962,710
963,323
964,279
965,356
966,542
967,150
968,316
969,516
970,196
971,173
972,426
973,331
974,218
975,136
976,307
977,201
978,284
979,506
980,315
981,478
982,155
983,248
984,154
985,335
986,463
987,294
988,333
989,375
990,289
991,257
992,271
993,237
994,133
995,339
996,273
997,393
998,262
999,502
1000,248
1001,216
1002,224
1003,223
1004,395
1005,261
1006,402
1007,283
1008,160
1009,182
1010,254
1011,265
1012,354
1013,143
1014,198
1015,604
1016,330
1017,280
1018,270
1019,512
1020,347
1021,298
1022,208
1023,588
1024,354
1025,225
1026,96
1027,293
1028,167
1029,232
1030,222
1031,192
1032,618
1033,318
1034,398
1035,179
1036,216
1037,326
1038,237
1039,350
1040,234
1041,208
1042,354
1043,101
1044,473
1045,396
1046,141
1047,149
1048,408
1049,197
1050,194
1051,306
1052,208
1053,283
1054,223
1055,286
1056,214
1057,237
1058,272
1059,189
1060,320
1061,387
1062,147
1063,591
1064,303
1065,483
1066,203
1067,180
1068,172
1069,208
1070,401
1071,477
1072,476
1073,175
1074,195
1075,360
1076,295
1077,168
1078,735
1079,601
1080,697
1081,257
1082,221
1083,220
1084,145
1085,486
1086,221
1087,151
1088,605
1089,322
1090,215
1091,181
1092,402
1093,327
1094,268
1095,387
1096,185
1097,124
1098,510
1099,211
1100,383
1101,179
1102,251
1103,371
1104,190
1105,213
1106,265
1107,136
1108,226
1109,193
1110,204
1111,312
1112,209
1113,351
1114,413
1115,333
1116,230
1117,266
1118,276
1119,555
1120,301
1121,345
1122,356
1123,489
1124,235
1125,226
1126,210
1127,487
1128,280
1129,251
1130,359
1131,286
1132,190
1133,221
1134,228
1135,296
1136,222
1137,356
1138,229
1139,385
1140,195
1141,321
1142,377
1143,522
1144,382
1145,227
1146,200
1147,709
1148,451
1149,185
1150,273
1151,190
1152,101
1153,274
1154,213
1155,301
1156,502
1157,207
1158,148
1159,386
1160,201
1161,665
1162,293
1163,102
1164,328
